compound,azt,nib,quine,vir,similarity,meansim,nas
Inolitazone (dihydrochloride),0.3797,0.3582,0.6088,0.5748,-0.3258,0.480375,0
Amitriptyline,0.3772,0.3949,0.6936,0.5194,-0.3711,0.49627499999999997,0
SR-2640,0.3766,0.4771,0.5876,0.483,-0.3958,0.48107500000000003,0
Htfmt,0.3763,NA,0.6455,0.4505,-0.3414,0.4907666666666667,1
N-(3-Acetamidophenyl)-3-chlorobenzamide,0.374,NA,0.5645,0.5481,-0.4852,0.4955333333333333,1
Vandetanib,0.3737,0.3712,0.708,0.5958,-0.3331,0.5121749999999999,0
8-Epi-15-d2c-isop,0.3703,0.6869,0.5656,0.5131,-0.4361,0.533975,0
ACON1_002097,0.3655,NA,0.5632,NA,-0.3271,0.46435000000000004,2
STK581349,0.3627,NA,0.7382,NA,-0.3254,0.55045,2
SCHEMBL10583556,0.3612,NA,0.6187,0.458,-0.3363,0.4793,1
BRD-A75471153,0.3607,NA,0.7791,0.4213,-0.342,0.5203666666666666,1
BRD-K45843042,0.3588,NA,0.3821,0.5125,-0.3586,0.4178,1
UB-165,0.3554,NA,0.7113,0.361,-0.3236,0.4759,1
6-Aminoindazole,0.3496,NA,0.5514,0.4862,-0.3408,0.46240000000000003,1
AB00540134,0.3495,0.3607,0.6317,0.4264,-0.3546,0.442075,0
BRD-K44410738,0.3466,NA,0.6157,NA,-0.3418,0.48115,2
CHEMBL2355513,0.3461,0.4936,NA,0.4074,-0.3331,0.4157,1
Ellagic acid,0.3373,NA,0.6488,0.3723,-0.3493,0.45280000000000004,1
STK249718,0.3371,NA,0.6005,0.4793,-0.3361,0.4723,1
Indomethacin,0.3357,0.4068,0.642,0.4527,-0.3307,0.4593,0
SA-426029,0.3356,NA,0.5437,NA,-0.3227,0.43965,2
Maprotiline,0.3299,0.5021,0.636,0.7901,-0.356,0.564525,0
Dilazep,0.3292,0.4466,0.6418,0.8187,-0.341,0.559075,0
CHEMBL2358136,0.3257,NA,0.6218,0.426,-0.3448,0.4578333333333333,1
Meptazinol,0.3244,0.3933,0.5545,NA,-0.3401,0.42406666666666665,1
BRD-K24890551,0.3244,0.3765,0.5357,0.4321,-0.3582,0.41717499999999996,0
"SIN-1, Hydrochloride",0.3241,NA,0.6588,NA,-0.335,0.49145000000000005,2
Pyrazolanthrone,0.3228,0.3439,0.6318,0.5328,-0.3365,0.45782500000000004,0
Azithromycin,1,0.3907,0.3852,0.5214,-0.3823,0.574325,0
Tyrphostin AG-1478,0.7776,0.5039,0.6549,0.6529,-0.3291,0.647325,0
TL_HRAS26,0.7472,0.4662,0.6517,0.6546,-0.3448,0.629925,0
PIK 75,0.7095,0.4189,0.6395,0.5902,-0.3575,0.589525,0
Aminopurvalanol,0.6505,0.6523,0.6126,0.548,-0.3407,0.61585,0
Vorinostat,0.6415,0.5105,0.6943,0.6656,-0.3584,0.627975,0
CGP 60474,0.6386,0.4241,0.7533,0.5377,-0.3228,0.588425,0
HLI-373,0.6208,0.4125,0.7561,0.4856,-0.3312,0.56875,0
BMS-387032,0.6146,0.4551,0.6325,0.6206,-0.3254,0.5807,0
Withaferin A,0.6099,0.4429,0.7797,0.688,-0.3319,0.6301249999999999,0
AC1Q6JJ5,0.6069,0.6376,0.6357,0.553,-0.3312,0.6083000000000001,0
GSK-461364,0.5997,0.5595,0.672,0.6535,-0.3244,0.621175,0
MLS002474519,0.5987,NA,0.6394,0.3593,-0.3256,0.5324666666666666,1
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.5956,0.4607,0.7171,0.645,-0.3213,0.6046,0
Wortmannin,0.5862,0.678,0.771,0.6632,-0.3228,0.6746000000000001,0
CI-1040,0.5727,0.4227,0.7379,0.7696,-0.323,0.625725,0
Mitoxantrone,0.5716,0.5974,0.7168,0.7893,-0.3323,0.668775,0
Dabrafenib,0.5688,0.4901,0.7948,0.7033,-0.4026,0.63925,0
MLS001173269,0.5685,0.5099,0.5966,0.5551,-0.3244,0.557525,0
PD-0325901,0.567,0.512,0.785,0.7757,-0.4324,0.659925,0
Daunorubicin,0.5632,0.4656,0.6918,0.3952,-0.3385,0.52895,0
CHEMBL585951,0.5569,0.4393,0.6893,0.5629,-0.3624,0.5621,0
A-443654,0.5472,0.4164,0.6877,0.5833,-0.3231,0.55865,0
2-Fluoropalmitic acid,0.547,NA,NA,0.4764,-0.3435,0.5117,2
Gefitinib,0.5438,0.4904,0.748,0.8117,-0.3795,0.648475,0
ZSTK 474,0.5374,0.54990000000000006,0.7402,0.5369,-0.3333,0.5911,0
Sorafenib,0.5274,0.4461,0.7287,0.6396,-0.3516,0.58545,0
AZD-5438,0.5268,0.4763,0.6411,0.5822,-0.3269,0.5566,0
Alvocidib,0.5255,0.4039,0.7061,0.557,-0.3217,0.548125,0
AS601245,0.5244,0.4599,0.7021,0.5867,-0.3349,0.568275,0
PG 490,0.5231,0.495,0.6402,0.4617,-0.3306,0.53,0
Thioridazine,0.5214,0.5129,0.7726,0.5129,-0.3437,0.57995,0
Mocetinostat,0.5178,0.4076,0.7337,0.6711,-0.3384,0.58255,0
Chaetocin,0.5144,0.3828,0.5587,0.6863,-0.3462,0.53555,0
Narciclasine,0.5132,0.4597,0.5969,0.6882,-0.3352,0.5645,0
IN1451,0.5127,NA,0.741,0.343,-0.3332,0.5322333333333333,1
CHEMBL1270912,0.5089,NA,0.6523,0.4978,-0.3479,0.553,1
GSK-3 Inhibitor IX,0.5082,0.5391,0.6053,0.6517,-0.3305,0.576075,0
CHEMBL1270312,0.5081,NA,0.5789,NA,-0.3215,0.5435,2
SB-216763,0.5081,0.6392,0.648,0.7989,-0.4296,0.64855,0
MLN-8054,0.5027,0.5393,0.7493,0.7413,-0.4248,0.63315,0
362-74-3,0.5026,NA,0.5868,0.8577,-0.4216,0.6490333333333334,1
Regorafenib,0.4991,0.4268,0.6565,0.5414,-0.3334,0.53095,0
AC1OCDAW,0.4967,0.4568,0.671,0.3954,-0.334,0.504975,0
BRD-A24396574-001-01-5,0.4958,0.5004,0.7015,0.5534,-0.4825,0.562775,0
AZD-1775,0.4949,0.5548,0.6979,0.8788,-0.354,0.6566,0
Curcumin,0.4881,0.5444,0.7012,0.6215,-0.3254,0.5888,0
C24H25CLFN5O3,0.4813,0.4715,0.7628,0.6407,-0.3992,0.589075,0
Tigecycline,0.4785,0.5352,0.6905,0.3774,-0.3577,0.5204,0
SMP2_000081,0.4783,NA,0.5295,0.6481,-0.3889,0.5519666666666667,1
Trametinib,0.4778,0.4978,0.7957,0.4917,-0.3235,0.56575,0
Refametinib,0.4722,0.3372,0.6829,0.5183,-0.3521,0.50265,0
MLS003128612,0.469,NA,0.6251,0.4878,-0.3221,0.5273,1
Ricolinostat,0.4678,0.4434,0.6409,0.5488,-0.4198,0.525225,0
RS-127445,0.4678,NA,0.5629,NA,-0.372,0.51535,2
HMS1476K01,0.4671,0.3758,0.6411,0.5989,-0.3968,0.520725,0
Parthenolide,0.4665,0.3716,0.6833,0.5327,-0.3252,0.513525,0
SCHEMBL17378613,0.4652,0.5898,0.7161,0.5642,-0.3534,0.583825,0
AZ628,0.4647,0.4089,0.75,0.8581,-0.3412,0.620425,0
Amuvatinib,0.4639,0.3989,0.6272,0.7444,-0.324,0.5586,0
"Triazolothiadiazine, 35",0.462,NA,0.7123,0.5989,-0.3632,0.5910666666666666,1
LGX818,0.4608,0.4504,0.7313,0.5067,-0.3383,0.5373,0
Radicicol,0.4597,0.5633,0.6031,0.6404,-0.3261,0.5666249999999999,0
Osimertinib,0.4587,0.4661,0.6452,0.6702,-0.395,0.56005,0
AT-7519,0.4566,0.4867,0.7098,0.6842,-0.3311,0.584325,0
Naringenin,0.4564,NA,0.6217,0.4766,-0.3673,0.5182333333333333,1
Selumetinib,0.455,0.4287,0.8212,0.5814,-0.3322,0.571575,0
LDN 193189,0.4542,0.5085,0.7464,0.8165,-0.3289,0.6314,0
AC1MJ3VH,0.4531,0.4886,0.6552,0.5315,-0.3504,0.5321,0
CHEMBL3347630,0.4508,0.4508,0.6587,0.5509,-0.321,0.5277999999999999,0
BX-795,0.4503,0.4211,0.6468,0.7641,-0.3296,0.570575,0
BIO2_000413,0.4502,0.4473,0.7135,0.3828,-0.3258,0.49845,0
ML162,0.4477,0.4834,0.6515,0.484,-0.329,0.5166499999999999,0
869288-64-2,0.4468,0.467,0.6351,0.5838,-0.35,0.533175,0
Avicin-D,0.4432,0.4701,0.6696,0.6484,-0.3342,0.557825,0
Enzastaurin,0.442,0.591,0.6789,0.5392,-0.424,0.562775,0
501919-59-1,0.4416,NA,0.4954,0.4177,-0.3896,0.45156666666666667,1
Avicin-G,0.4401,0.4677,0.8007,0.7216,-0.3672,0.607525,0
MLS002222336,0.4383,NA,0.6457,0.5012,-0.4799,0.5284,1
Nefazodone,0.4348,0.4214,0.772,0.5416,-0.3267,0.54245,0
Staurosporine,0.4329,0.5396,0.7077,0.4126,-0.3321,0.5232,0
"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",0.4326,0.5131,0.6946,0.4829,-0.3269,0.5307999999999999,0
NCGC00011767,0.4325,NA,0.5619,0.4109,-0.3646,0.4684333333333333,1
MLS003329222,0.4325,0.3536,0.6218,NA,-0.3226,0.4693,1
Oxetane,0.431,0.4307,0.6913,0.7352,-0.3302,0.57205,0
WZ 4002,0.4275,0.4887,0.6987,0.5378,-0.596,0.538175,0
AC1O52XK,0.4241,NA,0.6563,0.4557,-0.428,0.5120333333333333,1
Nordihydroguaiaretic acid,0.4221,0.3507,0.5498,0.3871,-0.3615,0.427425,0
PF 3845,0.4221,NA,0.5825,0.6231,-0.3306,0.5425666666666666,1
NU-7026,0.421,0.3675,0.619,0.4163,-0.3426,0.45594999999999997,0
SCHEMBL15556278,0.4207,0.4066,0.6892,0.5106,-0.3261,0.506775,0
SCHEMBL17497626,0.4189,0.4112,0.6921,0.3486,-0.3213,0.4677,0
Chelerythrine,0.417,0.4302,0.7712,0.5263,-0.3347,0.536175,0
AS-605240,0.4159,0.3222,0.7658,0.8111,-0.3338,0.57875,0
Thalidomide,0.4149,NA,0.6342,0.5543,-0.3641,0.5344666666666666,1
SB590885,0.4148,0.4367,0.8109,0.635,-0.3234,0.57435,0
SA-1921617,0.4132,NA,0.5971,0.5029,-0.3218,0.5044,1
Fenretinide,0.4124,0.361,0.5867,0.7246,-0.3942,0.5211749999999999,0
Ibrutinib (PCI-32765),0.4099,NA,NA,0.5611,-0.3307,0.48550000000000004,2
Methyldopa,0.4092,NA,0.5849,0.4737,-0.3604,0.4892666666666667,1
CT-200783,0.4055,0.3667,0.7069,0.5438,-0.3893,0.505725,0
Ticlopidine,0.4002,0.5136,0.7037,0.6257,-0.34,0.5608,0
BRD-K75322905,0.3984,NA,0.7027,0.6371,-0.3303,0.5794,1
TAK-285,0.3961,NA,0.6653,0.3996,-0.3356,0.487,1
BRD-K68319707,0.3915,NA,0.715,0.5122,-0.3216,0.5395666666666666,1
JNJ-7706621,0.3882,0.493,0.6086,NA,-0.3621,0.4966,1
Dactinomycin,0.385,0.3758,0.6286,NA,-0.3929,0.46313333333333334,1
BRD-U86222656,0.3832,0.3774,0.6437,0.7051,-0.3457,0.52735,0
3-(4-Pyridyl)indole,0.3822,NA,0.6945,0.8104,-0.3236,0.6290333333333333,1
Aristolochic acid,0.381,NA,0.56,0.3441,-0.3223,0.4283666666666667,1
Skimmianine,0.3802,NA,0.6204,0.3388,-0.3547,0.4464666666666666,1
Aliskiren,0.3781,0.3483,0.5662,0.7509,-0.3653,0.510875,0
BRD-K40225343,0.3767,NA,0.6856,NA,-0.3236,0.53115,2
BRD-K75514176,0.3747,0.3447,0.5621,0.3702,-0.3361,0.412925,0
BRD-K74842589,0.374,0.667,NA,0.4686,-0.3817,0.5032,1
Hydroxyprogesterone Caproate,0.3689,0.4317,0.6731,0.401,-0.3766,0.468675,0
MLS000089581,0.3664,0.4117,0.5774,0.3901,-0.352,0.4364,0
Lonafarnib,0.3649,0.3758,0.4169,0.7662,-0.3411,0.48095,0
MLS002607718,0.3643,NA,0.6199,0.3933,-0.3633,0.45916666666666667,1
CHEMBL2361177,0.3643,0.3927,0.6271,NA,-0.3312,0.46136666666666665,1
Androstanol,0.356,NA,0.6787,0.3826,-0.3271,0.4724333333333333,1
BRD-K01497355,0.3534,0.3792,0.7083,0.4426,-0.3663,0.470875,0
E319,0.353,0.4636,0.4005,0.5188,-0.3469,0.433975,0
Gly-Gly-Palo,0.3528,NA,0.5888,NA,-0.3358,0.4708,2
Patupilone,0.3519,0.46,NA,0.7591,-0.329,0.5236666666666667,1
Ivabradine HCl,0.3518,NA,0.5534,0.3572,-0.3472,0.4208,1
GSK-3 Inhibitor II,0.348,0.3441,0.6197,0.4981,-0.3424,0.452475,0
Vincamine,0.3478,NA,0.6507,NA,-0.4339,0.49924999999999997,2
BRD-K33936059,0.3453,0.3427,0.5488,0.4213,-0.4404,0.414525,0
Cyclosporine,0.3449,0.516,0.5978,0.4496,-0.4502,0.477075,0
Auranofin,0.3428,0.4324,0.6959,0.4923,-0.3333,0.49085,0
Nortriptyline,0.335,0.4473,0.6679,0.5443,-0.3213,0.498625,0
Apigenin,0.3337,0.4028,0.5965,0.377,-0.3515,0.4275,0
Y-26763,0.3321,NA,0.6019,0.5057,-0.3285,0.4799,1
Benzbromarone,0.3302,NA,0.5493,0.4984,-0.3272,0.4593,1
Lestaurtinib,0.3289,0.4027,0.7305,0.716,-0.3383,0.544525,0
Isorotenone,0.3224,0.3598,0.5553,0.3649,-0.3307,0.4006,0
Deoxy Cholate,0.3214,NA,0.7319,NA,-0.3478,0.5266500000000001,2
Alprostadil,NA,0.7408,0.633,0.5218,-0.3432,0.6318666666666667,1
Nelarabine,NA,0.6371,0.6318,NA,-0.4076,0.63445,2
Pimobendan,NA,0.4833,0.5094,0.5023,-0.3876,0.4983333333333333,1
BRD-K85694079,NA,0.4041,NA,0.4667,-0.5174,0.4354,2
Gallocatechin Gallate,NA,0.3879,0.7612,0.5337,-0.3917,0.5609333333333333,1
BRD-K28431278,NA,0.3396,0.5687,NA,-0.4769,0.45415,2
AGK 2,NA,0.3293,0.7365,0.5827,-0.3282,0.5495,1
CHEMBL2356537,NA,0.488,0.394,0.5568,-0.3493,0.47959999999999997,1
SPECTRUM1505012,NA,0.4821,0.4839,0.5078,-0.3292,0.4912666666666667,1
Promazine,NA,0.4608,0.6081,NA,-0.3754,0.53445,2
AMSACRINE,NA,0.4445,0.6295,0.4558,-0.3228,0.5099333333333333,1
L 168049,NA,0.4444,0.5967,0.3872,-0.3285,0.4761,1
KUC103882,NA,0.4434,0.6603,0.6336,-0.332,0.5791000000000001,1
BRD-K42573370-001-01-1,NA,0.4416,0.7518,0.3731,-0.3443,0.5221666666666667,1
Desoximetasone,NA,0.4221,0.6469,NA,-0.3275,0.5345,2
U-0126,NA,0.4121,0.6668,0.4116,-0.3417,0.49683333333333335,1
C29H35NO2,NA,0.4046,0.6409,0.3504,-0.3406,0.4653,1
"ICI-199,441",NA,0.4039,0.6077,NA,-0.326,0.5058,2
Phenytoin,NA,0.3898,0.654,0.5402,-0.4222,0.528,1
Macitentan,NA,0.3865,0.5983,0.5282,-0.3845,0.5043333333333333,1
Rivaroxaban,NA,0.3649,0.5725,0.6388,-0.3557,0.5254,1
EDOXUDINE,NA,0.36,NA,0.4207,-0.4223,0.39035,2
Flufenamic acid,NA,0.3471,0.7335,NA,-0.3973,0.5403,2
NSC126859,NA,0.3407,0.6671,0.3531,-0.3223,0.45363333333333333,1
CHEMBL3400874,NA,0.3358,0.7273,0.4327,-0.3348,0.4986,1
Phentolamine,NA,0.33,NA,0.54990000000000006,-0.4844,0.43995000000000006,2
Mesoridazine,NA,0.3293,0.7416,0.6105,-0.403,0.5604666666666667,1
Edrophonium,NA,0.3269,0.6868,NA,-0.3389,0.50685,2
BRD-K62242359,NA,0.3244,0.5955,0.5036,-0.4061,0.47450000000000003,1
Hoechst 33258,NA,NA,0.6206,0.4621,-0.3507,0.54135,2
ST51005413,NA,NA,0.597,0.4409,-0.3252,0.51895,2
CHEMBL2355399,NA,NA,0.4754,0.5805,-0.4516,0.52795,2
SCHEMBL16226068,NA,NA,0.4739,0.4672,-0.3257,0.47055,2
UNC 669,NA,NA,0.4122,0.5183,-0.321,0.46525,2
Acetyl-Farnesyl-Cysteine,NA,NA,0.3923,0.401,-0.4428,0.39665,2
CHEMBL1410859,NA,NA,0.3796,0.431,-0.3234,0.4053,2
BRD-K08982647,NA,NA,0.7031,0.3912,-0.3248,0.54715,2
Bisoprolol,NA,NA,0.6781,0.4552,-0.3459,0.56665,2
Bimatoprost,NA,NA,0.6694,0.395,-0.3631,0.5322,2
MLS003672589,NA,NA,0.6671,0.5729,-0.3286,0.62,2
Methysergide,NA,NA,0.667,0.4059,-0.3323,0.53645,2
STK222600,NA,NA,0.6646,0.7663,-0.3365,0.7154499999999999,2
Phenylbutazone,NA,NA,0.6628,0.4342,-0.3959,0.5485,2
Arecaidine Propargyl Ester,NA,NA,0.6525,0.4895,-0.3231,0.571,2
FK888,NA,NA,0.6517,0.465,-0.3504,0.55835,2
Olomoucine,NA,NA,0.6517,0.4112,-0.3263,0.53145,2
Androstenol,NA,NA,0.648,0.4069,-0.3428,0.52745,2
(3-Isopropoxyphenyl)(1-((5-methyl-1-propyl-1H-pyrazol-4-yl)methyl)piperidin-3-yl)methanone,NA,NA,0.6392,0.4393,-0.3849,0.53925,2
BRD-A99911370,NA,NA,0.6114,0.5474,-0.3309,0.5794,2
BRD-K27239120-001-01-1,NA,NA,0.6076,0.5766,-0.3298,0.5921000000000001,2
BRD32048,NA,NA,0.6004,0.6039,-0.3379,0.60215,2
Aggc,NA,NA,0.5994,0.5545,-0.4337,0.5769500000000001,2
CHEMBL453376,NA,NA,0.5946,0.631,-0.3528,0.6128,2
CHEMDIV2_001418,NA,NA,0.5888,0.5721,-0.4135,0.58045,2
N6022,NA,NA,0.5782,0.4707,-0.4051,0.5244500000000001,2
ST014366,NA,NA,0.5661,0.3696,-0.3515,0.46785,2
Tauroursodeoxy cholic acid dihydrate,NA,NA,0.5647,0.4412,-0.3211,0.50295,2
Sasapyrine,NA,NA,0.5454,0.4048,-0.4408,0.47509999999999997,2
