compound,los,nib,quine,vir,similarity,meansim,nas
Nordihydroguaiaretic acid,0.6895,NA,0.3764,0.4171,-0.3615,0.49433333333333335,1
Pinacidil,0.689,NA,0.4123,0.4495,-0.4666,0.5169333333333334,1
Canertinib,0.6887,0.5015,0.552,0.4186,-0.3755,0.5402,0
AT-7519,0.6853,0.4786,0.593,0.4466,-0.3311,0.550875,0
362-74-3,0.6849,NA,0.4172,0.4376,-0.4216,0.5132333333333333,1
Aminopurvalanol,0.6836,0.3912,0.5026,0.3241,-0.3407,0.475375,0
AS601245,0.6832,NA,0.6273,0.4067,-0.3349,0.5724,1
Osimertinib,0.6829,0.5428,0.4966,0.441,-0.395,0.540825,0
KW-2449,0.6805,0.4068,0.4519,0.5523,-0.3648,0.522875,0
BRD-A99911370,0.6764,NA,0.4268,0.463,-0.3309,0.5220666666666667,1
Vorinostat,0.6701,0.4698,0.619,0.6217,-0.3584,0.5951500000000001,0
Vorinostat,0.6701,0.4698,0.619,0.6217,-0.3584,0.5951500000000001,0
869288-64-2,0.6695,0.399,0.6082,0.5012,-0.35,0.544475,0
TAK-285,0.6654,0.4923,0.6719,0.3917,-0.3356,0.5553250000000001,0
Rebastinib,0.6629,NA,0.4783,0.6179,-0.3924,0.5863666666666667,1
Enzastaurin,0.662,0.3783,0.6202,0.4433,-0.424,0.52595,0
Nortriptyline,0.66,0.6786,0.5564,0.431,-0.3213,0.5815,0
BMS-387032,0.6593,NA,0.6003,0.4816,-0.3254,0.5804,1
MLS002474519,0.6575,NA,0.5656,0.3812,-0.3256,0.5347666666666666,1
WZ 4002,0.6564,0.4446,0.6044,0.475,-0.596,0.5451,0
Lestaurtinib,0.6544,NA,0.5224,0.3702,-0.3383,0.5156666666666666,1
ML162,0.654,0.3543,0.616,0.4536,-0.329,0.519475,0
MLN-8054,0.6514,0.425,0.5382,0.5405,-0.4248,0.538775,0
HLI-373,0.6512,NA,0.5059,0.4189,-0.3312,0.5253333333333333,1
Thioridazine,0.6505,0.7095,0.4794,0.4566,-0.3437,0.574,0
Daunorubicin,0.6491,0.3966,0.5217,0.451,-0.3385,0.5046,0
Bimatoprost,0.6481,NA,NA,0.3356,-0.3631,0.49185,2
Oxetane,0.6447,0.3957,0.4955,0.4592,-0.3302,0.498775,0
BMS-345541,0.6444,0.4248,0.4758,0.4684,-0.3717,0.50335,0
AC1Q6JJ5,0.6444,0.515,0.5814,0.4727,-0.3312,0.553375,0
Falnidamol,0.6432,0.617,0.5185,0.5563,-0.3284,0.58375,0
Lapatinib,0.641,0.6372,0.5534,0.4511,-0.323,0.570675,0
VX-745,0.641,0.4684,0.5207,0.6815,-0.3423,0.5779,0
Withaferin A,0.6404,0.4019,0.6907,0.4406,-0.3319,0.5434,0
Gefitinib,0.6403,0.5163,0.5938,0.5791,-0.3795,0.582375,0
Quinacrine,0.6403,0.5416,0.5956,0.473,-0.323,0.5626249999999999,0
Amuvatinib,0.6402,NA,0.509,0.4945,-0.324,0.5479,1
Elliptecine,0.6393,0.3287,0.4928,0.3678,-0.4025,0.45715,0
Curcumin,0.6389,0.3778,0.3759,0.5024,-0.3254,0.47375,0
PD-0325901,0.6378,0.3998,0.6675,0.5017,-0.4324,0.5517,0
Macitentan,0.6366,NA,0.4566,0.5028,-0.3845,0.532,1
HG-9-91-01,0.6358,0.3335,0.5545,0.4798,-0.3266,0.5009,0
Rivaroxaban,0.6354,NA,0.4936,0.4282,-0.3557,0.5190666666666667,1
GSK-461364,0.6352,0.5934,0.4637,0.6069,-0.3244,0.5748,0
JNJ-7706621,0.6336,NA,0.526,0.3314,-0.3621,0.497,1
"SIN-1, Hydrochloride",0.6323,NA,0.4492,NA,-0.335,0.54075,2
LGX818,0.632,0.3674,0.384,0.4031,-0.3383,0.446625,0
BRD-A24396574-001-01-5,0.6308,0.447,0.5305,0.4464,-0.4825,0.513675,0
CHEMBL3347630,0.6303,0.4067,0.5181,0.5565,-0.321,0.5279,0
Ricolinostat,0.629,0.3589,0.5108,0.3604,-0.4198,0.464775,0
SCHEMBL1564574,0.6285,0.3995,0.8099,0.5019,-0.3543,0.58495,0
AMSACRINE,0.6274,0.3818,0.4976,0.3736,-0.3228,0.47009999999999996,0
Mocetinostat,0.6252,0.4855,0.5121,0.3682,-0.3384,0.49775,0
WZ3105,0.6241,0.4084,0.6392,0.3612,-0.327,0.508225,0
BRD-K45843042,0.6239,NA,0.5587,NA,-0.3586,0.5912999999999999,2
Tyrphostin AG-1478,0.621,0.3545,0.4875,0.4963,-0.3291,0.489825,0
Narciclasine,0.6206,NA,0.6351,0.4481,-0.3352,0.5679333333333334,1
Sasapyrine,0.6178,NA,0.362,NA,-0.4408,0.4899,2
TL_HRAS26,0.6167,0.3513,0.6345,0.4112,-0.3448,0.503425,0
Parthenolide,0.6138,0.4231,NA,0.3535,-0.3252,0.46346666666666664,1
AKT Inhibitor IV,0.6127,NA,NA,0.4176,-0.3242,0.51515,2
Pyrazolanthrone,0.6122,0.3632,0.4641,0.4691,-0.3365,0.47715,0
Chelerythrine,0.6094,NA,0.5214,0.475,-0.3347,0.5352666666666667,1
AC1OCDAW,0.6093,0.3798,0.5916,0.4196,-0.334,0.500075,0
Staurosporine,0.606,NA,0.4594,0.3508,-0.3321,0.47206666666666663,1
PG 490,0.6058,0.4128,0.6056,0.4196,-0.3306,0.51095,0
CI-1040,0.6057,0.4349,0.5228,0.4227,-0.323,0.496525,0
Dabrafenib,0.605,0.3522,0.5634,0.3993,-0.4026,0.479975,0
Ellagic acid,0.6047,NA,0.4914,0.5428,-0.3493,0.5463,1
STK369842,0.6026,NA,NA,0.4406,-0.3271,0.5216000000000001,2
Radicicol,0.6023,0.4115,0.4204,0.3936,-0.3261,0.45694999999999997,0
Inolitazone (dihydrochloride),0.6004,0.3357,0.4609,0.3549,-0.3258,0.437975,0
IN1451,0.6,NA,0.5049,NA,-0.3332,0.55245,2
AZD 1480,0.5998,NA,0.3877,0.4478,-0.4406,0.4784333333333333,1
Dactinomycin,0.5989,NA,0.5911,0.4123,-0.3929,0.5341,1
STK222600,0.5988,NA,0.6005,0.3758,-0.3365,0.5250333333333334,1
BX-795,0.5988,0.4128,0.54990000000000006,0.4326,-0.3296,0.498525,0
Hydroxyl,0.5973,NA,0.5153,0.49,-0.3543,0.5342,1
Avicin-G,0.5966,0.5228,0.4559,0.4018,-0.3672,0.494275,0
STK249718,0.5956,NA,0.5863,0.5256,-0.3361,0.5691666666666667,1
Amitriptyline,0.5942,0.6008,0.4698,0.4739,-0.3711,0.534675,0
Phenytoin,0.5938,NA,0.4176,0.4247,-0.4222,0.4787,1
Vandetanib,0.5923,0.5687,0.4825,0.526,-0.3331,0.542375,0
Ticlopidine,0.5887,NA,0.5288,0.3768,-0.34,0.49810000000000004,1
AZ628,0.5883,0.4697,0.5741,0.5797,-0.3412,0.55295,0
3-(4-Pyridyl)indole,0.5879,0.3325,0.4504,0.5321,-0.3236,0.475725,0
MLS001173269,0.5878,0.3515,0.5731,NA,-0.3244,0.5041333333333333,1
Tigecycline,0.5875,NA,0.5039,0.3692,-0.3577,0.48686666666666667,1
BRD-K74842589,0.5744,NA,0.3953,NA,-0.3817,0.48485,2
GSK-3 Inhibitor IX,0.5739,0.3733,0.4052,0.4293,-0.3305,0.445425,0
MLS002222336,0.5716,NA,0.424,0.5271,-0.4799,0.5075666666666667,1
AGK 2,0.5706,NA,0.5068,0.4872,-0.3282,0.5215333333333334,1
TPCA-1,0.5704,0.3334,0.5178,0.5871,-0.3432,0.502175,0
Chaetocin,0.5696,0.5626,0.4999,0.557,-0.3462,0.547275,0
BRD-K28431278,0.5681,NA,0.4274,0.4819,-0.4769,0.49246666666666666,1
KUC103882,0.5678,NA,0.415,0.4112,-0.332,0.4646666666666667,1
Aliskiren,0.5668,NA,0.468,0.3689,-0.3653,0.4679,1
501919-59-1,0.5667,0.328,0.4891,NA,-0.3896,0.46126666666666666,1
Diflunisal,0.5665,NA,0.4612,0.4292,-0.326,0.48563333333333336,1
Emapunil,0.5664,NA,0.3681,NA,-0.3713,0.46725,2
SCHEMBL17378613,0.5565,0.5487,0.4905,0.3919,-0.3534,0.4969,0
GSK-3 Inhibitor II,0.5556,0.3556,0.435,0.3524,-0.3424,0.42464999999999997,0
Htfmt,0.5554,NA,0.4772,0.3618,-0.3414,0.4648,1
Regorafenib,0.5552,NA,0.5179,0.3935,-0.3334,0.48886666666666667,1
Quizartinib,0.5551,0.4838,0.6689,0.5241,-0.3296,0.557975,0
Glyburide,0.555,NA,0.4861,0.4045,-0.3577,0.48186666666666667,1
Mesoridazine,0.5513,0.3801,0.81,0.4065,-0.403,0.536975,0
CHEMBL1270312,0.55,NA,0.5717,0.3261,-0.3215,0.48260000000000003,1
Promazine,0.5498,0.6802,0.387,0.5229,-0.3754,0.534975,0
MLS002607718,0.5488,NA,0.471,0.3383,-0.3633,0.4527,1
L 168049,0.5487,NA,0.5652,0.366,-0.3285,0.4933,1
"3,7-Bis(dimethylamino)phenothiazin-5-ium",0.5465,0.3315,0.5497,0.4246,-0.3879,0.463075,0
SCHEMBL10583556,0.5457,NA,0.5949,0.4633,-0.3363,0.5346333333333333,1
BRD-K42573370-001-01-1,0.5456,NA,0.3809,0.3676,-0.3443,0.4313666666666667,1
(3-Isopropoxyphenyl)(1-((5-methyl-1-propyl-1H-pyrazol-4-yl)methyl)piperidin-3-yl)methanone,0.544,0.321,0.4516,0.4508,-0.3849,0.44185,0
848193-68-0,0.543,NA,0.5625,0.6629,-0.3472,0.5894666666666667,1
XAV 939,0.5422,0.3309,0.4093,NA,-0.3548,0.42746666666666666,1
UNC 669,0.5421,NA,0.4023,0.4134,-0.321,0.4526,1
CHEMBL1270912,0.5404,NA,0.6241,0.4055,-0.3479,0.5233333333333333,1
MLS003672589,0.5403,NA,0.4456,0.5558,-0.3286,0.5139,1
Deoxy Cholate,0.5388,NA,0.3785,NA,-0.3478,0.45865,2
NSC126859,0.5371,NA,0.4594,0.3446,-0.3223,0.44703333333333334,1
Gallocatechin Gallate,0.5356,NA,0.4902,0.5819,-0.3917,0.5359,1
CHEMDIV2_001418,0.5324,NA,NA,0.3408,-0.4135,0.4366,2
Etya,0.5311,0.3924,NA,0.3546,-0.431,0.4260333333333334,1
Naringenin,0.5271,NA,0.4964,0.3344,-0.3673,0.45263333333333333,1
SMP2_000081,0.5266,NA,0.551,0.4889,-0.3889,0.5221666666666667,1
NCGC00011767,0.5207,NA,0.5881,NA,-0.3646,0.5544,2
MLS003329222,0.5205,NA,0.5017,NA,-0.3226,0.5111,2
Benzbromarone,0.5152,0.4494,0.4361,0.3828,-0.3272,0.445875,0
BRD32048,0.5146,NA,0.4143,0.4057,-0.3379,0.44486666666666663,1
SR-2640,0.5128,NA,0.4017,0.3333,-0.3958,0.4159333333333333,1
RS-127445,0.5108,NA,0.4578,0.5593,-0.372,0.5093,1
CHEMBL3400874,0.5083,NA,0.392,0.3523,-0.3348,0.4175333333333333,1
PF 3845,0.5076,NA,0.4751,0.4996,-0.3306,0.49410000000000004,1
Ibrutinib (PCI-32765),0.5071,NA,0.3652,0.4516,-0.3307,0.4413,1
Apigenin,0.5029,NA,0.4563,0.382,-0.3515,0.44706666666666667,1
NU-7026,0.5026,NA,0.6542,0.5654,-0.3426,0.5740666666666667,1
SA-1921617,0.5004,NA,0.3624,0.3675,-0.3218,0.41009999999999996,1
BRD-K68319707,0.5003,NA,0.4452,0.378,-0.3216,0.44116666666666665,1
Methyldopa,0.4975,NA,0.4771,NA,-0.3604,0.4873,2
CHEMBL2355513,0.496,0.4079,0.487,NA,-0.3331,0.46363333333333334,1
MLS000089581,0.4906,0.3444,0.4159,0.3533,-0.352,0.40105,0
Fenretinide,0.4892,NA,0.4717,NA,-0.3942,0.48045000000000004,2
C29H35NO2,0.4868,NA,0.4645,0.3442,-0.3406,0.43183333333333335,1
MLS003128612,0.4866,NA,0.6524,NA,-0.3221,0.5695,2
STK581349,0.4841,NA,0.6978,0.4876,-0.3254,0.5565,1
Levetiracetam,0.4807,NA,NA,0.3337,-0.3863,0.4072,2
BRD-U86222656,0.4806,0.4268,0.5161,NA,-0.3457,0.47450000000000003,1
BRD-K79112806,0.4732,NA,0.3645,NA,-0.3681,0.41885,2
BL-074,0.4728,NA,0.4225,NA,-0.3677,0.44765,2
CHEMBL3188661,0.472,0.3217,0.5318,0.5483,-0.4149,0.46845000000000003,0
Tauroursodeoxy cholic acid dihydrate,0.4716,NA,0.3976,0.3313,-0.3211,0.40016666666666667,1
BRD-K70399291,0.4705,NA,0.4276,NA,-0.3618,0.44904999999999995,2
"Pfmrk inhibitor, wr 216174",0.4705,0.3704,0.4236,0.3812,-0.3325,0.411425,0
CHEMBL2355399,NA,0.4235,NA,0.5073,-0.4516,0.4654,2
BRD-K85694079,NA,0.3465,NA,0.3375,-0.5174,0.34199999999999997,2
Y-26763,NA,0.3408,0.56,NA,-0.3285,0.4504,2
Patupilone,NA,0.3742,0.4381,0.3759,-0.329,0.3960666666666667,1
8-Epi-15-d2c-isop,NA,0.3375,0.4314,NA,-0.4361,0.38445,2
Azithromycin,NA,0.3226,0.4152,0.4318,-0.3823,0.3898666666666667,1
BRD-K75322905,NA,NA,0.4697,0.3328,-0.3303,0.40125,2
BRD-K78099132,NA,NA,0.454,0.3679,-0.3417,0.41095000000000004,2
BRD-K75514176,NA,NA,0.4428,0.3427,-0.3361,0.39275000000000004,2
BRD-K40225343,NA,NA,0.4329,0.3897,-0.3236,0.4113,2
Isorotenone,NA,NA,0.3654,0.379,-0.3307,0.3722,2
