compound,nib,quine,vir,similarity,meansim,nas
Terfenadine,0.5963,0.5154,NA,-0.5532,0.55585,1
XMD 8-92,0.5942,0.5635,0.4281,-0.6127,0.5286,0
SCHEMBL16065773,0.5923,0.4681,0.3256,-0.5034,0.462,0
Palmitoyl Dopamine,0.5908,0.4048,NA,-0.5205,0.4978,1
ST057710,0.5884,0.3249,NA,-0.5119,0.45665,1
SB-431542,0.5877,0.5657,NA,-0.505,0.5767,1
FR-180204,0.5847,0.7462,0.5003,-0.4885,0.6103999999999999,0
4-Hydroxytamoxifen,0.5821,0.4506,0.362,-0.6589,0.4649,0
ML228,0.5817,0.331,NA,-0.4963,0.45635000000000003,1
Ketoconazole,0.5817,NA,0.3286,-0.5517,0.45515,1
CHEMBL1406616,0.5809,0.4712,NA,-0.5835,0.52605,1
Dacinostat,0.5756,0.3803,0.4293,-0.5547,0.46173333333333333,0
CGP71683A,0.574,0.4014,0.3495,-0.5093,0.4416333333333333,0
AC1L1JM9,0.5729,0.4711,NA,-0.5085,0.522,1
Dibenzepin,0.5725,0.39,0.3976,-0.6355,0.4533666666666667,0
KU-55933,0.5721,0.56,0.3639,-0.523,0.4986666666666667,0
XMD-16144,0.5713,0.3338,NA,-0.5617,0.45255,1
ST4110747,0.5708,0.5309,0.3287,-0.5694,0.4768,0
Iodophenpropit,0.5698,0.3545,0.3707,-0.4962,0.43166666666666664,0
PHA-665752,0.569,0.7709,0.5957,-0.5022,0.6452,0
Ethopropazine,0.5688,0.4403,0.3289,-0.588,0.446,0
Pictilisib,0.5686,0.5535,0.4548,-0.4773,0.5256333333333333,0
AT 7867,0.5635,0.5896,0.4795,-0.5226,0.5442,0
Abexinostat,0.5624,0.4868,NA,-0.4813,0.5246,1
NU-7441,0.5607,0.6262,0.3685,-0.4762,0.5184666666666666,0
MEGXM0_000433,0.5597,NA,0.33,-0.5437,0.44484999999999997,1
AC1L99UL,0.5579,0.5683,NA,-0.6234,0.5630999999999999,1
SB 239063,0.5577,0.5503,0.5346,-0.7887,0.5475333333333333,0
Sertraline,0.5573,0.396,NA,-0.4829,0.47665,1
Bithionol,0.5564,0.4912,NA,-0.491,0.5238,1
Fentanyl Isothiocyanate,0.556,0.4232,NA,-0.6309,0.48960000000000004,1
KU0060648,0.5553,0.4452,0.3667,-0.48,0.4557333333333333,0
Quinacrine,0.5539,0.6349,0.4839,-0.5052,0.5575666666666667,0
Carpindolol,0.5529,0.4793,0.3617,-0.6235,0.46463333333333334,0
Salmeterol,0.5527,NA,0.4247,-0.5106,0.4887,1
FPA1_000218,0.5508,0.4307,NA,-0.6727,0.49075,1
CID 46937231,0.5467,0.5085,NA,-0.5268,0.5276,1
Thioridazine,0.5439,0.56,0.4063,-0.4747,0.5034000000000001,0
Pyroxamide,0.5423,0.3707,0.3366,-0.4929,0.4165333333333333,0
Rebamipide,0.5422,0.5816,0.3293,-0.8094,0.48436666666666667,0
PF431396,0.541,0.753,0.4339,-0.4879,0.5759666666666667,0
MLS000038106,0.5409,0.3511,0.3737,-0.5184,0.4219,0
Cediranib,0.5395,0.5545,0.396,-0.743,0.49666666666666665,0
Pracinostat,0.5387,0.5328,0.3264,-0.477,0.4659666666666667,0
Panobinostat,0.5384,0.4489,0.3525,-0.5079,0.4466,0
Perphenazine,0.5382,0.5065,0.3444,-0.5193,0.4630333333333333,0
PIK 90,0.5364,0.4839,0.3301,-0.4738,0.45013333333333333,0
Pitavastatin Calcium,0.5362,0.441,NA,-0.6071,0.48860000000000003,1
GR-127935,0.5355,0.427,0.4074,-0.4988,0.45663333333333334,0
Amitriptyline,0.5344,0.5326,0.3485,-0.5,0.4718333333333333,0
Obatoclax,0.5339,0.5017,NA,-0.5269,0.5178,1
Ricolinostat,0.5337,0.577,0.4173,-0.5139,0.5093333333333333,0
MK-2206,0.5279,0.7238,0.5943,-0.486,0.6153333333333334,0
HG-14-10-04,0.5273,0.6212,0.4588,-0.4762,0.5357666666666666,0
Chlorpromazine,0.5242,0.5967,0.3498,-0.4919,0.49023333333333335,0
Dilazep,0.5233,0.5734,0.3285,-0.4788,0.4750666666666667,0
Idebenone,0.5218,0.7486,0.4028,-0.5035,0.5577333333333334,0
Amoxapine,0.519,0.5207,0.3738,-0.6344,0.4711666666666667,0
Tamoxifen,0.5184,0.7679,0.4199,-0.475,0.5687333333333333,0
"Cis-N,N-Dimethyl-9-(3-(1-Piperazinyl)Propylidene)Thioxanthene-2-Sulfonamide",0.5172,0.405,NA,-0.4829,0.4611,1
AC1MSUFC,0.5169,0.4413,0.3595,-0.5987,0.43923333333333336,0
CHEMBL2333343,0.5164,0.4329,0.3404,-0.601,0.4299,0
BAS 00631343,0.515,0.5377,0.3682,-0.6667,0.47363333333333335,0
CYTO7H11,0.5144,0.48,0.4533,-0.5074,0.48256666666666664,0
CHEMBL607856,0.5142,0.4695,0.3843,-0.4884,0.45599999999999996,0
301836-43-1,0.5131,0.5339,0.5647,-0.4949,0.5372333333333333,0
CHEMBL1083527,0.5098,0.6353,0.4485,-0.475,0.5312,0
rifampicin,0.5097,0.5124,0.3912,-0.5227,0.4711,0
apigenin,0.5083,0.5695,0.4543,-0.4797,0.5106999999999999,0
SU 11274,0.5074,0.5115,0.4194,-0.5284,0.4794333333333333,0
"4-(3,5-Dimethyl-4-nitro-1H-pyrazol-1-yl)butanoic acid",0.507,NA,0.5002,-0.6638,0.5036,1
RS-39604,0.5065,0.3418,NA,-0.5869,0.42414999999999997,1
Tubastatin A,0.5057,0.5703,0.3437,-0.4918,0.47323333333333334,0
UNII-EE9FJW53Z2,0.5056,0.4121,0.388,-0.4766,0.43523333333333336,0
TAE-684,0.5033,0.6865,0.5294,-0.4778,0.5730666666666666,0
WH-4-025,0.5021,0.6239,0.4496,-0.6045,0.5252,0
Hinokitiol,0.5021,0.4745,0.3609,-0.5104,0.4458333333333333,0
SPB02303,0.5004,0.4294,NA,-0.5035,0.4649,1
CHEMBL1551506,0.4988,0.7213,NA,-0.5098,0.61005,1
HY-11007,0.4975,0.7622,0.4374,-0.4925,0.5657,0
Radicicol,0.497,0.687,0.6343,-0.4765,0.6061,0
AC1LEEJB,0.496,0.378,0.36870000000000003,-0.8092,0.41423333333333334,0
"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",0.4956,0.4369,0.5877,-0.6333,0.5067333333333334,0
CHEMBL1456638,0.4954,NA,0.3856,-0.4836,0.4405,1
CAY-10594,0.4946,0.4232,0.4974,-0.4948,0.47173333333333334,0
BRD-K34387287,0.4929,0.3858,NA,-0.5025,0.43935,1
Protriptyline,0.492,0.42,0.4001,-0.4981,0.4373666666666667,0
AC1LDBAO,0.4911,0.489,0.3661,-0.4763,0.4487333333333333,0
ITK Inhibitor,0.4911,0.536,0.3948,-0.6373,0.47396666666666665,0
CHEMBL2132717,0.491,NA,0.4248,-0.5054,0.4579,1
869288-64-2,0.4909,0.6026,0.5016,-0.5099,0.5317000000000001,0
4-Deoxyuridine,0.4909,0.7427,0.515,-0.614,0.5828666666666666,0
BRD-K01425431,0.4906,0.618,0.4663,-0.4837,0.5249666666666667,0
CHEMBL1222381,0.4902,0.3806,0.3854,-0.5077,0.41873333333333335,0
ZSTK 474,0.4891,0.537,0.4601,-0.4812,0.4954,0
AC1O7GPT,0.4883,0.3796,NA,-0.6408,0.43395,1
Trifluoperazine,0.488,0.4766,0.4656,-0.5009,0.47673333333333334,0
YM 201636,0.4864,0.5677,0.46,-0.5256,0.5047,0
BRD-K41335306,0.4852,0.5666,NA,-0.6723,0.5259,1
CHEMBL2360506,0.4849,NA,0.3569,-0.5012,0.4209,1
CHEMBL2134189,0.4841,NA,0.403,-0.5692,0.44355,1
Saracatinib,0.4838,0.7788,0.3918,-0.485,0.5514666666666667,0
Fluoxetine,0.4838,0.4803,0.3391,-0.5065,0.4344,0
BAY 87-2243,0.4833,0.4365,NA,-0.4888,0.4599,1
Dasatinib,0.4828,0.7183,0.5738,-0.4832,0.5916333333333333,0
Methixene,0.4825,0.5577,0.3252,-0.5269,0.45513333333333333,0
1446-61-3,0.4814,0.425,NA,-0.9199,0.4532,1
Everolimus,0.4808,0.7323,NA,-0.6892,0.6065499999999999,1
Pizotyline,0.4807,0.3295,0.3374,-0.6947,0.38253333333333334,0
amcinonide,0.48,0.6636,0.5153,-0.6082,0.5529666666666666,0
Paroxetine,0.48,0.7165,0.4008,-0.5371,0.5324333333333333,0
Azelastine,0.4793,NA,0.4274,-0.6077,0.45335000000000003,1
Mibefradil,0.478,0.7008,0.4478,-0.6085,0.5422,0
CHEMBL2135770,0.4774,0.3286,NA,-0.4765,0.403,1
BRD-U88878891,0.4765,0.5151,0.4046,-0.5095,0.4654,0
SCHEMBL14976663,0.4756,0.354,NA,-0.6984,0.4148,1
Atorvastatin,0.475,0.4482,NA,-0.8388,0.4616,1
CHEMBL12760,0.4744,0.5616,NA,-0.4959,0.518,1
Pevonedistat,0.4741,0.621,0.4315,-0.4773,0.5088666666666667,0
GDC-0980 (RG7422),0.4735,0.5225,NA,-0.6049,0.498,1
PI-103,0.4733,0.7115,0.4279,-0.4747,0.5375666666666666,0
AZD-6482,0.4731,0.5771,0.4665,-0.624,0.5055666666666667,0
BRD-K88217904,0.4715,0.5237,NA,-0.76,0.49760000000000004,1
PD-173074,0.4713,0.7339,0.4985,-0.4803,0.5679,0
CHEMBL3182395,0.4703,0.7242,0.4054,-0.634,0.5333,0
BRD-K55612480,0.4703,0.4368,NA,-0.6059,0.45355,1
BRN 1549781,0.4692,0.5048,NA,-0.5361,0.487,1
NCGC00346967-01,0.4692,0.6327,0.3835,-0.4936,0.49513333333333337,0
Salermide,0.4689,0.4615,0.3717,-0.4754,0.4340333333333333,0
Genistein,0.4688,0.5436,0.5422,-0.4942,0.5182,0
TAS-103 (dihydrochloride),0.4684,0.5931,0.3311,-0.5167,0.4642,0
SCHEMBL1564574,0.4679,0.5975,0.3979,-0.5773,0.4877666666666667,0
PG 490,0.4674,0.569,0.444,-0.6069,0.49346666666666666,0
Camptothecin,0.4672,0.4695,0.3512,-0.6399,0.4293,0
AC1NWAML,0.467,0.5885,0.4773,-0.621,0.5109333333333334,0
Siramesine (hydrochloride),0.4668,0.4554,0.349,-0.5015,0.42373333333333335,0
Vandetanib,0.4661,0.5293,0.3358,-0.6082,0.4437333333333333,0
"13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",0.4657,0.5238,0.4732,-0.4815,0.4875666666666667,0
Primaquine,0.4653,0.382,0.3459,-0.4898,0.3977333333333333,0
CHEMBL153158,0.465,NA,0.3654,-0.5539,0.4152,1
CHEMBL2359857,0.4648,0.3285,NA,-0.57,0.39665,1
Zaldaride,0.4642,0.4546,0.4115,-0.6071,0.44343333333333335,0
CHEMBL3185054,0.4641,0.3252,NA,-0.6279,0.39465,1
BRD-K46791751,0.464,0.3464,NA,-0.6785,0.4052,1
GANT-61,0.4628,0.4293,NA,-0.5331,0.44605,1
METERGOLINE,0.4624,0.3862,0.4296,-0.7245,0.42606666666666665,0
Loperamide,0.4621,0.484,0.3807,-0.6038,0.44226666666666664,0
Triflupromazine,0.4617,0.537,0.4163,-0.543,0.4716666666666667,0
CHEMBL2130683,0.4606,0.3738,NA,-0.6176,0.4172,1
NVP-AEW541,0.4605,0.4747,0.3998,-0.5053,0.445,0
SCHEMBL618594,0.4597,0.4656,0.4856,-0.5122,0.4703,0
Raclopride,0.4592,NA,0.4272,-0.4887,0.44320000000000004,1
Bapta-AM,0.4591,0.3537,0.3278,-0.6676,0.3802,0
Amlodipine,0.459,0.4485,0.3998,-0.6296,0.4357666666666667,0
Resveratrol,0.4577,0.6889,0.4686,-0.4836,0.5384,0
Dactolisib,0.4568,0.5169,0.3946,-0.5041,0.4561,0
SA-1921456,0.4563,NA,0.3362,-0.5019,0.39625,1
Taselisib,0.4559,0.423,NA,-0.5472,0.43945,1
PP-30,0.4558,0.5731,NA,-0.5414,0.5144500000000001,1
Wiskostatin,0.4545,0.5935,NA,-0.6476,0.524,1
Tozasertib,0.4531,0.813,0.5087,-0.4851,0.5916,0
Rabusertib,0.4531,0.4368,0.4179,-0.5124,0.43593333333333334,0
SPECTRUM_000011,0.4503,0.4909,0.4244,-0.4907,0.4552,0
MLS003329221,0.4502,0.4014,NA,-0.6127,0.42579999999999996,1
Doxorubicin,0.4492,0.5416,0.4577,-0.6109,0.48283333333333334,0
Rimcazole,0.4491,0.3937,0.3415,-0.5564,0.39476666666666665,0
PI828,0.4469,0.4822,NA,-0.6419,0.46455,1
AZD-8055,0.4464,0.7634,0.4757,-0.5081,0.5618333333333333,0
Broad-Sai-686,0.4459,0.7796,0.4537,-0.4796,0.5597333333333333,0
UNII-5308DT8060,0.4458,0.4161,NA,-0.657,0.43095,1
Chloroxine,0.4454,0.3699,0.4631,-0.5116,0.42613333333333336,0
Niacin,0.4442,0.4277,NA,-0.6791,0.43595,1
PD-98059,0.4439,0.6657,0.3864,-0.6157,0.49866666666666665,0
XL-147,0.4427,0.4064,NA,-0.6657,0.42455,1
Carvedilol,0.4423,0.4761,NA,-0.6166,0.45920000000000005,1
IMD-0354,0.4419,0.5166,0.5319,-0.4808,0.4968,0
KW-2449,0.4418,0.6249,0.4177,-0.4784,0.4948,0
Foretinib,0.441,0.7068,0.4435,-0.487,0.5304333333333333,0
MLS000106835,0.4398,0.3568,0.338,-0.5368,0.37820000000000004,0
FPA1_000317,0.4396,0.4605,NA,-0.6099,0.45005,1
Farnesol,0.4393,0.3396,NA,-0.6296,0.38945,1
Arctigenin,0.4381,NA,0.3942,-0.5178,0.41615,1
"9-[3-(3,5-Dimethylpiperazin-1-yl)propyl]-9H-carbazole",0.4381,0.4039,NA,-0.6938,0.421,1
Fluspirilene,0.4381,0.3535,0.4158,-0.4781,0.40246666666666664,0
Lonafarnib,0.4375,0.4704,0.3551,-0.4764,0.421,0
Rhodomyrtoxin,0.4366,0.4037,NA,-0.5926,0.42015,1
Lapatinib,0.4362,0.7105,0.4712,-0.4988,0.5393,0
CHEMBL1705313,0.4361,NA,0.3501,-0.6654,0.3931,1
Crizotinib,0.4353,0.5409,0.5066,-0.4796,0.4942666666666667,0
BRD-K00141503,0.4346,0.5407,NA,-0.5264,0.48765,1
W13,0.4346,0.3693,0.3981,-0.6301,0.40066666666666667,0
HLI-373,0.4344,0.47,0.3955,-0.6541,0.4333,0
Epirubicin,0.4342,0.4024,NA,-0.5772,0.4183,1
Repaglinide,0.4338,0.4101,0.4599,-0.6127,0.4346,0
SU14813,0.4337,0.3869,NA,-0.6191,0.4103,1
SR-03000001971,0.4336,0.4092,NA,-0.4776,0.4214,1
Nortriptyline,0.4334,0.5587,0.5773,-0.5567,0.5231333333333333,0
Pempidine,0.4333,0.3356,NA,-0.8019,0.38445,1
ML213,0.4333,0.4983,NA,-0.5241,0.4658,1
Terconazole,0.4328,NA,0.4083,-0.6625,0.42055,1
CHEMBL299879,0.4314,0.3892,0.3978,-0.6676,0.40613333333333335,0
MEGXM0_000358,0.4313,0.3764,0.3313,-0.706,0.37966666666666665,0
Flupentixol,0.4304,NA,0.4584,-0.7574,0.4444,1
Clofazimine,0.4303,0.4358,NA,-0.498,0.43305000000000005,1
"Betamethasone 17,21-dipropionate",0.4296,0.3864,NA,-0.6795,0.40800000000000003,1
BRD-A24396574-001-01-5,0.4288,0.4899,0.5978,-0.4877,0.5055000000000001,0
UNC0638,0.4285,0.6251,0.3779,-0.4834,0.4771666666666667,0
MLS003448149,0.4278,0.4691,0.3585,-0.4869,0.41846666666666665,0
Dabigatran Etexilate,0.4272,0.4022,0.3291,-0.5258,0.38616666666666666,0
Tamatinib,0.4272,0.6031,0.593,-0.5386,0.5411,0
UNII-CVL1685GPH,0.4267,0.639,0.3664,-0.4923,0.47736666666666666,0
331771-20-1,0.4264,0.6527,0.3958,-0.479,0.4916333333333333,0
AKT Inhibitor VIII,0.4253,0.6183,0.4905,-0.4793,0.5113666666666666,0
Cabozantinib,0.4249,0.5128,0.4919,-0.6112,0.47653333333333336,0
WH-4-023,0.4242,0.3708,0.3626,-0.7545,0.3858666666666667,0
Valproic acid,0.4234,0.6305,0.494,-0.6142,0.5159666666666667,0
CHEMBL399379,0.4229,0.5088,0.3425,-0.4756,0.42473333333333335,0
BRD-A25736793,0.4226,0.6896,0.4472,-0.4767,0.5198,0
UK 356618,0.4215,0.3451,0.4862,-0.4997,0.4176,0
RS-23597-190,0.4211,0.3503,NA,-0.546,0.3857,1
BRD-K57638192,0.421,0.4367,0.3381,-0.6561,0.3986,0
MLS000564806,0.4205,0.4883,0.4005,-0.7841,0.43643333333333334,0
EVP-6124 (hydrochloride),0.4203,NA,0.3586,-0.6471,0.38944999999999996,1
EMD-1214063,0.4196,0.5648,0.5239,-0.48,0.5027666666666667,0
Hexachlorophene,0.4194,0.3797,0.3603,-0.4861,0.3864666666666667,0
MLS003271340,0.4192,NA,0.4034,-0.8609,0.4113,1
Promazine,0.419,0.4774,NA,-0.5221,0.4482,1
COT Inhibitor-2,0.4187,0.7068,0.4126,-0.6106,0.5127,0
MLS000089581,0.4159,0.3496,NA,-0.5209,0.38275000000000003,1
Rotenone,0.4156,0.4724,0.4724,-0.4786,0.4534666666666667,0
ZK-93423,0.4143,0.4653,0.4323,-0.4848,0.4373,0
PF 3845,0.4135,0.4299,NA,-0.5262,0.42169999999999996,1
BRD-K76938712,0.4131,0.3649,NA,-0.4976,0.389,1
Cidoxepin,0.4129,0.5177,0.4753,-0.4927,0.46863333333333335,0
Amiodarone,0.4118,0.456,0.4842,-0.6595,0.45066666666666666,0
Netupitant,0.4115,NA,0.3615,-0.5009,0.38649999999999995,1
BRD-U86222656,0.4114,0.4138,NA,-0.6215,0.41259999999999997,1
CID 75037095,0.4101,0.3742,0.4233,-0.4964,0.40253333333333335,0
ENMD-2076,0.4099,0.5506,NA,-0.531,0.48024999999999995,1
PRIMA 1,0.4097,0.4371,0.4699,-0.6763,0.4389,0
CHEMBL3182405,0.4093,0.5307,NA,-0.5452,0.47,1
MLS-0002494.0001,0.4086,0.382,NA,-0.6038,0.3953,1
Benzoxiquine,0.4085,0.334,NA,-0.5381,0.37124999999999997,1
CHEMBL2139291,0.408,NA,0.3368,-0.4749,0.37239999999999995,1
Carbacyclin,0.4078,0.5111,0.4562,-0.6307,0.45836666666666664,0
BAS 00535043,0.4075,0.4278,NA,-0.6478,0.41764999999999997,1
Rosuvastatin,0.4062,0.5651,0.5138,-0.5509,0.4950333333333334,0
BRD-K67090983,0.4057,NA,0.4135,-0.4806,0.40959999999999996,1
Molsidomine,0.4054,NA,0.3907,-0.681,0.39805,1
"N,N-Hexamethyleneamiloride",0.405,NA,0.3873,-0.6288,0.39615,1
Orlistat,0.4047,0.346,NA,-0.7314,0.37534999999999996,1
AZD7762,0.4041,0.4925,0.3398,-0.4784,0.41213333333333335,0
SCHEMBL2394914,0.404,0.3676,NA,-0.4742,0.38580000000000003,1
GS-39783,0.4039,NA,0.5601,-0.7009,0.482,1
NVP-AUY922,0.4035,0.7509,0.3863,-0.4738,0.5135666666666667,0
BRD32048,0.4027,0.6475,0.3619,-0.5095,0.4707,0
Pimozide,0.4025,0.5195,0.4129,-0.5005,0.4449666666666667,0
CHEMBL2355586,0.4024,0.3468,NA,-0.4795,0.3746,1
ZIDOVUDINE [AZT],0.402,0.5517,0.3289,-0.4959,0.4275333333333333,0
C21H27N7O3,0.4019,0.7791,0.486,-0.4798,0.5556666666666666,0
Dienogest,0.4017,0.5551,0.3494,-0.6135,0.4354,0
CHEMBL552425,0.4009,0.5576,0.5478,-0.4851,0.5021,0
AZD4547,0.4007,0.5192,0.5354,-0.5551,0.4851,0
Niguldipine,0.4003,0.3571,0.3796,-0.4884,0.379,0
"ICI-199,441",0.4001,0.3577,NA,-0.7322,0.3789,1
CHEMBL2136858,0.3996,NA,0.4494,-0.4801,0.4245,1
Tyrphostin AG-494,0.3994,0.3498,NA,-0.5099,0.3746,1
"6-(7-Hydroxy-6,7-dihydro-5H-pyrrolo[1,2-c]imidazol-7-yl)-n-methyl-2-naphthamide",0.3993,0.6491,0.4383,-0.6376,0.49556666666666666,0
Altanserin,0.3992,0.3621,0.3651,-0.7259,0.37546666666666667,0
Clorgiline,0.399,0.3661,NA,-0.7224,0.38255,1
CHEMBL2141330,0.3983,0.3715,0.3955,-0.4789,0.38843333333333335,0
Methylprednisolone,0.3982,0.4296,NA,-0.7554,0.4139,1
CHEMBL2140299,0.3977,0.4345,0.3721,-0.4983,0.4014333333333333,0
CHEMBL2135649,0.3969,NA,0.3299,-0.5388,0.3634,1
Sildenafil,0.3967,0.4671,0.4776,-0.5168,0.4471333333333333,0
Spironolactone,0.3962,0.3651,0.349,-0.5327,0.3701,0
CHEMBL3186197,0.3951,0.4045,0.33,-0.6569,0.37653333333333333,0
BRD-K55827386,0.393,0.4138,NA,-0.8883,0.4034,1
Benzohydroxamate,0.3928,0.5109,0.4076,-0.5207,0.4371,0
Methimazole,0.3926,0.4632,0.4724,-0.4788,0.4427333333333333,0
Lasalocid,0.3924,0.3596,0.3769,-0.6804,0.3763,0
Prochlorperazine,0.3922,0.5142,0.4432,-0.5,0.44986666666666664,0
AMG-9810,0.3917,0.5898,0.3342,-0.5356,0.43856666666666666,0
BRD-K04733502,0.3913,NA,0.3444,-0.5365,0.36785,1
BRD-K73008154,0.3913,0.4916,NA,-0.4939,0.44145,1
MLS000860958,0.3911,0.3334,0.3387,-0.6378,0.3544,0
IN1549,0.391,0.4726,0.4727,-0.4825,0.44543333333333335,0
Cladribine,0.3903,0.6496,0.4787,-0.5486,0.5062,0
AC480 (BMS-599626),0.39,0.7724,0.4212,-0.6038,0.5278666666666667,0
BRD-K60067222,0.39,0.4047,NA,-0.4958,0.39735,1
Iguratimod,0.3898,0.6186,NA,-0.6287,0.5042,1
Y-134,0.3894,0.4014,NA,-0.5181,0.3954,1
Setiptiline,0.3893,0.5652,NA,-0.4785,0.47725,1
MLS002699920,0.3893,NA,0.3978,-0.691,0.39354999999999996,1
SCHEMBL17497583,0.3889,0.4093,NA,-0.6137,0.3991,1
Hispidin,0.3884,0.3742,NA,-0.7245,0.3813,1
CO-1686 (AVL-301),0.388,0.5536,NA,-0.4765,0.4708,1
MLS002264437,0.3875,0.4089,0.3475,-0.5802,0.3813,0
CHEMBL416418,0.3873,0.563,0.4058,-0.4946,0.4520333333333333,0
BRD-A10420615-001-02-8,0.3872,0.3502,0.55,-0.4949,0.42913333333333337,0
PP 3,0.3867,0.4075,0.3762,-0.4926,0.39013333333333333,0
CHEMBL3260979,0.3866,0.5595,NA,-0.5654,0.47304999999999997,1
SA-1460032,0.3863,0.3617,NA,-0.8164,0.374,1
Sertraline HCl,0.3863,0.5274,NA,-0.5141,0.45685,1
SGX-523,0.386,0.6746,0.4201,-0.4819,0.49356666666666665,0
BD-1047,0.3859,0.4524,NA,-0.6856,0.41915,1
RS504393,0.3858,0.4463,0.4574,-0.6727,0.4298333333333333,0
Masitinib,0.3857,0.7272,0.4646,-0.4897,0.5258333333333334,0
Lenvatinib (E7080),0.3853,0.4351,0.3284,-0.5215,0.38293333333333335,0
Pimasertib,0.3844,0.673,0.4191,-0.6034,0.4921666666666667,0
MK-8245,0.3844,0.5405,NA,-0.7149,0.46245000000000003,1
NNC 05-2090,0.3842,0.6252,0.3348,-0.7309,0.44806666666666667,0
Itrazole,0.3837,0.8263,0.4517,-0.6481,0.5539000000000001,0
Rilmenidine,0.3835,0.5215,0.3827,-0.6788,0.4292333333333333,0
Pimavanserin,0.3833,0.6432,0.3808,-0.4939,0.4691,0
Linifanib,0.3825,0.5687,0.4339,-0.4843,0.4617,0
