compound,azt,nib,quine,vir,similarity,meansim,nas
BX 912,0.3924,0.3999,0.7469,0.4929,-0.3669,0.508025,0
CC-401,0.3909,0.443,0.6569,0.4581,-0.3694,0.487225,0
Plinabulin,0.3862,NA,0.5556,0.5134,-0.341,0.48506666666666665,1
CHEMBL2361739,0.3844,0.4759,0.6526,0.4944,-0.3538,0.501825,0
"MEK162 (ARRY-162, ARRY-438162)",0.3741,0.4239,0.7017,0.4758,-0.3335,0.493875,0
VRT752271,0.3684,0.426,0.6989,0.4875,-0.3257,0.4952,0
O-Demethylated Adapalene,0.3644,0.5191,0.6659,0.7256,-0.3263,0.56875,0
KF 38789,0.3626,0.4066,0.5352,0.5737,-0.3413,0.46952499999999997,0
cortisone-acetate,0.3626,0.5048,0.4124,0.5041,-0.3389,0.445975,0
CHEMBL2359886,0.3621,0.4752,0.6347,0.4081,-0.3315,0.470025,0
Thioguanine,0.3609,0.3423,0.5029,0.413,-0.3344,0.404775,0
Otilonium Bromide,0.3602,NA,NA,0.4423,-0.3297,0.40125,2
LY2874455,0.3579,0.3777,0.6014,0.4631,-0.3221,0.450025,0
LY2090314,0.3513,0.4254,0.6009,0.4534,-0.3379,0.45775,0
Thioguanosine,0.3509,0.4792,0.487,0.4366,-0.3442,0.438425,0
Volasertib (BI 6727),0.3362,0.4847,0.4284,0.7546,-0.3349,0.5009750000000001,0
TH-302,NA,0.6215,NA,0.6592,-0.3319,0.64035,2
CHEMBL3182395,NA,0.5883,0.5837,0.6712,-0.3723,0.6144000000000001,1
MLS002264466,NA,0.3331,0.4856,0.3804,-0.338,0.3997,1
Flurofamide,NA,NA,0.7046,0.4004,-0.3365,0.5525,2
BRD-K08982647,NA,NA,0.7031,0.3912,-0.324,0.54715,2
