compound,a5491,a5492,ha1e2,ht29,mcf72,pc3,vcap1,vcap2
"9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",0.45002,0.389025,0.478,0.3755,0.44394999999999996,0.564625,0.634125,0.439675
Pinacidil,0.449025,0.40555,0.42665,0.5169333333333334,0.421,0.5690999999999999,0.47631999999999997,0.4048
Ricolinostat,0.45675,0.431425,0.47866,0.464775,0.5093333333333333,0.525225,0.57414,0.581825
PD-0325901,0.5346,0.46376,0.5527,0.5517,0.5634666666666667,0.659925,0.64374,0.5646
Pimobendan,0.4014,0.48253333333333337,0.3881,0.5572,0.3702,0.4983333333333333,0.45977500000000004,0.3836333333333333
AZD-1775,0.53774,0.52778,0.5819,0.5559000000000001,0.5117333333333334,0.6566,0.6737,0.59012
"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",0.45461999999999997,0.556025,0.50335,0.4969,0.5067333333333334,0.5307999999999999,0.6091,0.4323
Mocetinostat,0.48218,0.42913999999999997,0.47082,0.49775,0.4033333333333333,0.58255,0.5688,0.46206
Alvocidib,0.50206,0.50775,0.442,0.563925,0.5701666666666667,0.548125,0.52782,0.4631
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,0.3964,0.384825,0.45146000000000003,0.47035,0.45885,0.47345000000000004,0.53026,0.4099666666666667
SU-11652,0.5135,0.49505,0.472725,0.516025,0.45180000000000003,0.633575,0.5515,0.49223333333333336
Vandetanib,0.52854,0.40802499999999997,0.43004,0.542375,0.4437333333333333,0.5121749999999999,0.60928,0.608025
SCHEMBL15556278,0.40346,0.34906,0.48265,0.5528666666666666,0.4487333333333334,0.506775,0.49842,0.469475
SCHEMBL17378613,0.49813999999999997,0.41624,0.492925,0.4969,0.46553333333333335,0.583825,0.51176,0.47914
"3,7-Bis(dimethylamino)phenothiazin-5-ium",0.49076,0.45453333333333334,0.59755,0.463075,0.5172333333333333,0.477725,0.56936,0.47535
Amuvatinib,0.52588,0.42024,0.48032,0.5479,0.5445,0.5586,0.57268,0.505
Dilazep,0.48774,0.34263333333333335,0.4489,0.49577499999999997,0.4750666666666667,0.559075,0.5319200000000001,0.471125
TPCA-1,0.46956000000000003,0.5381199999999999,0.528225,0.502175,0.5407666666666666,0.546675,0.6386999999999999,0.5079750000000001
PG 490,0.47996,0.4277666666666667,0.4013,0.51095,0.49346666666666666,0.53,0.54844,0.5374
PIK 75,0.49308,0.44645,0.4161,0.5630333333333334,0.4447333333333333,0.589525,0.47624,0.5322666666666667
Rebastinib,0.4644,0.39774,0.45152000000000003,0.5863666666666667,0.5324,0.60565,0.5905400000000001,0.5513
CI-1040,0.44834,0.48160000000000003,0.50002,0.496525,0.5322666666666667,0.625725,0.58396,0.485775
Lonafarnib,0.39705,0.45435,0.4535,0.5186666666666667,0.421,0.48095,0.511225,0.4405
Sorafenib,0.45158,0.474,0.54292,0.5485249999999999,0.49916666666666665,0.58545,0.5962000000000001,0.51108
Mitoxantrone,0.5412,0.5623,0.51588,0.60265,0.5869666666666666,0.668775,0.64586,0.4662
Pyrazolanthrone,0.40052,0.4084,0.51385,0.47715,0.48250000000000004,0.45782500000000004,0.641275,0.5118666666666667
AC1MJ3VH,0.45115,0.50395,0.41333333333333333,0.553275,0.4414666666666667,0.5321,0.5251,0.4775666666666667
LGX818,0.4629333333333333,0.42715000000000003,0.4634666666666667,0.446625,0.36615,0.5373,0.42879999999999996,0.46475
Enzastaurin,0.49272,0.4492,0.54992,0.52595,0.5368,0.562775,0.55716,0.47472
Y-26763,0.42395,0.3829,0.36735,0.4504,0.4494666666666667,0.4799,0.48818,0.45749999999999996
Quinacrine,0.5413,0.44494,0.38351999999999997,0.5626249999999999,0.5575666666666667,0.55065,0.58242,0.45974000000000004
CHEMBL3347630,0.43757999999999997,0.45815,0.4976,0.5279,0.5308333333333333,0.5277999999999999,0.53416,0.5196000000000001
SB590885,0.58854,0.45246,0.52726,0.53495,0.5429999999999999,0.57435,0.56488,0.4923
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.59162,0.61194,0.60672,0.580225,0.6366666666666667,0.6046,0.64598,0.69364
Wortmannin,0.6456,0.53958,0.5591,0.625625,0.5904,0.6746000000000001,0.6781,0.54516
Vorinostat,0.55808,0.49774,0.51348,0.5951500000000001,0.6575,0.627975,0.68416,0.61202
Cyclosporine,0.5694,0.404425,0.4681,0.530025,0.40303333333333335,0.477075,0.62632,0.466675
MLS003672589,0.5246999999999999,0.39242,0.467425,0.5139,0.45393333333333336,0.62,0.5603750000000001,0.44899999999999995
Radicicol,0.56936,0.52494,0.52074,0.45694999999999997,0.6061,0.5666249999999999,0.534,0.659375
STK249718,0.48,0.5098,0.4643,0.5691666666666667,0.41635,0.4723,0.4769,0.429
Maprotiline,0.50072,0.39644999999999997,0.45334,0.580525,0.3864666666666667,0.564525,0.5304,0.5088
Diflunisal,0.44730000000000003,0.45015,0.43467500000000003,0.48563333333333336,0.4054333333333333,0.5367,0.480575,0.5637666666666667
XAV 939,0.52535,0.465875,0.54114,0.42746666666666666,0.46726666666666666,0.520475,0.511075,0.45305
Oxetane,0.51368,0.5135500000000001,0.50048,0.498775,0.38216666666666665,0.57205,0.7114,0.4627
AKT Inhibitor IV,0.53022,0.42310000000000003,0.4998,0.51515,0.40696666666666664,0.506425,0.6286,0.54486
VX-745,0.532775,0.42124,0.54042,0.5779,0.5014333333333334,0.5323,0.5339,0.5417000000000001
CHEMBL2355513,0.46957499999999996,0.3819666666666667,0.38776,0.46363333333333334,0.46813333333333335,0.4157,0.5502,0.5144333333333333
Tyrphostin AG-1478,0.5509,0.46738,0.496275,0.489825,0.4700666666666667,0.647325,0.5764199999999999,0.519825
Piplartine,0.51402,0.46386,0.47102,0.57225,0.45640000000000003,0.5448500000000001,0.57394,0.5684750000000001
Foretinib,0.5347999999999999,0.56675,0.545025,0.5805,0.5304333333333333,0.588,0.5779799999999999,0.507825
Gallocatechin Gallate,0.44868,0.479425,0.5153,0.5359,0.5119333333333334,0.5609333333333333,0.52854,0.508675
BX-795,0.47906,0.50512,0.478275,0.498525,0.5108666666666667,0.570575,0.64262,0.504975
HLI-373,0.5264,0.445925,0.6051,0.5253333333333333,0.4333,0.56875,0.41647500000000004,0.42186
Vemurafenib,0.47818,0.48486,0.55178,0.5258,0.5278,0.63205,0.63638,0.509825
Promazine,0.49342,0.4055333333333333,0.50384,0.534975,0.4482,0.53445,0.56102,0.47709999999999997
Thalidomide,0.432425,0.45677500000000004,0.5811999999999999,0.5042666666666666,0.669,0.5344666666666666,0.5651200000000001,0.441625
CHEMBL2355399,0.4932333333333333,0.3846,0.38006666666666666,0.4654,0.4644,0.52795,0.46134,0.459
BRD-A24396574-001-01-5,0.48794,0.49404,0.4859,0.513675,0.5055000000000001,0.562775,0.58336,0.5844750000000001
Canertinib,0.48972,0.5359,0.52906,0.5402,0.5803666666666667,0.58455,0.5998,0.60804
CHEMBL3188661,0.45378,0.41026666666666667,0.49778,0.46845000000000003,0.5066666666666667,0.506875,0.46484000000000003,0.446075
AC1OCDAW,0.482775,0.3977,0.4282,0.500075,0.4456,0.504975,0.50625,0.4757
Amitriptyline,0.49808,0.361625,0.47772,0.534675,0.4718333333333333,0.49627499999999997,0.5680999999999999,0.44435
CT-200783,0.5346,0.405625,0.396,0.53285,0.40885,0.505725,0.46758,0.49620000000000003
WZ 4002,0.47414,0.47388,0.54928,0.5451,0.538,0.538175,0.66306,0.537325
Withaferin A,0.52066,0.53826,0.5617,0.5434,0.5735666666666667,0.6301249999999999,0.56818,0.59558
Y-39983,0.55006,0.50635,0.53758,0.5555666666666667,0.5367666666666667,0.56235,0.54374,0.528625
SB-216763,0.47492,0.51382,0.57342,0.503,0.5071,0.64855,0.51766,0.5426799999999999
SCHEMBL1564574,0.46278,0.48522,0.4822,0.58495,0.4877666666666667,0.61695,0.60632,0.4465
Tigecycline,0.44314,0.40549999999999997,0.38835,0.48686666666666667,0.4052,0.5204,0.57466,0.4329
Lapatinib,0.5208200000000001,0.5482400000000001,0.5077,0.570675,0.5393,0.49465,0.5912,0.44202
Glyburide,0.39897499999999997,0.450225,0.4468,0.48186666666666667,0.46576666666666666,0.6055,0.548,0.71975
C30H33N3O5S,0.53524,0.4019,0.49734,0.55485,0.42923333333333336,0.503325,0.57074,0.5260750000000001
AC1Q6JJ5,0.54686,0.53164,0.5255,0.553375,0.5037,0.6083000000000001,0.57908,0.48838
Parthenolide,0.44486,0.50632,0.42966,0.46346666666666664,0.4437666666666667,0.513525,0.57588,0.553175
AZ628,0.47164,0.4435,0.57494,0.55295,0.4871333333333333,0.620425,0.54318,0.53426
amcinonide,0.47892,0.3943,0.5123800000000001,0.43535,0.5529666666666666,0.5517500000000001,0.60022,0.5048
Cabozantinib,0.54166,0.47919999999999996,0.565375,0.5418499999999999,0.47653333333333336,0.533825,0.51398,0.5102
AS-605240,0.55692,0.50708,0.53322,0.559325,0.5636333333333333,0.57875,0.62696,0.5485666666666666
Simvastatin,0.47575,0.505775,0.53485,0.4687,0.51915,0.5008,0.61442,0.42885
MLS002222336,0.4661666666666667,0.4108,0.5100666666666667,0.5075666666666667,0.376,0.5284,0.456,0.47185
AZD-5438,0.50766,0.41605000000000003,0.40224,0.5595333333333333,0.5184,0.5566,0.5574600000000001,0.5395666666666666
Apigenin,0.399025,0.45915,0.35505,0.44706666666666667,0.48386666666666667,0.4275,0.439975,0.41596666666666665
ZSTK 474,0.50352,0.461,0.49574,0.52505,0.4954,0.5911,0.52716,0.592
BRD32048,0.48845,0.3657,0.4634333333333333,0.44486666666666663,0.4707,0.60215,0.5293749999999999,0.390575
Linifanib,0.48329999999999995,0.46402,0.58738,0.4341,0.4617,0.608875,0.66144,0.507575
Phenytoin,0.42076,0.4215666666666667,0.4792,0.4787,0.39105,0.528,0.48155,0.4633333333333333
869288-64-2,0.46784,0.50015,0.50136,0.544475,0.5317000000000001,0.533175,0.64754,0.6145333333333334
Mesoridazine,0.4006,0.49329999999999996,0.497125,0.536975,0.39165,0.5604666666666667,0.5050250000000001,0.436225
(3-Isopropoxyphenyl)(1-((5-methyl-1-propyl-1H-pyrazol-4-yl)methyl)piperidin-3-yl)methanone,0.43835,0.4113,0.5263,0.44185,0.50715,0.53925,0.372025,0.406
Flufenamic acid,0.415975,0.44125000000000003,0.4772,0.4149333333333333,0.3961,0.5403,0.563,0.44694999999999996
TL_HRAS26,0.4827,0.53984,0.57276,0.503425,0.5312666666666667,0.629925,0.65092,0.47718
BAY 61-3606,0.45074000000000003,0.45218,0.565225,0.502425,0.5311,0.5761499999999999,0.52704,0.57225
Nortriptyline,0.5102,0.44688,0.480725,0.5815,0.5231333333333333,0.498625,0.5725,0.49073333333333335
Phentolamine,0.44129999999999997,0.4734,0.4242,0.56105,0.3758,0.43995000000000006,0.4611,0.38926666666666665
Refametinib,0.39665,0.424,0.4026666666666667,0.4402333333333333,0.41359999999999997,0.50265,0.47636,0.40813333333333335
GSK-3 Inhibitor II,0.425025,0.408325,0.504625,0.42464999999999997,0.5228333333333334,0.452475,0.5383,0.48062499999999997
A-443654,0.48891999999999997,0.41207499999999997,0.44834,0.5870333333333333,0.5016666666666666,0.55865,0.51646,0.58025
Avicin-D,0.46604999999999996,0.46256,0.5116499999999999,0.5705,0.4353666666666667,0.557825,0.56176,0.38522
NU-7026,0.38646,0.4415,0.5532,0.5740666666666667,0.4816666666666667,0.45594999999999997,0.48628,0.5278666666666667
WZ3105,0.49082,0.39986666666666665,0.458125,0.508225,0.51015,0.6279750000000001,0.43876000000000004,0.42676
Chelerythrine,0.41566000000000003,0.46126666666666666,0.40492,0.5352666666666667,0.4231666666666667,0.536175,0.54965,0.5639000000000001
AZD 1480,0.42136,0.4037,0.4688,0.4784333333333333,0.44453333333333334,0.548725,0.47814,0.6345
UNC 669,0.3892,0.3983,0.41455,0.4526,0.4943666666666667,0.46525,0.517275,0.5398666666666667
AT-7519,0.51024,0.4145,0.47122000000000003,0.550875,0.5693333333333334,0.584325,0.54328,0.504375
Aliskiren,0.38945,0.34724999999999995,0.3580333333333333,0.4679,0.56345,0.510875,0.5312333333333333,0.3912
CGP 60474,0.52542,0.450225,0.43235,0.6157,0.5059,0.588425,0.54989999999999994,0.48482
BIO2_000413,0.45865,0.4203,0.423,0.49566666666666664,0.4751,0.49845,0.37646666666666667,0.4533
BMS-345541,0.46786,0.4433,0.55098,0.50335,0.6037,0.564025,0.55758,0.46534
GSK-3 Inhibitor IX,0.48544,0.48508,0.54954,0.445425,0.49833333333333335,0.576075,0.5038,0.46015
Fenretinide,0.48744000000000004,0.3967,0.43968,0.48045000000000004,0.3857,0.5211749999999999,0.5358,0.5165666666666666
Aminopurvalanol,0.49513999999999997,0.48665,0.3866,0.475375,0.49543333333333334,0.61585,0.55674,0.422
PF 3845,0.3713,0.433075,0.417925,0.49410000000000004,0.42169999999999996,0.5425666666666666,0.51265,0.40552
Daminozide,0.43656666666666666,0.35914999999999997,0.472925,0.42146666666666666,0.44794999999999996,0.5330999999999999,0.465875,0.46596666666666664
HG-9-91-01,0.428,0.43738,0.53302,0.5009,0.45690000000000003,0.523525,0.553525,0.4922333333333333
Lenalidomide,0.471625,0.439525,0.5389,0.38693333333333335,0.3896,0.5428,0.514825,0.38695
"Pfmrk inhibitor, wr 216174",0.39064,0.4437,0.437125,0.411425,0.3708,0.49922500000000003,0.51254,0.5108
Auranofin,0.38166,0.40242,0.51068,0.5785666666666667,0.4094,0.49085,0.53318,0.5482
Daunorubicin,0.4522,0.46085,0.3639,0.5046,0.39763333333333334,0.52895,0.455975,0.4426
Osimertinib,0.48562,0.41715,0.4871,0.540825,0.38989999999999997,0.56005,0.57744,0.43000000000000005
PS-1145,0.375825,0.42110000000000003,0.4304,0.4344,0.3862,0.5563,0.5041,0.3831
Hydroxyl,0.42356,0.3853,0.47475,0.5342,0.38895,0.536125,0.520225,0.48316666666666663
Narciclasine,0.44188,0.45649999999999996,0.44720000000000004,0.5679333333333334,0.42036666666666667,0.5645,0.47414,0.499025
ML162,0.5034000000000001,0.41478,0.50026,0.519475,0.49793333333333334,0.5166499999999999,0.56958,0.5512
BRD-K42573370-001-01-1,0.3802,0.43553333333333333,0.42535,0.4313666666666667,0.3937333333333333,0.5221666666666667,0.51465,0.45844999999999997
U-0126,0.392625,0.46854999999999997,0.3745,0.4962,0.49805,0.49683333333333335,0.4896666666666667,0.4678
Staurosporine,0.47355,0.3756,0.41236666666666666,0.47206666666666663,0.4031,0.5232,0.48448,0.5424
Elliptecine,0.559325,0.42317499999999997,0.431425,0.45715,0.3981,0.52485,0.52992,0.4089666666666667
BMS-387032,0.464575,0.46303333333333335,0.50764,0.5804,0.45853333333333335,0.5807,0.5262,0.553775
AS601245,0.5258499999999999,0.468175,0.43746,0.5724,0.5110333333333333,0.568275,0.53128,0.48842
Trametinib,0.483175,0.41604,0.55306,0.53385,0.5359666666666667,0.56575,0.5642,0.51735
C24H25CLFN5O3,0.519875,0.49024999999999996,0.48208,0.4919,0.47186666666666666,0.589075,0.54762,0.5836250000000001
LDN 193189,0.5100750000000001,0.46618,0.55514,0.6366666666666667,0.5423666666666667,0.6314,0.64968,0.49594
Avicin-G,0.51085,0.5354333333333333,0.45938,0.494275,0.5448666666666667,0.607525,0.55574,0.43188
PCI-34051,0.4711666666666667,0.427025,0.41838,0.368475,0.5321333333333333,0.5023500000000001,0.488025,0.44580000000000003
Lestaurtinib,0.44093333333333334,0.39535,0.38766666666666666,0.5156666666666666,0.40166666666666667,0.544525,0.516675,0.5164
MLS000089581,0.41256666666666664,0.40945,0.5038,0.40105,0.38275000000000003,0.4364,0.51156,0.453725
MLS001173269,0.5153,0.40607499999999996,0.4671,0.5041333333333333,0.40449999999999997,0.557525,0.49019999999999997,0.50495
Benzbromarone,0.4247,0.37305,0.4557,0.445875,0.4877666666666667,0.4593,0.5543333333333333,0.4484666666666667
BRD-U86222656,0.53945,0.43295,0.4316,0.47450000000000003,0.41259999999999997,0.52735,0.483425,0.483275
SR-2640,0.41133333333333333,0.4285,0.49555,0.4159333333333333,0.43155,0.48107500000000003,0.46472,0.40393333333333337
