compound,a5491,a5492,ha1e2,ht29,mcf72,pc3,vcap1,vcap2
Ruxolitinib,0.58994,0.47714999999999996,0.55558,0.5283249999999999,0.48693333333333333,0.628875,0.61418,0.49266
"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",0.59162,0.61194,0.60672,0.580225,0.6366666666666667,0.6046,0.64598,0.69364
Wortmannin,0.6456,0.53958,0.5591,0.625625,0.5904,0.6746000000000001,0.6781,0.54516
Vorinostat,0.55808,0.49774,0.51348,0.5951500000000001,0.6575,0.627975,0.68416,0.61202
MAYBRIDGE4_003028,0.6336333333333334,0.40676666666666667,0.5338,0.6132,0.3922333333333333,0.491775,0.5141,0.44475
Guanadrel,0.62375,0.3793666666666667,0.4429666666666667,0.45143333333333335,0.51215,0.549075,0.5287333333333333,0.52645
TSU-68,0.5214,0.533675,0.48323333333333335,0.6106333333333334,0.4226666666666667,0.50225,0.4912,0.41598
Radicicol,0.56936,0.52494,0.52074,0.45694999999999997,0.6061,0.5666249999999999,0.534,0.659375
STK249718,0.48,0.5098,0.4643,0.5691666666666667,0.41635,0.4723,0.4769,0.429
STK219801,0.53904,0.46492,0.49518,0.57075,0.4896333333333333,0.58865,0.53978,0.60825
Maprotiline,0.50072,0.39644999999999997,0.45334,0.580525,0.3864666666666667,0.564525,0.5304,0.5088
"16,16-Dimethyl prostaglandin e2",0.46878,0.4078,0.53222,0.50935,0.48516666666666663,0.6205333333333334,0.593975,0.51974
"Ingenol 3,20-dibenzoate",0.49448,0.46628000000000003,0.5602,0.47404999999999997,0.4223,0.6375,0.56606,0.5304
SCHEMBL6851809,0.524,0.44345,0.5057200000000001,0.5725750000000001,0.60215,0.5363666666666667,0.51526,0.5029250000000001
Dactolisib,0.57284,0.4415,0.51456,0.5433749999999999,0.4561,0.61255,0.56598,0.53695
5-(6-Aminopurin-9-yl)-2-methyltetrahydrofuran-3-ol,0.464175,0.4162,0.51935,0.526325,0.5052,0.5247333333333333,0.561725,0.521
BRD-A43331270-001-01-6,0.54602,0.5033,0.4365,0.4924,0.4556,0.62435,0.64332,0.5277000000000001
XAV 939,0.52535,0.465875,0.54114,0.42746666666666666,0.46726666666666666,0.520475,0.511075,0.45305
Oxetane,0.51368,0.5135500000000001,0.50048,0.498775,0.38216666666666665,0.57205,0.7114,0.4627
BRD-A25736793,0.587025,0.41559999999999997,0.43194,0.543975,0.5198,0.530675,0.5408,0.5441666666666667
GSK-2334470,0.5046,0.40824,0.511925,0.497525,0.44586666666666663,0.491425,0.522425,0.44572
Rifabutin,0.45556,0.38956666666666667,0.47676,0.41973333333333335,0.65115,0.5005,0.4714,0.5883499999999999
Panobinostat,0.54386,0.44425000000000003,0.44066,0.562125,0.4466,0.577075,0.53586,0.51138
F1061-0166,0.491675,0.38265,0.44926,0.4785333333333333,0.38786666666666664,0.492,0.5697,0.4901333333333333
JNJ-38877605,0.4973,0.4074,0.4507,0.46115,0.4027,0.510825,0.5164,0.5479333333333334
PX 12,0.47835,0.4659666666666667,0.45486,0.453,0.5276000000000001,0.593075,0.44662,0.53558
Doramapimod,0.51962,0.389125,0.50018,0.50525,0.42979999999999996,0.5546,0.48364,0.58365
Resveratrol,0.52728,0.42924,0.4864,0.48775,0.5384,0.547575,0.54592,0.3882
Raloxifene,0.56226,0.45846666666666663,0.5089,0.581175,0.5462333333333333,0.524375,0.6041,0.48450000000000004
Calcitriol,0.4828,0.5132,0.43134,0.4728,0.5442666666666667,0.5595,0.592625,0.4879
Tyrphostin AG-1478,0.5509,0.46738,0.496275,0.489825,0.4700666666666667,0.647325,0.5764199999999999,0.519825
AZD-1152-HQPA,0.51468,0.5895,0.48218,0.532925,0.5238333333333334,0.648975,0.5122599999999999,0.45798
Phorbol 12-myristate-13-acetate,0.43088,0.469125,0.53688,0.493925,0.4434,0.632575,0.60722,0.43512
"Trichostatin A, Streptomyces Sp.",0.5477799999999999,0.43268,0.47392,0.598375,0.5686333333333333,0.6391,0.65132,0.61122
Veliparib,0.50334,0.47166,0.54118,0.5413666666666667,0.6137666666666667,0.644425,0.54908,0.50514
Foretinib,0.5347999999999999,0.56675,0.545025,0.5805,0.5304333333333333,0.588,0.5779799999999999,0.507825
Gallocatechin Gallate,0.44868,0.479425,0.5153,0.5359,0.5119333333333334,0.5609333333333333,0.52854,0.508675
Troglitazone,0.54038,0.53826,0.46558,0.5265249999999999,0.5994666666666666,0.5695749999999999,0.60534,0.4849
GSK-1904529A,0.56298,0.5121333333333333,0.49088,0.5527500000000001,0.4872333333333333,0.536175,0.60602,0.5488
MLN 2238,0.52668,0.48906000000000005,0.66644,0.539775,0.5483,0.606475,0.6043999999999999,0.5222
Phloretin,0.4704,0.4160333333333333,0.44035,0.514875,0.4670333333333333,0.542575,0.53446,0.48508
ASN 05257430,0.44842499999999996,0.41006000000000004,0.5516,0.43416666666666665,0.44066666666666665,0.6104333333333334,0.51448,0.3834
BX-795,0.47906,0.50512,0.478275,0.498525,0.5108666666666667,0.570575,0.64262,0.504975
"4-(3-Ethyl[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-6-yl)aniline",0.43573333333333336,0.3885,0.5192,0.48573333333333335,0.45013333333333333,0.49083333333333334,0.47984,0.40959999999999996
Vemurafenib,0.47818,0.48486,0.55178,0.5258,0.5278,0.63205,0.63638,0.509825
UNII-MET7ZRB8Y7,0.4958,0.4248,0.45306,0.5162249999999999,0.4036666666666667,0.5034000000000001,0.56318,0.4346
Linsitinib,0.4866,0.42642,0.52742,0.4702,0.41133333333333333,0.586575,0.51556,0.51234
Tubastatin A,0.43672500000000003,0.40835,0.46424,0.4708,0.47323333333333334,0.5052,0.51234,0.49145
Doxorubicin,0.48456000000000005,0.539875,0.40188,0.548025,0.48283333333333334,0.555675,0.58448,0.43420000000000003
Niclosamide,0.57904,0.46232,0.54054,0.58585,0.45076666666666665,0.6282,0.66888,0.43645
Rottlerin,0.53172,0.4202,0.5121600000000001,0.48695,0.5043,0.576425,0.66356,0.527925
Sepantronium,0.53342,0.39166666666666666,0.47964,0.56552499999999994,0.47773333333333334,0.571425,0.62262,0.452
Brefeldin A,0.458225,0.46706,0.5412666666666667,0.496275,0.5587666666666666,0.5625249999999999,0.60272,0.55748
Cisapride,0.47885,0.52105,0.46705,0.50825,0.42474999999999996,0.7023,0.406825,0.52365
BRD-A24396574-001-01-5,0.48794,0.49404,0.4859,0.513675,0.5055000000000001,0.562775,0.58336,0.5844750000000001
Pictilisib,0.5358,0.5059400000000001,0.4919,0.5171250000000001,0.5256333333333333,0.601875,0.62128,0.502425
Alitretinoin,0.41166,0.43165,0.42546666666666666,0.4968666666666667,0.3763333333333333,0.493875,0.53288,0.4835
GW843682X,0.47402,0.42794,0.54382,0.49693333333333334,0.5394,0.5479,0.6181,0.4956
SAN1_003817,0.4408,0.5321,0.5765,0.4779,0.43725,0.531525,0.413575,0.43495000000000006
Glimepiride,0.48285,0.4081,0.47045000000000003,0.5225333333333333,0.5110666666666667,0.5067666666666667,0.461125,0.4988
Valproic acid,0.4459,0.5198,0.42946,0.4032,0.5159666666666667,0.6128,0.4512,0.5096666666666667
Diphenyleneiodonium,0.46353333333333335,0.608,0.39355,0.484575,0.44843333333333335,0.46316666666666667,0.4364,0.45547499999999996
Canertinib,0.48972,0.5359,0.52906,0.5402,0.5803666666666667,0.58455,0.5998,0.60804
Nifedipine,0.40485000000000004,0.39434,0.5916,0.4957333333333333,0.55135,0.55965,0.606975,0.5524333333333333
NUTLIN 3,0.4711,0.5038,0.472275,0.526375,0.49173333333333336,0.64645,0.58998,0.466
Tosedostat,0.46166,0.42626000000000003,0.48231999999999997,0.526525,0.4575666666666667,0.6529,0.57126,0.50452
CHEMBL3188661,0.45378,0.41026666666666667,0.49778,0.46845000000000003,0.5066666666666667,0.506875,0.46484000000000003,0.446075
"13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",0.47947999999999996,0.40299999999999997,0.45449999999999996,0.523925,0.4875666666666667,0.58555,0.536,0.42232000000000003
Pevonedistat,0.51802,0.43742000000000003,0.4916,0.5135333333333333,0.5088666666666667,0.5790500000000001,0.56634,0.4876
Busulfan,0.43753333333333333,0.4818,0.41295000000000004,0.526975,0.49495,0.7176,0.47708,0.4606
Tozasertib,0.64094,0.5806,0.57604,0.523725,0.5916,0.6309,0.63636,0.5132
CHEMBL2132289,0.46734,0.4661,0.5857749999999999,0.509125,0.48883333333333334,0.525075,0.5186999999999999,0.5063
AC1OCDAW,0.482775,0.3977,0.4282,0.500075,0.4456,0.504975,0.50625,0.4757
SMR000075319,0.5252,0.507825,0.5162,0.657075,0.52945,0.5584333333333333,0.69464,0.49908
Amitriptyline,0.49808,0.361625,0.47772,0.534675,0.4718333333333333,0.49627499999999997,0.5680999999999999,0.44435
Danusertib,0.4575,0.49017499999999997,0.48708,0.516775,0.4936,0.486625,0.52932,0.4688
Syrosingopine,0.4201,0.409675,0.5390999999999999,0.3745,0.3443,0.4848,0.4890333333333333,0.41386666666666666
SCHEMBL2608041,0.427125,0.45686666666666664,0.39934,0.391475,0.4933,0.35956666666666665,0.44744,0.450575
SPECTRUM2_001084,0.54588,0.53655,0.5237666666666667,0.45175,0.39216666666666666,0.457675,0.5324,0.40604
Imatinib,0.57745,0.5277,0.48956,0.56125,0.49746666666666667,0.5925,0.55076,0.5481666666666667
NSC95397,0.45792,0.4487,0.47274,0.50065,0.4737,0.561525,0.5858,0.544925
Pyrimethamine,0.49822,0.43620000000000003,0.5324,0.5029333333333333,0.4698,0.49970000000000003,0.49038,0.4649
WZ 4002,0.47414,0.47388,0.54928,0.5451,0.538,0.538175,0.66306,0.537325
Y-39983,0.55006,0.50635,0.53758,0.5555666666666667,0.5367666666666667,0.56235,0.54374,0.528625
LY2874455,0.46398,0.50435,0.455575,0.4558333333333333,0.4393666666666667,0.450025,0.54672,0.44020000000000004
AC1NWAOX,0.42843333333333333,0.37345,0.4006,0.466175,0.53505,0.460225,0.448675,0.5486333333333333
SB-216763,0.47492,0.51382,0.57342,0.503,0.5071,0.64855,0.51766,0.5426799999999999
LY-294002,0.57988,0.54178,0.52964,0.5923499999999999,0.5863,0.6218250000000001,0.61988,0.5086
Entinostat,0.50586,0.4768,0.5607800000000001,0.552675,0.5944666666666667,0.6193,0.61914,0.55586
BG-51,0.46972,0.3944,0.416675,0.4961,0.40826666666666667,0.492025,0.53068,0.502
ITK Inhibitor,0.53302,0.42225999999999997,0.50072,0.531775,0.47396666666666665,0.427775,0.58204,0.4543
GW620972X,0.48972,0.48828,0.5296,0.49912500000000004,0.4472,0.579025,0.56572,0.4485
NVP-AUY922,0.5038199999999999,0.50834,0.59432,0.485975,0.5135666666666667,0.6015,0.58782,0.683425
Tigecycline,0.44314,0.40549999999999997,0.38835,0.48686666666666667,0.4052,0.5204,0.57466,0.4329
Sunitinib,0.46326,0.45005,0.4488,0.5366,0.5812333333333333,0.5539000000000001,0.51666,0.52765
BIX01294,0.53506,0.462675,0.47234,0.5337,0.5544333333333333,0.559025,0.6904,0.48512
Glyburide,0.39897499999999997,0.450225,0.4468,0.48186666666666667,0.46576666666666666,0.6055,0.548,0.71975
SB-203580,0.43172,0.40478000000000003,0.51074,0.5897,0.5357333333333333,0.6487666666666666,0.50486,0.4361
CHEMBL2131973,0.4823,0.3841333333333333,0.40647500000000003,0.446725,0.451,0.513125,0.5668,0.5647
Ursolic acid,0.54022,0.45793333333333336,0.52364,0.505625,0.4051,0.6485333333333333,0.68845,0.4526
PF431396,0.50952,0.52922,0.45698,0.532375,0.5759666666666667,0.5293,0.62022,0.44594999999999996
AC1Q6JJ5,0.54686,0.53164,0.5255,0.553375,0.5037,0.6083000000000001,0.57908,0.48838
Tacedinaline,0.46922,0.4597,0.53134,0.501375,0.4909,0.650675,0.58784,0.5146
4LY1,0.40655,0.389775,0.3718666666666667,0.43143333333333334,0.4558333333333333,0.514375,0.47614,0.41746666666666665
Butein,0.430975,0.47063333333333335,0.44430000000000003,0.45465,0.3582,0.4677,0.44896,0.4797666666666667
GSK-1070916,0.55742,0.49576,0.57348,0.606825,0.5751000000000001,0.65105,0.6489,0.64075
AZ628,0.47164,0.4435,0.57494,0.55295,0.4871333333333333,0.620425,0.54318,0.53426
amcinonide,0.47892,0.3943,0.5123800000000001,0.43535,0.5529666666666666,0.5517500000000001,0.60022,0.5048
AS-605240,0.55692,0.50708,0.53322,0.559325,0.5636333333333333,0.57875,0.62696,0.5485666666666666
AZD4547,0.485,0.3896,0.5055999999999999,0.57895,0.4851,0.57085,0.60458,0.5409999999999999
Simvastatin,0.47575,0.505775,0.53485,0.4687,0.51915,0.5008,0.61442,0.42885
MLS002222336,0.4661666666666667,0.4108,0.5100666666666667,0.5075666666666667,0.376,0.5284,0.456,0.47185
Bosutinib,0.48628,0.51895,0.5587,0.51185,0.5521333333333334,0.501575,0.64624,0.513525
Altrenogest,0.426925,0.43875,0.410875,0.461875,0.3726,0.5618000000000001,0.4771,0.41394000000000003
Phorbol Myristate Acetate,0.40262000000000003,0.4569,0.535875,0.5534333333333333,0.4605666666666667,0.546125,0.5217,0.46557499999999996
Taranabant,0.413925,0.4619333333333333,0.43116666666666664,0.5332,0.46435000000000004,0.6151249999999999,0.619375,0.47100000000000003
