compound,a5491,a5492,ha1e2,ht29,mcf72,pc3,vcap1,vcap2
Bosutinib,0.48628,0.51895,0.5587,0.51185,0.5521333333333334,0.501575,0.64624,0.513525
O-Demethylated Adapalene,0.48094,0.53945,0.55655,0.46115,0.4451,0.56875,0.6525,0.5229
"(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one",0.45362500000000006,0.43420000000000003,0.46924,0.48306666666666664,0.43656666666666666,0.487975,0.51856,0.542
SCHEMBL618594,0.52402,0.41265999999999997,0.4379,0.49012500000000003,0.4703,0.54525,0.5088,0.495975
CHEMBL3182395,0.47215,0.4251,0.442,0.477275,0.5333,0.6144000000000001,0.59612,0.44165
CC-401,0.459225,0.6009,0.52236,0.479625,0.5107666666666667,0.487225,0.56946,0.48773333333333335
A-443654,0.48891999999999997,0.41207499999999997,0.44834,0.5870333333333333,0.5016666666666666,0.55865,0.51646,0.58025
ZK-93423,0.37368,0.40413333333333334,0.44123999999999997,0.4125,0.4373,0.4896,0.55446,0.417
Tivantinib,0.5361,0.52188,0.49807999999999997,0.552525,0.45653333333333335,0.5915,0.52928,0.5316799999999999
CGK733,0.48882,0.4378,0.5017199999999999,0.472675,0.44783333333333336,0.55345,0.58212,0.5012666666666666
Kinetin Riboside,0.4819,0.4267,0.46804,0.48885,0.4796,0.502275,0.56832,0.4335
Plinabulin,0.3570333333333333,0.3976,0.41424,0.5028666666666667,0.3565,0.48506666666666665,0.46564,0.5606
GSK-3 Inhibitor IX,0.48544,0.48508,0.54954,0.445425,0.49833333333333335,0.576075,0.5038,0.46015
179324-69-7,0.43929999999999997,0.45465,0.5684400000000001,0.51735,0.5036333333333334,0.6028249999999999,0.61324,0.516
GW-5074,0.4881,0.45094,0.54808,0.583175,0.478,0.5015000000000001,0.5229,0.485525
MLS002264453,0.38983333333333337,0.34355,0.429975,0.4656,0.3519,0.4476,0.4541,0.5486
MLS002264466,0.3401,0.3579,0.373,0.4908,0.42286666666666667,0.3997,0.55525,0.48200000000000004
VRT752271,0.5359499999999999,0.401,0.44545,0.455075,0.45646666666666663,0.4952,0.49460000000000004,0.41763333333333336
Cladribine,0.502875,0.53886,0.47876,0.5229,0.5062,0.598825,0.55674,0.48312499999999997
cortisone-acetate,0.365075,0.51365,0.4548333333333333,0.42633333333333334,0.48115,0.445975,0.43438,0.37155
Dolastatin 10,0.42414999999999997,0.34509999999999996,0.40563333333333335,0.4657,0.41505000000000003,0.4845,0.5096333333333334,0.44675
Thioguanine,0.48834999999999995,0.5366,0.415325,0.3941,0.42873333333333336,0.404775,0.573375,0.4616
