compound,azt,nib,quine,vir,similarity,meansim,nas
Sirolimus,0.5828,0.5129,0.7565,0.7807,-0.4747,0.658225,0
Nimodipine,0.5827,0.3681,0.659,0.8194,-0.6135,0.6073,0
MLS002703099,0.5821,0.3843,0.6692,0.543,-0.6446,0.54465,0
BAY 61-3606,0.5801,0.47,0.6831,0.5714,-0.4766,0.5761499999999999,0
Foretinib,0.5788,0.477,0.6313,0.6649,-0.487,0.588,0
PLX-4720,0.5785,0.4861,0.7469,0.5734,-0.519,0.596225,0
MLS000709026,0.5744,0.4791,0.8068,0.5495,-0.4809,0.60245,0
BMS-345541,0.574,0.4635,0.6977,0.5209,-0.6144,0.564025,0
848193-68-0,0.574,0.4405,0.6198,0.7571,-0.5144,0.59785,0
CHEMBL1673039,0.571,0.5813,0.6429,0.5291,-0.5002,0.581075,0
PF477736,0.5671,0.524,0.63,0.694,-0.516,0.603775,0
Rebastinib,0.5634,0.5353,0.7235,0.6004,-0.4861,0.60565,0
CHEMBL2361787,0.5633,0.536,0.5521,0.6626,-0.48,0.5785,0
TIE2 Kinase Inhibitor,0.5599,0.4186,0.4621,0.4924,-0.6349,0.48325,0
CHEMBL3182128,0.5579,0.4543,NA,0.3877,-0.5352,0.4666333333333333,1
SPECTRUM_000403,0.5556,0.3432,0.5582,0.4538,-0.5619,0.4777,0
LRRK2-IN-1,0.5552,0.5512,0.7471,0.7252,-0.4893,0.644675,0
PA-824,0.5548,0.4125,0.5464,0.3596,-0.6176,0.468325,0
Bupropion,0.5539,NA,0.6499,0.529,-0.4987,0.5776,1
ZIDOVUDINE [AZT],0.5531,NA,0.5586,0.3551,-0.4959,0.48893333333333333,1
"9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",0.5517,0.3749,0.7396,0.5923,-0.6295,0.564625,0
Mefexamide,0.5516,0.4105,0.5706,0.348,-0.7369,0.470175,0
L-690330,0.5494,0.4353,0.7935,0.5478,-0.4881,0.5815,0
"9-[3-(3,5-Dimethylpiperazin-1-yl)propyl]-9H-carbazole",0.549,0.341,0.5737,NA,-0.6938,0.4879,1
EX-8678,0.5487,0.5152,0.7468,0.4176,-0.4788,0.557075,0
NCGC00346967-01,0.5484,0.4256,0.7041,0.6507,-0.4936,0.5821999999999999,0
TAK-733,0.5479,0.4038,0.6652,0.3417,-0.6425,0.48965000000000003,0
BRD-K32857328,0.5472,0.4432,0.5236,NA,-0.7158,0.5046666666666666,1
Valdecoxib,0.5464,0.3639,0.8318,0.5302,-0.5061,0.568075,0
PK-11195,0.5445,0.4423,0.5949,0.5679,-0.5696,0.5374,0
Pazopanib,0.5442,0.3627,0.683,0.71,-0.5472,0.574975,0
Epigalocatechin Gallate,0.542,NA,0.5603,0.5344,-0.6163,0.5455666666666666,1
Ivermectin,0.5404,0.4642,0.5593,0.4139,-0.4855,0.49445,0
AZD-1152-HQPA,0.5401,0.5937,0.7756,0.6865,-0.6223,0.648975,0
AZD 1480,0.5377,0.4177,0.6896,0.54990000000000006,-0.5048,0.548725,0
UNC1215,0.5372,NA,0.6694,0.4898,-0.6119,0.5654666666666667,1
BRD-K75128590-001-01-8,0.5363,NA,0.5947,0.47,-0.6392,0.5336666666666666,1
BMS-927711,0.5354,NA,0.5357,0.6044,-0.6202,0.5585,1
Ticagrelor,0.5344,0.3319,0.5754,0.6198,-0.5308,0.515375,0
C19H19FN4O3,0.5341,0.394,0.6859,0.4757,-0.5466,0.522425,0
(Z) Fluvoxamine,0.5335,0.3289,0.7207,0.7935,-0.7097,0.59415,0
Phenoxazine,0.5327,NA,0.632,0.8235,-0.6721,0.6627333333333333,1
SCHEMBL15422533,0.5299,0.4898,0.4751,0.3997,-0.5207,0.473625,0
Canertinib,0.5294,0.4934,0.7789,0.5365,-0.5688,0.58455,0
Pictilisib,0.5281,0.5603,0.7842,0.5349,-0.4773,0.601875,0
Cis-2-Methoxycinnamic Acid,0.5278,NA,0.6074,NA,-0.7014,0.5676000000000001,2
Etanidazole,0.5248,NA,0.6044,0.8968,-0.6213,0.6753333333333333,1
VGX-1027,0.5247,NA,0.5542,0.4479,-0.4987,0.5089333333333333,1
AC1NWAML,0.5234,0.5751,0.784,0.5622,-0.621,0.611175,0
AC1NSZSY,0.5232,0.4842,0.4311,0.5965,-0.7503,0.50875,0
Vemurafenib,0.52,0.5265,0.7579,0.7238,-0.481,0.63205,0
ZINC04171744,0.5181,NA,0.7144,0.4695,-0.4835,0.5673333333333334,1
BRD-A70633932,0.5177,NA,0.404,NA,-0.4834,0.46085000000000004,2
Apremilast (CC-10004),0.5172,0.3831,0.4293,0.6242,-0.7995,0.48845,0
1268524-70-4,0.5156,0.5359,0.57,0.4897,-0.582,0.5278,0
Hexachlorophene,0.5146,0.4845,0.6643,0.3774,-0.4861,0.5102,0
Disulfiram,0.514,NA,0.4243,0.4839,-0.5117,0.4740666666666667,1
NUTLIN 3,0.5138,0.7822,0.4669,0.8229,-0.5088,0.64645,0
Cimetidine,0.5134,NA,0.6194,0.7246,-0.6336,0.6191333333333333,1
Efaproxiral Sodium,0.513,NA,0.4233,0.3801,-0.6263,0.4388,1
BRD-K48225424,0.5127,0.3498,NA,NA,-0.6637,0.43125,2
Gabexate,0.5124,0.4308,0.5621,0.4082,-0.6743,0.478375,0
naftidrofuryl,0.5115,NA,0.5957,0.8703,-0.527,0.6591666666666667,1
Hydroxyl,0.5104,0.4392,0.8305,0.3644,-0.606,0.536125,0
Valproic acid,0.5104,NA,0.703,0.625,-0.6142,0.6128,1
Nateglinide,0.5104,0.4209,0.6654,0.4698,-0.8484,0.516625,0
Lonidamine,0.5101,0.5106,0.6111,0.5145,-0.6028,0.536575,0
NU1025,0.5092,0.333,0.6738,0.5695,-0.4945,0.521375,0
Gatifloxacin,0.5091,NA,0.4284,0.5086,-0.6623,0.48203333333333337,1
CHEMBL552425,0.5089,0.7194,0.6883,0.6526,-0.4851,0.6423,0
SPOX1_000836,0.5089,0.4164,0.575,0.4318,-0.6948,0.483025,0
TAE-684,0.5079,0.5569,0.6413,0.4187,-0.4778,0.5312,0
rifampicin,0.5079,0.6062,0.7312,0.5758,-0.5227,0.605275,0
Benzohydroxamate,0.507,NA,0.6429,0.4421,-0.5207,0.5306666666666666,1
16Beta-bromoandrosterone,0.5062,0.3422,0.3955,0.4978,-0.521,0.435425,0
Moricizine,0.505,0.4169,0.6123,0.3962,-0.5789,0.4826,0
Tipifarnib,0.5037,0.3556,0.6512,0.7406,-0.6235,0.562775,0
Cucurbitacin-I,0.5035,0.5064,0.594,0.4762,-0.4891,0.520025,0
BRD-K76418961,0.5034,0.5323,0.4053,0.4128,-0.4868,0.46345,0
Linsitinib,0.5032,0.4744,0.7165,0.6522,-0.4895,0.586575,0
omeprazole,0.503,NA,0.6759,0.4647,-0.7255,0.5478666666666666,1
GSK429286A,0.5002,0.4423,0.722,0.5654,-0.501,0.5574749999999999,0
Neratinib,0.5001,0.5222,0.7472,0.5282,-0.4824,0.574425,0
CP466722,0.4993,0.3877,0.6504,0.6747,-0.4801,0.553025,0
BRD-K68749296,0.499,NA,0.667,0.3423,-0.6783,0.5027666666666667,1
PF-03758309,0.4984,0.5059,0.7481,0.5938,-0.5665,0.58655,0
CHEMBL1868923,0.498,0.3555,0.6906,NA,-0.5507,0.5146999999999999,1
1-(4-fluorobenzyl)-N-(piperidin-4-yl)-1H-benzo[d]imidazol-2-amine,0.4957,0.3363,NA,NA,-0.4818,0.416,2
KU-55933,0.4956,0.3857,0.6919,0.58,-0.523,0.5383,0
Ketanserin,0.4953,0.3911,0.6907,0.3737,-0.5136,0.4877,0
Formoterol,0.4942,0.34,0.5741,0.564,-0.5106,0.493075,0
Talampicillin,0.4935,NA,0.6439,0.3873,-0.7085,0.5082333333333333,1
MLS002548990,0.4919,0.3407,0.7102,0.3371,-0.4854,0.46997500000000003,0
Pregnenolone,0.4901,NA,0.4334,0.4843,-0.5125,0.46926666666666667,1
Amlexanox,0.4896,NA,0.4671,0.4912,-0.5714,0.48263333333333336,1
Dexniguldipine,0.4886,0.3765,0.6676,0.4752,-0.6125,0.501975,0
"1-(4-Amino-1,2,5-oxadiazol-3-yl)-5-(azepan-1-ylmethyl)-n-[(2-ethoxyphenyl)methylideneamino]triazole-4-carboxamide",0.4876,NA,0.6578,0.4827,-0.7196,0.5427,1
GSK-1904529A,0.4873,0.3266,0.7049,0.6259,-0.6079,0.536175,0
BRD-K56847293,0.487,NA,0.569,NA,-0.5816,0.528,2
NONOXYNOL 9,0.4861,0.3906,0.6309,NA,-0.5862,0.5025333333333333,1
AKT Inhibitor VIII,0.4851,0.5264,0.8003,0.7264,-0.4793,0.63455,0
MLS003271340,0.485,NA,NA,0.4616,-0.8609,0.4733,2
ZD-7288,0.485,NA,0.5134,0.4084,-0.7102,0.4689333333333333,1
Elvitegravir,0.4846,NA,0.62,0.526,-0.6308,0.5435333333333333,1
TWS 119,0.4839,0.485,0.7421,0.5854,-0.4995,0.5741,0
"2-(5H-[1,2,4]triazino[5,6-B]indol-3-ylsulfanyl)-n-[3-(trifluoromethyl)phenyl]acetamide",0.4828,NA,0.6657,NA,-0.864,0.5742499999999999,2
Rabusertib,0.4827,0.5482,0.5536,0.511,-0.5124,0.523875,0
MLS003271344,0.4826,NA,0.6693,NA,-0.6577,0.57595,2
Erythromycin Ethylsuccinate,0.4817,0.363,0.6258,0.418,-0.6219,0.472125,0
Daminozide,0.4816,NA,0.5437,0.574,-0.506,0.5330999999999999,1
ZINC00969081,0.4815,0.3342,0.6313,0.4742,-0.6576,0.4803,0
Amoxicillin,0.4792,NA,0.8316,0.5386,-0.6626,0.6164666666666667,1
Piplartine,0.4789,0.4519,0.7419,0.5067,-0.5364,0.5448500000000001,0
Lorglumide,0.4783,NA,0.492,0.6304,-0.5508,0.5335666666666666,1
CHEMDIV1_009700,0.4781,0.3738,0.5554,0.5751,-0.6153,0.4956,0
(S)-(-)-BAY K 8644,0.4777,NA,0.4779,0.7317,-0.4959,0.5624333333333333,1
BMS-299897,0.4772,0.4265,0.5637,0.7277,-0.6027,0.548775,0
(E)-5-((4-((2-Carboxyethyl)carbamoyl)phenyl)diazenyl)-2-hydroxybenzoic acid,0.477,0.473,0.6052,0.4912,-0.491,0.5115999999999999,0
PX 12,0.4756,0.4431,0.6933,0.7603,-0.485,0.593075,0
Pifithrin MU,0.4749,0.4031,0.7159,0.5464,-0.4799,0.535075,0
Pifithrin MU,0.4749,0.4031,0.7159,0.5464,-0.4799,0.535075,0
CGK733,0.4746,0.4835,0.6325,0.6232,-0.5113,0.55345,0
TPCA-1,0.4729,0.4352,0.6576,0.621,-0.4797,0.546675,0
N-[4-Chloro-3-(trifluoromethyl)phenyl]-2-ethoxybenzamide,0.4728,0.4659,0.7001,0.582,-0.6078,0.5551999999999999,0
SA-243193,0.4721,NA,0.5702,0.5884,-0.7191,0.5435666666666668,1
SCHEMBL17497838,0.4721,NA,0.623,NA,-0.6494,0.54755,2
BMS-536924,0.472,0.4444,0.7426,0.5236,-0.501,0.54565,0
Olaparib,0.4719,0.409,0.6384,0.5797,-0.4828,0.5247499999999999,0
BRD-K04986062,0.4706,NA,0.478,0.3409,-0.5476,0.42983333333333335,1
Meprylcaine,0.4705,NA,NA,0.4912,-0.7223,0.48085,2
Miconazole,0.4703,0.5035,0.7579,0.6007,-0.5236,0.5831,0
Sunitinib,0.4689,0.526,0.7095,0.5112,-0.4856,0.5539000000000001,0
E 2012,0.4682,NA,0.4116,0.5237,-0.6977,0.4678333333333334,1
Salmeterol,0.4678,0.5162,0.6751,0.6405,-0.5106,0.5749,0
Siguazodan,0.4677,NA,NA,0.4021,-0.6856,0.4349,2
Linopirdine,0.4676,NA,0.6477,0.4668,-0.6333,0.5273666666666667,1
Chlorotrianisene,0.4671,NA,0.699,NA,-0.6626,0.58305,2
triptolide,0.4664,0.3415,0.5383,0.4923,-0.5406,0.459625,0
4-Methoxy-2-(4-propoxyphenyl)quinazoline,0.4662,NA,0.6145,0.6605,-0.645,0.5804,1
PS-1145,0.4662,NA,0.6464,NA,-0.519,0.5563,2
PIK-93,0.466,0.4257,0.7685,0.6035,-0.5043,0.565925,0
Fluspirilene,0.4657,0.4139,0.6873,0.4949,-0.4781,0.51545,0
AHU-377 (hemicalcium salt),0.4648,NA,0.6224,0.4913,-0.7074,0.5261666666666667,1
Quinacrine,0.4646,0.462,0.7142,0.5618,-0.5052,0.55065,0
SA-1459167,0.4637,NA,0.6673,0.6195,-0.6218,0.5835,1
Falnidamol,0.4631,0.5043,0.636,0.5168,-0.6552,0.53005,0
Quizartinib,0.4629,0.6048,0.678,0.6329,-0.4955,0.59465,0
LY2228820,0.4626,0.374,0.6663,0.4476,-0.6397,0.487625,0
XMD-16144,0.4626,0.4089,0.3905,0.4103,-0.5617,0.418075,0
W 7,0.4625,NA,0.6069,0.3623,-0.6421,0.47723333333333334,1
SA-441145,0.4622,NA,0.5951,NA,-0.7084,0.52865,2
KW-2449,0.4611,0.484,0.6668,0.6835,-0.4784,0.57385,0
RO4929097,0.461,NA,0.7071,0.3763,-0.6549,0.5148,1
BIBR-1532,0.4607,NA,0.7514,0.4843,-0.5648,0.5654666666666667,1
"AKT Inhibitor V, Triciribine",0.4596,0.4298,0.6545,0.522,-0.6632,0.516475,0
Cytochalasin B,0.4596,0.3946,0.6039,0.569,-0.4814,0.506775,0
"N,N-Dimethyl-n'-{5-[(2-methyl-4-quinolyl)thio]-1,3,4-thiadiazol-2-yl}iminoformamide",0.4592,0.4727,0.4137,0.4763,-0.4946,0.455475,0
ZINC01050121,0.4591,0.4295,0.7839,0.382,-0.5075,0.513625,0
GTP 14564,0.459,0.3916,0.6905,0.3994,-0.585,0.48512500000000003,0
Erlotinib,0.4587,0.503,0.702,0.7583,-0.4817,0.6054999999999999,0
Indigo Red,0.4584,0.4247,0.6158,0.4224,-0.5094,0.480325,0
SPECTRUM_001088,0.4576,NA,0.7051,0.4205,-0.625,0.5277333333333333,1
Nafadotride,0.4574,0.3352,0.6356,0.3656,-0.6158,0.44845,0
Birinapant,0.457,0.3442,0.6157,0.6154,-0.8553,0.508075,0
Benzylpenicillin,0.4566,NA,0.7057,0.6831,-0.6589,0.6151333333333333,1
MLS003129119,0.4562,NA,NA,0.4263,-0.5161,0.44125000000000003,2
CHEMBL3188986,0.4554,0.3236,0.6701,0.4091,-0.5484,0.46455,0
SAN1_004207,0.4549,0.3943,0.582,0.3833,-0.5566,0.453625,0
Methazolamide,0.4534,NA,0.5396,0.5258,-0.6718,0.5062666666666666,1
Etomoxir,0.4524,NA,0.549,0.4895,-0.4832,0.49696666666666667,1
Letrozole,0.4522,NA,0.5525,0.5939,-0.7826,0.5328666666666666,1
Tipranavir,0.4513,NA,0.3847,0.4261,-0.5785,0.42069999999999996,1
MLS002699913,0.4507,0.4132,0.6947,0.3816,-0.6708,0.48505,0
Hyoscine N-Oxide,0.45,NA,0.537,NA,-0.64,0.49350000000000005,2
4LY1,0.45,0.3824,0.6379,0.5872,-0.4856,0.514375,0
N-Benzylquinazolin-4-amine,0.45,0.383,0.4454,NA,-0.5241,0.42613333333333336,1
Chlorpromazine,0.4485,0.5157,0.5731,0.5246,-0.4919,0.515475,0
Terconazole,0.4482,NA,0.5684,NA,-0.6625,0.5083,2
Pevonedistat,0.4474,0.5023,0.776,0.5905,-0.4773,0.5790500000000001,0
MLS003587254,0.4472,NA,0.6864,0.4364,-0.4866,0.5233333333333333,1
Imipramine,0.4471,NA,0.5414,0.5356,-0.4902,0.5080333333333333,1
Genistein,0.4466,0.494,0.6461,0.6331,-0.4942,0.55495,0
Piperidolate,0.4465,0.3284,0.6716,0.5461,-0.7856,0.49815,0
C30H33N3O5S,0.4452,0.3784,0.668,0.5217,-0.483,0.503325,0
BMN 673,0.4451,0.3385,0.4151,0.519,-0.5755,0.429425,0
EMD-1214063,0.4446,NA,0.5128,0.5145,-0.48,0.4906333333333333,1
Suloctidil,0.4442,0.4199,0.621,0.4985,-0.4761,0.4959,0
Iloprost,0.4441,0.4218,0.5492,0.6126,-0.6878,0.5069250000000001,0
BRD-K03354784,0.4438,NA,0.5127,NA,-0.6705,0.47825,2
Fluconazole,0.4429,0.3375,0.567,0.4307,-0.6764,0.444525,0
BRD-K80400482,0.4427,NA,0.5443,0.3665,-0.5112,0.45116666666666666,1
NSC5112,0.4418,NA,0.6896,NA,-0.6119,0.5657,2
Capsaicin,0.4415,0.3414,0.597,0.5294,-0.5553,0.477325,0
2-(4-Methoxybenzylthio)-6-methylpyrimidin-4-ol,0.4408,NA,0.3888,0.3486,-0.6076,0.3927333333333333,1
C21H27N7O3,0.4397,0.4073,0.8064,0.6516,-0.4798,0.5762499999999999,0
CGS-12066A,0.4396,NA,0.6341,0.4496,-0.4923,0.5077666666666667,1
Diflunisal,0.4395,NA,0.7308,0.4398,-0.7413,0.5367,1
BRD-K06574200,0.439,0.341,0.7243,0.4676,-0.6032,0.49297500000000005,0
SMR000162699,0.439,NA,0.5465,0.3497,-0.6065,0.44506666666666667,1
936890-98-1,0.439,0.4201,0.7343,0.5571,-0.4939,0.537625,0
BRD-K24058148,0.4388,0.4085,NA,NA,-0.5772,0.42364999999999997,2
Mercaptopurine,0.4386,0.4238,0.4542,0.4009,-0.5027,0.429375,0
CHEMBL3188661,0.4372,0.4315,0.5821,0.5767,-0.4934,0.506875,0
BRD-A10420615-001-02-8,0.4371,0.4334,0.6012,NA,-0.4949,0.49056666666666665,1
Idelalisib,0.4364,NA,0.6802,0.621,-0.5594,0.5792,1
Cromakalim,0.4362,NA,0.8643,0.3801,-0.7316,0.5602,1
Dasatinib,0.4356,0.4818,0.7651,0.594,-0.4832,0.569125,0
SMR001317659,0.4353,0.3783,0.6815,0.6693,-0.4906,0.5411,0
Labetalol,0.4349,NA,0.4742,0.5903,-0.6163,0.4998,1
131780-47-7,0.4348,NA,0.652,NA,-0.4764,0.5434,2
SA-1939936,0.4346,NA,0.5365,0.5096,-0.6837,0.49356666666666665,1
Phenothiazine,0.4345,0.3917,0.6531,0.4452,-0.6439,0.481125,0
CHIR-99021,0.4344,0.3989,0.663,0.5701,-0.4775,0.5166000000000001,0
SU-11652,0.4344,0.3944,0.8019,0.9036,-0.4904,0.633575,0
BRD-K89354557,0.4338,NA,NA,0.3598,-0.8502,0.39680000000000004,2
Amineptine,0.4336,0.3723,0.6078,0.3905,-0.4929,0.45105,0
BRD-K47284302,0.4334,0.359,NA,NA,-0.6244,0.3962,2
FTI276,0.432,NA,0.5947,0.3645,-0.7854,0.46373333333333333,1
Benzydamine,0.4318,0.3485,0.6726,NA,-0.4908,0.4843,1
ASN 05548389,0.431,NA,0.5647,NA,-0.6743,0.49785,2
"Triazolothiadiazine, 36",0.4294,0.4269,0.5648,0.6233,-0.6269,0.5111,0
MK-2866 (GTx-024),0.4293,NA,0.6689,0.5376,-0.4921,0.5452666666666667,1
Erbstatin Analog,0.4291,0.5014,0.6417,0.5119,-0.5217,0.521025,0
GSK-J2,0.4291,NA,0.6353,0.5913,-0.5609,0.5519000000000001,1
MLS001065825,0.4284,NA,0.7005,0.3978,-0.6186,0.5089,1
MEGXP0_001964,0.428,0.3709,0.5759,0.4309,-0.7648,0.45142499999999997,0
metitepine,0.4277,0.3591,0.5522,0.5646,-0.4888,0.4759,0
ALD1-H_000553,0.4276,NA,0.5782,0.4928,-0.7334,0.49953333333333333,1
Hydrastinine,0.4275,0.391,0.4191,0.7192,-0.6492,0.48919999999999997,0
BRD-K65946722,0.4274,0.3264,NA,NA,-0.6556,0.3769,2
CDK9 Inhibitor,0.4271,0.4316,0.6535,0.5284,-0.4968,0.51015,0
FPL64176,0.4269,NA,0.3969,0.58,-0.6419,0.4679333333333333,1
HG-9-91-01,0.4264,0.4377,0.7168,0.5132,-0.5645,0.523525,0
BIO2_000029,0.426,0.4609,0.7341,0.448,-0.512,0.51725,0
BRD-K88488723,0.4251,NA,NA,0.3981,-0.6408,0.41159999999999997,2
BRD-K83072410,0.4251,NA,0.4099,0.4193,-0.6382,0.41809999999999997,1
SCHEMBL16065773,0.4251,0.4462,0.7224,0.642,-0.5034,0.558925,0
Tofacitinib,0.4249,0.3267,0.6166,NA,-0.7223,0.4560666666666667,1
HMS3264J07,0.4246,NA,0.4812,0.5624,-0.6839,0.4894,1
1-(5-Isoquinolinesulfonyl)piperazine,0.4243,NA,0.6522,0.4951,-0.6283,0.5238666666666667,1
GDC-0834 (Racemate),0.4242,NA,0.4,0.4793,-0.5053,0.4345,1
WH-4-025,0.424,0.4782,0.631,0.4355,-0.6045,0.49217500000000003,0
Lapatinib,0.4239,0.3587,0.707,0.489,-0.4988,0.49465,0
Lafutidine,0.4234,NA,0.418,0.649,-0.5247,0.4968,1
CGS 20625,0.4228,NA,0.6116,0.3823,-0.6309,0.47223333333333334,1
CGS 20625,0.4228,NA,0.6116,0.3823,-0.6309,0.47223333333333334,1
Levetiracetam,0.4221,NA,0.5997,0.708,-0.4909,0.5766,1
Rucaparib,0.422,0.3983,0.6237,0.5086,-0.6079,0.48815000000000003,0
Swainsonine,0.4214,0.3976,0.6165,0.4577,-0.6098,0.4733,0
MEGXM0_000032,0.4208,0.4239,0.6266,0.6001,-0.7804,0.51785,0
MLS002264461,0.4207,0.3952,0.47,0.431,-0.5674,0.42922499999999997,0
BRD-K00141503,0.4207,0.3309,0.5652,0.5277,-0.5264,0.461125,0
CHEMBL2137726,0.4206,NA,0.5822,NA,-0.6518,0.5014000000000001,2
Lenalidomide,0.4205,0.3478,0.6584,0.7445,-0.5529,0.5428,0
SMR000151874,0.4197,0.5416,NA,0.5253,-0.5174,0.4955333333333333,1
BRD-K32581454-001-01-5,0.4194,0.4765,0.5777,0.4415,-0.5439,0.478775,0
PF-04217903,0.4193,NA,0.6311,0.6266,-0.504,0.559,1
T6576678,0.4192,NA,0.7175,NA,-0.6528,0.56835,2
CHEMBL1398049,0.4191,0.449,0.5845,NA,-0.5115,0.4842,1
Ganciclovir,0.4181,NA,0.6842,0.5467,-0.6973,0.5496666666666666,1
BRD-K41889859,0.418,NA,0.6049,NA,-0.5937,0.51145,2
CHEMBL2135279,0.4179,0.3903,0.6946,0.4616,-0.8438,0.4911,0
BRD-M39727370,0.4177,NA,0.551,NA,-0.7655,0.48435000000000006,2
Promethazine,0.4174,NA,NA,0.4492,-0.5542,0.4333,2
Mycophenolic acid,0.4172,0.4748,0.5811,0.4596,-0.6077,0.483175,0
134052-66-7,0.4171,NA,NA,0.3465,-0.705,0.38180000000000003,2
Heat,0.4168,NA,0.6195,0.3675,-0.5468,0.46793333333333337,1
XAV 939,0.4167,0.4262,0.7329,0.5061,-0.5933,0.520475,0
Glyburide,0.4167,0.5325,0.7924,0.6804,-0.6317,0.6055,0
"Mapp, D-Erythro",0.4167,NA,NA,0.3643,-0.6996,0.3905,2
BAY-117821,0.4165,0.4232,0.6432,0.5575,-0.483,0.5101,0
SUGA2_000361,0.4164,NA,NA,0.5733,-0.6796,0.49485,2
BRD-K06532738,0.416,NA,0.6609,NA,-0.7446,0.53845,2
BRD-K80852934,0.416,NA,NA,0.4482,-0.7599,0.4321,2
Cabozantinib,0.4151,0.4646,0.6466,0.609,-0.6112,0.533825,0
Deoxycholic acid,0.415,0.4674,0.7703,0.6249,-0.6073,0.5694,0
T5766237,0.415,NA,NA,0.3943,-0.718,0.40464999999999995,2
Elliptecine,0.4147,0.6298,0.6184,0.4365,-0.6868,0.52485,0
Pravastatin sodium,0.4146,NA,0.5821,NA,-0.6122,0.49834999999999996,2
SMR000108731,0.4145,NA,0.693,0.6546,-0.9276,0.5873666666666666,1
CHEMBL2362931,0.4142,NA,0.5486,0.356,-0.8553,0.4396,1
Bosutinib,0.414,0.4475,0.6538,0.491,-0.4746,0.501575,0
BRD-K73602693,0.4137,NA,NA,0.4692,-0.5315,0.44145,2
L-Sulforaphane,0.4137,0.5052,0.6524,0.4566,-0.4897,0.506975,0
SPECTRUM_001092,0.4135,0.7738,0.6388,0.6546,-0.4791,0.620175,0
Decitabine,0.413,0.4528,0.6748,0.6891,-0.4847,0.557425,0
BRD-K85797809,0.4126,0.3317,0.682,NA,-0.6032,0.4754333333333334,1
Enrofloxacin,0.4126,NA,0.7242,0.5621,-0.6402,0.5663,1
Omeprazole,0.4122,NA,0.6582,0.4516,-0.6463,0.5073333333333333,1
Simvastatin,0.4121,0.5179,0.5766,0.4966,-0.4778,0.5008,0
"Methyl 1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate",0.4121,NA,0.6513,0.6503,-0.7114,0.5712333333333334,1
Motesanib,0.4114,NA,0.7842,0.636,-0.5485,0.6105333333333334,1
ABT737,0.4112,0.5061,0.6667,0.464,-0.4752,0.512,0
