compound,nib,quine,vir,similarity,meansim,nas
Tamoxifen,0.5184,0.7679,0.4199,-0.3607,0.5687333333333333,0
AC1MSUFC,0.5169,0.4413,0.3595,-0.6245,0.43923333333333336,0
CHEMBL2333343,0.5164,0.4329,0.3404,-0.5712,0.4299,0
ZINC01037382,0.516,NA,0.3412,-0.4355,0.4286,1
BAS 00631343,0.515,0.5377,0.3682,-0.5046,0.47363333333333335,0
CYTO7H11,0.5144,0.48,0.4533,-0.4825,0.48256666666666664,0
301836-43-1,0.5131,0.5339,0.5647,-0.4187,0.5372333333333333,0
CHEMBL1083527,0.5098,0.6353,0.4485,-0.4109,0.5312,0
rifampicin,0.5097,0.5124,0.3912,-0.3346,0.4711,0
apigenin,0.5083,0.5695,0.4543,-0.3244,0.5106999999999999,0
SU 11274,0.5074,0.5115,0.4194,-0.3343,0.4794333333333333,0
RS-39604,0.5065,0.3418,NA,-0.579,0.42414999999999997,1
Tubastatin A,0.5057,0.5703,0.3437,-0.3313,0.47323333333333334,0
TAE-684,0.5033,0.6865,0.5294,-0.3223,0.5730666666666666,0
WH-4-025,0.5021,0.6239,0.4496,-0.3283,0.5252,0
Hinokitiol,0.5021,0.4745,0.3609,-0.3251,0.4458333333333333,0
SPB02303,0.5004,0.4294,NA,-0.3338,0.4649,1
CHEMBL1551506,0.4988,0.7213,NA,-0.3498,0.61005,1
SPECTRUM2_000920,0.498,0.7177,0.4422,-0.4142,0.5526333333333333,0
HY-11007,0.4975,0.7622,0.4374,-0.3245,0.5657,0
Radicicol,0.497,0.687,0.6343,-0.3232,0.6061,0
"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",0.4956,0.4369,0.5877,-0.3408,0.5067333333333334,0
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,0.4935,0.4242,NA,-0.4597,0.45885,1
Protriptyline,0.492,0.42,0.4001,-0.555,0.4373666666666667,0
AC1LDBAO,0.4911,0.489,0.3661,-0.3274,0.4487333333333333,0
ITK Inhibitor,0.4911,0.536,0.3948,-0.3233,0.47396666666666665,0
CHEMBL2132717,0.491,NA,0.4248,-0.3555,0.4579,1
869288-64-2,0.4909,0.6026,0.5016,-0.3646,0.5317000000000001,0
4-Deoxyuridine,0.4909,0.7427,0.515,-0.3266,0.5828666666666666,0
BRD-K01425431,0.4906,0.618,0.4663,-0.3213,0.5249666666666667,0
CHEMBL1222381,0.4902,0.3806,0.3854,-0.4095,0.41873333333333335,0
ZSTK 474,0.4891,0.537,0.4601,-0.3213,0.4954,0
WZ-4-145,0.4888,0.3599,NA,-0.3328,0.42435,1
AC1O7GPT,0.4883,0.3796,NA,-0.4573,0.43395,1
Trifluoperazine,0.488,0.4766,0.4656,-0.3219,0.47673333333333334,0
YM 201636,0.4864,0.5677,0.46,-0.3385,0.5047,0
"Dihydroorotate Dehydrogenase Inhibitor, Brequinar",0.4861,0.4038,0.4132,-0.3245,0.4343666666666667,0
BRD-K41335306,0.4852,0.5666,NA,-0.3211,0.5259,1
CHEMBL2360506,0.4849,NA,0.3569,-0.3593,0.4209,1
CHEMBL2134189,0.4841,NA,0.403,-0.4653,0.44355,1
Saracatinib,0.4838,0.7788,0.3918,-0.3392,0.5514666666666667,0
Fluoxetine,0.4838,0.4803,0.3391,-0.4267,0.4344,0
BAY 87-2243,0.4833,0.4365,NA,-0.3423,0.4599,1
Dasatinib,0.4828,0.7183,0.5738,-0.3219,0.5916333333333333,0
Linagliptin,0.4814,0.4272,0.3823,-0.4258,0.4303,0
Everolimus,0.4808,0.7323,NA,-0.4282,0.6065499999999999,1
Pizotyline,0.4807,0.3295,0.3374,-0.415,0.38253333333333334,0
amcinonide,0.48,0.6636,0.5153,-0.3477,0.5529666666666666,0
Paroxetine,0.48,0.7165,0.4008,-0.3275,0.5324333333333333,0
Azelastine,0.4793,NA,0.4274,-0.3655,0.45335000000000003,1
Mibefradil,0.478,0.7008,0.4478,-0.3619,0.5422,0
CHEMBL2135770,0.4774,0.3286,NA,-0.4484,0.403,1
BRD-U88878891,0.4765,0.5151,0.4046,-0.41,0.4654,0
Atorvastatin,0.475,0.4482,NA,-0.3272,0.4616,1
Bufexamac,0.4742,0.4212,NA,-0.3681,0.4477,1
Pevonedistat,0.4741,0.621,0.4315,-0.3212,0.5088666666666667,0
GDC-0980 (RG7422),0.4735,0.5225,NA,-0.3411,0.498,1
PI-103,0.4733,0.7115,0.4279,-0.3229,0.5375666666666666,0
AZD-6482,0.4731,0.5771,0.4665,-0.3433,0.5055666666666667,0
138402-11-6,0.4727,0.7546,0.6131,-0.3278,0.6134666666666667,0
BRD-K88217904,0.4715,0.5237,NA,-0.4529,0.49760000000000004,1
PD-173074,0.4713,0.7339,0.4985,-0.3222,0.5679,0
CHEMBL3182395,0.4703,0.7242,0.4054,-0.3569,0.5333,0
NCGC00346967-01,0.4692,0.6327,0.3835,-0.3315,0.49513333333333337,0
Salermide,0.4689,0.4615,0.3717,-0.3521,0.4340333333333333,0
Genistein,0.4688,0.5436,0.5422,-0.3576,0.5182,0
TAS-103 (dihydrochloride),0.4684,0.5931,0.3311,-0.3218,0.4642,0
SCHEMBL1564574,0.4679,0.5975,0.3979,-0.3228,0.4877666666666667,0
PG 490,0.4674,0.569,0.444,-0.4307,0.49346666666666666,0
Camptothecin,0.4672,0.4695,0.3512,-0.3231,0.4293,0
AC1NWAML,0.467,0.5885,0.4773,-0.4217,0.5109333333333334,0
Fingolimod (FTY720) HCl,0.4669,0.4056,0.4525,-0.7179,0.44166666666666665,0
Siramesine (hydrochloride),0.4668,0.4554,0.349,-0.322,0.42373333333333335,0
Vandetanib,0.4661,0.5293,0.3358,-0.3338,0.4437333333333333,0
"13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",0.4657,0.5238,0.4732,-0.325,0.4875666666666667,0
Primaquine,0.4653,0.382,0.3459,-0.3353,0.3977333333333333,0
CHEMBL2359857,0.4648,0.3285,NA,-0.5671,0.39665,1
Mycophenolate Mofetil,0.4647,0.5743,0.4045,-0.3606,0.4811666666666667,0
Zaldaride,0.4642,0.4546,0.4115,-0.5158,0.44343333333333335,0
CHEMBL3185054,0.4641,0.3252,NA,-0.3455,0.39465,1
BRD-K46791751,0.464,0.3464,NA,-0.4636,0.4052,1
GANT-61,0.4628,0.4293,NA,-0.3316,0.44605,1
METERGOLINE,0.4624,0.3862,0.4296,-0.4175,0.42606666666666665,0
BRD-K76915833,0.4622,NA,0.4319,-0.5289,0.44705,1
Loperamide,0.4621,0.484,0.3807,-0.3278,0.44226666666666664,0
Triflupromazine,0.4617,0.537,0.4163,-0.4225,0.4716666666666667,0
CHEMBL2130683,0.4606,0.3738,NA,-0.3768,0.4172,1
NVP-AEW541,0.4605,0.4747,0.3998,-0.4696,0.445,0
SCHEMBL618594,0.4597,0.4656,0.4856,-0.3226,0.4703,0
Raclopride,0.4592,NA,0.4272,-0.7535,0.44320000000000004,1
Bapta-AM,0.4591,0.3537,0.3278,-0.4323,0.3802,0
Amlodipine,0.459,0.4485,0.3998,-0.3657,0.4357666666666667,0
Resveratrol,0.4577,0.6889,0.4686,-0.3317,0.5384,0
Dactolisib,0.4568,0.5169,0.3946,-0.3212,0.4561,0
SA-1921456,0.4563,NA,0.3362,-0.3211,0.39625,1
Taselisib,0.4559,0.423,NA,-0.4273,0.43945,1
PP-30,0.4558,0.5731,NA,-0.4786,0.5144500000000001,1
Wiskostatin,0.4545,0.5935,NA,-0.4446,0.524,1
Tozasertib,0.4531,0.813,0.5087,-0.3333,0.5916,0
Rabusertib,0.4531,0.4368,0.4179,-0.3295,0.43593333333333334,0
N-[4-(Acridin-9-ylmethyl)-3-methoxyphenyl]methanesulfonamide,0.4504,0.3822,0.4081,-0.3372,0.4135666666666667,0
SPECTRUM_000011,0.4503,0.4909,0.4244,-0.3469,0.4552,0
Doxorubicin,0.4492,0.5416,0.4577,-0.3219,0.48283333333333334,0
Rimcazole,0.4491,0.3937,0.3415,-0.3404,0.39476666666666665,0
PI828,0.4469,0.4822,NA,-0.3316,0.46455,1
AZD-8055,0.4464,0.7634,0.4757,-0.3265,0.5618333333333333,0
Broad-Sai-686,0.4459,0.7796,0.4537,-0.3847,0.5597333333333333,0
UNII-5308DT8060,0.4458,0.4161,NA,-0.4161,0.43095,1
Chloroxine,0.4454,0.3699,0.4631,-0.349,0.42613333333333336,0
Niacin,0.4442,0.4277,NA,-0.4634,0.43595,1
PD-98059,0.4439,0.6657,0.3864,-0.4632,0.49866666666666665,0
XL-147,0.4427,0.4064,NA,-0.4464,0.42455,1
Carvedilol,0.4423,0.4761,NA,-0.3262,0.45920000000000005,1
IMD-0354,0.4419,0.5166,0.5319,-0.3226,0.4968,0
KW-2449,0.4418,0.6249,0.4177,-0.323,0.4948,0
Foretinib,0.441,0.7068,0.4435,-0.3313,0.5304333333333333,0
FPA1_000317,0.4396,0.4605,NA,-0.4584,0.45005,1
Arctigenin,0.4381,NA,0.3942,-0.3296,0.41615,1
"9-[3-(3,5-Dimethylpiperazin-1-yl)propyl]-9H-carbazole",0.4381,0.4039,NA,-0.3624,0.421,1
Fluspirilene,0.4381,0.3535,0.4158,-0.4562,0.40246666666666664,0
BRD-K33676730,0.4379,NA,0.3815,-0.4823,0.4097,1
Lonafarnib,0.4375,0.4704,0.3551,-0.3557,0.421,0
AZD3514,0.4371,0.4038,0.3783,-0.3268,0.4064,0
Lapatinib,0.4362,0.7105,0.4712,-0.4204,0.5393,0
Crizotinib,0.4353,0.5409,0.5066,-0.3215,0.4942666666666667,0
Odanacatib (MK-0822),0.4351,0.5673,0.4061,-0.4175,0.46950000000000003,0
BRD-K00141503,0.4346,0.5407,NA,-0.4313,0.48765,1
W13,0.4346,0.3693,0.3981,-0.6862,0.40066666666666667,0
HLI-373,0.4344,0.47,0.3955,-0.433,0.4333,0
Epirubicin,0.4342,0.4024,NA,-0.3234,0.4183,1
SU14813,0.4337,0.3869,NA,-0.3422,0.4103,1
Nortriptyline,0.4334,0.5587,0.5773,-0.3791,0.5231333333333333,0
ML213,0.4333,0.4983,NA,-0.4436,0.4658,1
Fluvastatin,0.4328,0.5338,0.4008,-0.5181,0.45580000000000004,0
Terconazole,0.4328,NA,0.4083,-0.6007,0.42055,1
CHEMBL299879,0.4314,0.3892,0.3978,-0.3443,0.40613333333333335,0
MEGXM0_000358,0.4313,0.3764,0.3313,-0.4737,0.37966666666666665,0
Tremulacin,0.4311,NA,0.3623,-0.3951,0.3967,1
Flupentixol,0.4304,NA,0.4584,-0.4179,0.4444,1
Clofazimine,0.4303,0.4358,NA,-0.3834,0.43305000000000005,1
MLS001178727,0.4301,0.4287,NA,-0.4696,0.4294,1
"Betamethasone 17,21-dipropionate",0.4296,0.3864,NA,-0.3519,0.40800000000000003,1
BRD-A24396574-001-01-5,0.4288,0.4899,0.5978,-0.3766,0.5055000000000001,0
UNC0638,0.4285,0.6251,0.3779,-0.4373,0.4771666666666667,0
MLS003448149,0.4278,0.4691,0.3585,-0.3414,0.41846666666666665,0
Celecoxib,0.4274,0.4466,0.4369,-0.4439,0.43696666666666667,0
Dabigatran Etexilate,0.4272,0.4022,0.3291,-0.5197,0.38616666666666666,0
Tamatinib,0.4272,0.6031,0.593,-0.3377,0.5411,0
SCHEMBL6668531,0.4271,NA,0.4087,-0.3716,0.4179,1
UNII-CVL1685GPH,0.4267,0.639,0.3664,-0.3437,0.47736666666666666,0
331771-20-1,0.4264,0.6527,0.3958,-0.3414,0.4916333333333333,0
AKT Inhibitor VIII,0.4253,0.6183,0.4905,-0.3575,0.5113666666666666,0
Cabozantinib,0.4249,0.5128,0.4919,-0.349,0.47653333333333336,0
WH-4-023,0.4242,0.3708,0.3626,-0.3384,0.3858666666666667,0
Valproic acid,0.4234,0.6305,0.494,-0.4255,0.5159666666666667,0
CHEMBL2134949,0.4232,0.4454,NA,-0.4222,0.4343,1
CHEMBL399379,0.4229,0.5088,0.3425,-0.3264,0.42473333333333335,0
BRD-A25736793,0.4226,0.6896,0.4472,-0.3344,0.5198,0
UK 356618,0.4215,0.3451,0.4862,-0.3373,0.4176,0
EVP-6124 (hydrochloride),0.4203,NA,0.3586,-0.4123,0.38944999999999996,1
Hexachlorophene,0.4194,0.3797,0.3603,-0.3468,0.3864666666666667,0
Promazine,0.419,0.4774,NA,-0.3391,0.4482,1
COT Inhibitor-2,0.4187,0.7068,0.4126,-0.331,0.5127,0
MLS000089581,0.4159,0.3496,NA,-0.4135,0.38275000000000003,1
Rotenone,0.4156,0.4724,0.4724,-0.3806,0.4534666666666667,0
ZK-93423,0.4143,0.4653,0.4323,-0.3408,0.4373,0
PF 3845,0.4135,0.4299,NA,-0.3276,0.42169999999999996,1
BRD-K76938712,0.4131,0.3649,NA,-0.5686,0.389,1
Cidoxepin,0.4129,0.5177,0.4753,-0.4103,0.46863333333333335,0
Amiodarone,0.4118,0.456,0.4842,-0.3262,0.45066666666666666,0
Netupitant,0.4115,NA,0.3615,-0.3464,0.38649999999999995,1
BROAD-SAI-071,0.4113,0.3377,0.41,-0.4605,0.3863333333333333,0
CID 75037095,0.4101,0.3742,0.4233,-0.3466,0.40253333333333335,0
ENMD-2076,0.4099,0.5506,NA,-0.3354,0.48024999999999995,1
MLS-0002494.0001,0.4086,0.382,NA,-0.3519,0.3953,1
CHEMBL2139291,0.408,NA,0.3368,-0.36870000000000003,0.37239999999999995,1
Carbacyclin,0.4078,0.5111,0.4562,-0.3748,0.45836666666666664,0
BRD-K67090983,0.4057,NA,0.4135,-0.3983,0.40959999999999996,1
PF-04691502,0.4053,0.5233,NA,-0.4727,0.4643,1
"N,N-Hexamethyleneamiloride",0.405,NA,0.3873,-0.4764,0.39615,1
Orlistat,0.4047,0.346,NA,-0.4177,0.37534999999999996,1
AZD7762,0.4041,0.4925,0.3398,-0.3657,0.41213333333333335,0
NVP-AUY922,0.4035,0.7509,0.3863,-0.3422,0.5135666666666667,0
BRD32048,0.4027,0.6475,0.3619,-0.4131,0.4707,0
Pimozide,0.4025,0.5195,0.4129,-0.3336,0.4449666666666667,0
CHEMBL2355586,0.4024,0.3468,NA,-0.4023,0.3746,1
ZIDOVUDINE [AZT],0.402,0.5517,0.3289,-0.5074,0.4275333333333333,0
C21H27N7O3,0.4019,0.7791,0.486,-0.3268,0.5556666666666666,0
CHEMBL2361430,0.4018,0.3835,NA,-0.5549,0.39265,1
Dienogest,0.4017,0.5551,0.3494,-0.441,0.4354,0
CHEMBL552425,0.4009,0.5576,0.5478,-0.3727,0.5021,0
AZD4547,0.4007,0.5192,0.5354,-0.3227,0.4851,0
Niguldipine,0.4003,0.3571,0.3796,-0.3218,0.379,0
"ICI-199,441",0.4001,0.3577,NA,-0.3816,0.3789,1
CHEMBL2136858,0.3996,NA,0.4494,-0.3219,0.4245,1
"6-(7-Hydroxy-6,7-dihydro-5H-pyrrolo[1,2-c]imidazol-7-yl)-n-methyl-2-naphthamide",0.3993,0.6491,0.4383,-0.5904,0.49556666666666666,0
CHEMBL2141330,0.3983,0.3715,0.3955,-0.3238,0.38843333333333335,0
CHEMBL2140299,0.3977,0.4345,0.3721,-0.4271,0.4014333333333333,0
CHEMBL2135649,0.3969,NA,0.3299,-0.3543,0.3634,1
Sildenafil,0.3967,0.4671,0.4776,-0.4177,0.4471333333333333,0
BRD-K22754681,0.3953,0.415,0.4636,-0.3402,0.4246333333333333,0
CHEMBL3186197,0.3951,0.4045,0.33,-0.4349,0.37653333333333333,0
BRD-K55827386,0.393,0.4138,NA,-0.4772,0.4034,1
Benzohydroxamate,0.3928,0.5109,0.4076,-0.4185,0.4371,0
Lasalocid,0.3924,0.3596,0.3769,-0.3845,0.3763,0
Prochlorperazine,0.3922,0.5142,0.4432,-0.5145,0.44986666666666664,0
BRD-K47342144-019-01-3,0.3921,0.3238,NA,-0.6438,0.35795,1
AMG-9810,0.3917,0.5898,0.3342,-0.4745,0.43856666666666666,0
BRD-K04733502,0.3913,NA,0.3444,-0.4679,0.36785,1
BRD-K73008154,0.3913,0.4916,NA,-0.3586,0.44145,1
MLS000860958,0.3911,0.3334,0.3387,-0.4381,0.3544,0
IN1549,0.391,0.4726,0.4727,-0.4605,0.44543333333333335,0
Cladribine,0.3903,0.6496,0.4787,-0.3341,0.5062,0
AC480 (BMS-599626),0.39,0.7724,0.4212,-0.3852,0.5278666666666667,0
BRD-K60067222,0.39,0.4047,NA,-0.4083,0.39735,1
Iguratimod,0.3898,0.6186,NA,-0.3216,0.5042,1
Y-134,0.3894,0.4014,NA,-0.3878,0.3954,1
Setiptiline,0.3893,0.5652,NA,-0.4558,0.47725,1
MLS002699920,0.3893,NA,0.3978,-0.4406,0.39354999999999996,1
SCHEMBL17497583,0.3889,0.4093,NA,-0.4369,0.3991,1
BRD-K28317853,0.3889,0.4443,NA,-0.5432,0.41659999999999997,1
Hispidin,0.3884,0.3742,NA,-0.4808,0.3813,1
CO-1686 (AVL-301),0.388,0.5536,NA,-0.7145,0.4708,1
CHEMBL416418,0.3873,0.563,0.4058,-0.3269,0.4520333333333333,0
CHEMBL3260979,0.3866,0.5595,NA,-0.4363,0.47304999999999997,1
SA-1460032,0.3863,0.3617,NA,-0.5051,0.374,1
Sertraline HCl,0.3863,0.5274,NA,-0.4361,0.45685,1
SGX-523,0.386,0.6746,0.4201,-0.3449,0.49356666666666665,0
BD-1047,0.3859,0.4524,NA,-0.5286,0.41915,1
Masitinib,0.3857,0.7272,0.4646,-0.4093,0.5258333333333334,0
Lenvatinib (E7080),0.3853,0.4351,0.3284,-0.4251,0.38293333333333335,0
Pimasertib,0.3844,0.673,0.4191,-0.336,0.4921666666666667,0
MK-8245,0.3844,0.5405,NA,-0.4366,0.46245000000000003,1
NNC 05-2090,0.3842,0.6252,0.3348,-0.3773,0.44806666666666667,0
IN1128,0.3842,0.3432,0.478,-0.421,0.4018,0
Itrazole,0.3837,0.8263,0.4517,-0.461,0.5539000000000001,0
BRD-K19616315,0.3837,NA,0.3862,-0.4989,0.38495,1
Rilmenidine,0.3835,0.5215,0.3827,-0.4221,0.4292333333333333,0
Pimavanserin,0.3833,0.6432,0.3808,-0.4566,0.4691,0
CHEMBL2361177,0.3828,0.3554,NA,-0.3406,0.3691,1
Linifanib,0.3825,0.5687,0.4339,-0.3596,0.4617,0
BRD-K35638681,0.3822,0.3518,NA,-0.4366,0.367,1
SPECTRUM1505034,0.3821,NA,0.3679,-0.6641,0.375,1
Valsartan,0.382,0.4153,0.3336,-0.4089,0.37696666666666667,0
PP 2,0.3819,0.5776,0.3427,-0.3247,0.43406666666666666,0
SPECTRUM_001645,0.3813,0.4832,NA,-0.3278,0.43225,1
Trimipramine,0.3811,0.4545,0.3695,-0.5093,0.4017,0
SA-1921085,0.3801,0.4385,0.3406,-0.5235,0.3864,0
NVP-BHG712,0.38,0.5408,0.4019,-0.325,0.44089999999999996,0
BRD-K51556300-001-01-9,0.3798,0.4424,0.3441,-0.3792,0.3887666666666667,0
"3-Tropanyl-3,5-dichlorobenzoate",0.379,0.3651,NA,-0.6266,0.37205,1
NONOXYNOL 9,0.3785,0.3444,0.3441,-0.3551,0.3556666666666667,0
Luteolin,0.3783,0.6934,0.3599,-0.4069,0.4772,0
Nicardipine,0.3779,0.6475,0.436,-0.3579,0.4871333333333333,0
SUDAHWBOROXANE-UHFFFAOYSA-N,0.3761,0.5972,NA,-0.4434,0.48664999999999997,1
KW-2478,0.3752,0.5446,0.3229,-0.3264,0.41423333333333334,0
Capsaicin,0.375,0.4689,0.4892,-0.3301,0.4443666666666667,0
Duloxetine,0.3747,0.486,0.4348,-0.3829,0.43183333333333335,0
Yohimbine,0.3747,0.325,NA,-0.4368,0.34985,1
Imatinib,0.3744,0.6609,0.4571,-0.3588,0.49746666666666667,0
Tinidazole,0.3741,0.4659,NA,-0.6657,0.42,1
BRD-K08121566,0.3738,0.4291,NA,-0.3681,0.40145,1
BMS-754807,0.3728,0.5546,0.3309,-0.3304,0.4194333333333333,0
STK721917,0.3723,0.3583,0.4348,-0.3214,0.3884666666666667,0
"3,5-Diiodo-l-thyronine",0.3723,0.4793,0.4559,-0.4949,0.43583333333333335,0
Carbamazepine,0.3723,0.3766,0.4472,-0.3693,0.3987,0
