compound,azt,nib,quine,vir,similarity,meansim,nas
"9-Fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione",0.5517,0.3749,0.7396,0.5923,-0.3315,0.564625,0
Mefexamide,0.5516,0.4105,0.5706,0.348,-0.4828,0.470175,0
SDZ NKT 343,0.5506,NA,NA,0.5442,-0.4273,0.5474,2
L-690330,0.5494,0.4353,0.7935,0.5478,-0.5795,0.5815,0
"9-[3-(3,5-Dimethylpiperazin-1-yl)propyl]-9H-carbazole",0.549,0.341,0.5737,NA,-0.3624,0.4879,1
Tanaproget,0.5488,0.3263,0.4736,0.549,-0.3425,0.474425,0
EX-8678,0.5487,0.5152,0.7468,0.4176,-0.3395,0.557075,0
NCGC00346967-01,0.5484,0.4256,0.7041,0.6507,-0.3315,0.5821999999999999,0
TAK-733,0.5479,0.4038,0.6652,0.3417,-0.4387,0.48965000000000003,0
BRD-K32857328,0.5472,0.4432,0.5236,NA,-0.4284,0.5046666666666666,1
Eplerenone,0.547,0.5442,0.5471,0.6143,-0.4414,0.56315,0
Valdecoxib,0.5464,0.3639,0.8318,0.5302,-0.3218,0.568075,0
PK-11195,0.5445,0.4423,0.5949,0.5679,-0.3294,0.5374,0
Pazopanib,0.5442,0.3627,0.683,0.71,-0.3225,0.574975,0
Epigalocatechin Gallate,0.542,NA,0.5603,0.5344,-0.4215,0.5455666666666666,1
Ivermectin,0.5404,0.4642,0.5593,0.4139,-0.3336,0.49445,0
AZD-1152-HQPA,0.5401,0.5937,0.7756,0.6865,-0.3375,0.648975,0
Oglemilast,0.5382,NA,0.4369,0.4046,-0.4537,0.45990000000000003,1
AZD 1480,0.5377,0.4177,0.6896,0.54990000000000006,-0.4094,0.548725,0
UNC1215,0.5372,NA,0.6694,0.4898,-0.4351,0.5654666666666667,1
MLS001060837,0.5369,NA,0.5636,0.6045,-0.4187,0.5683333333333334,1
BRD-K75128590-001-01-8,0.5363,NA,0.5947,0.47,-0.4595,0.5336666666666666,1
BMS-927711,0.5354,NA,0.5357,0.6044,-0.4451,0.5585,1
Ticagrelor,0.5344,0.3319,0.5754,0.6198,-0.4257,0.515375,0
C19H19FN4O3,0.5341,0.394,0.6859,0.4757,-0.368,0.522425,0
(Z) Fluvoxamine,0.5335,0.3289,0.7207,0.7935,-0.4459,0.59415,0
Phenoxazine,0.5327,NA,0.632,0.8235,-0.4375,0.6627333333333333,1
SCHEMBL15422533,0.5299,0.4898,0.4751,0.3997,-0.3779,0.473625,0
Canertinib,0.5294,0.4934,0.7789,0.5365,-0.3273,0.58455,0
Pictilisib,0.5281,0.5603,0.7842,0.5349,-0.3213,0.601875,0
Cis-2-Methoxycinnamic Acid,0.5278,NA,0.6074,NA,-0.6277,0.5676000000000001,2
Etanidazole,0.5248,NA,0.6044,0.8968,-0.4089,0.6753333333333333,1
VGX-1027,0.5247,NA,0.5542,0.4479,-0.4393,0.5089333333333333,1
AC1NWAML,0.5234,0.5751,0.784,0.5622,-0.4217,0.611175,0
AC1NSZSY,0.5232,0.4842,0.4311,0.5965,-0.377,0.50875,0
ABACAVIR SULFATE,0.523,0.3979,0.6821,0.7881,-0.3263,0.5977750000000001,0
Vemurafenib,0.52,0.5265,0.7579,0.7238,-0.3256,0.63205,0
Tolbutamide,0.5188,NA,0.7026,0.6202,-0.4484,0.6138666666666667,1
ZINC04171744,0.5181,NA,0.7144,0.4695,-0.5181,0.5673333333333334,1
Apremilast (CC-10004),0.5172,0.3831,0.4293,0.6242,-0.4091,0.48845,0
Relcovaptan,0.5156,NA,0.5552,0.3811,-0.4065,0.48396666666666666,1
1268524-70-4,0.5156,0.5359,0.57,0.4897,-0.3327,0.5278,0
Hexachlorophene,0.5146,0.4845,0.6643,0.3774,-0.3468,0.5102,0
448906-42-1,0.5146,0.3421,0.4632,0.3484,-0.3595,0.417075,0
Disulfiram,0.514,NA,0.4243,0.4839,-0.3387,0.4740666666666667,1
NUTLIN 3,0.5138,0.7822,0.4669,0.8229,-0.4578,0.64645,0
Cimetidine,0.5134,NA,0.6194,0.7246,-0.3363,0.6191333333333333,1
Efaproxiral Sodium,0.513,NA,0.4233,0.3801,-0.4708,0.4388,1
naftidrofuryl,0.5115,NA,0.5957,0.8703,-0.3888,0.6591666666666667,1
Hydroxyl,0.5104,0.4392,0.8305,0.3644,-0.365,0.536125,0
Valproic acid,0.5104,NA,0.703,0.625,-0.4255,0.6128,1
Nateglinide,0.5104,0.4209,0.6654,0.4698,-0.4267,0.516625,0
Lonidamine,0.5101,0.5106,0.6111,0.5145,-0.3312,0.536575,0
NU1025,0.5092,0.333,0.6738,0.5695,-0.4178,0.521375,0
Gatifloxacin,0.5091,NA,0.4284,0.5086,-0.4559,0.48203333333333337,1
CHEMBL552425,0.5089,0.7194,0.6883,0.6526,-0.3727,0.6423,0
TAE-684,0.5079,0.5569,0.6413,0.4187,-0.3223,0.5312,0
rifampicin,0.5079,0.6062,0.7312,0.5758,-0.3346,0.605275,0
Benzohydroxamate,0.507,NA,0.6429,0.4421,-0.4185,0.5306666666666666,1
Moricizine,0.505,0.4169,0.6123,0.3962,-0.442,0.4826,0
Tipifarnib,0.5037,0.3556,0.6512,0.7406,-0.4196,0.562775,0
Cucurbitacin-I,0.5035,0.5064,0.594,0.4762,-0.3325,0.520025,0
BRD-K76418961,0.5034,0.5323,0.4053,0.4128,-0.4402,0.46345,0
Linsitinib,0.5032,0.4744,0.7165,0.6522,-0.4165,0.586575,0
omeprazole,0.503,NA,0.6759,0.4647,-0.4028,0.5478666666666666,1
GSK429286A,0.5002,0.4423,0.722,0.5654,-0.3718,0.5574749999999999,0
Neratinib,0.5001,0.5222,0.7472,0.5282,-0.3294,0.574425,0
CP466722,0.4993,0.3877,0.6504,0.6747,-0.3458,0.553025,0
BRD-K68749296,0.499,NA,0.667,0.3423,-0.4572,0.5027666666666667,1
PF-03758309,0.4984,0.5059,0.7481,0.5938,-0.3211,0.58655,0
CHEMBL1868923,0.498,0.3555,0.6906,NA,-0.3817,0.5146999999999999,1
1-(4-fluorobenzyl)-N-(piperidin-4-yl)-1H-benzo[d]imidazol-2-amine,0.4957,0.3363,NA,NA,-0.5571,0.416,2
KU-55933,0.4956,0.3857,0.6919,0.58,-0.3275,0.5383,0
Ketanserin,0.4953,0.3911,0.6907,0.3737,-0.4678,0.4877,0
Epitiostanol,0.4949,NA,NA,0.5296,-0.4057,0.51225,2
Formoterol,0.4942,0.34,0.5741,0.564,-0.6227,0.493075,0
Talampicillin,0.4935,NA,0.6439,0.3873,-0.4705,0.5082333333333333,1
MLS002548990,0.4919,0.3407,0.7102,0.3371,-0.3267,0.46997500000000003,0
Andrographolide,0.4908,0.4311,0.4339,0.4063,-0.3284,0.440525,0
Pregnenolone,0.4901,NA,0.4334,0.4843,-0.3811,0.46926666666666667,1
Amlexanox,0.4896,NA,0.4671,0.4912,-0.8303,0.48263333333333336,1
BRD-K27452198,0.489,NA,NA,0.3745,-0.3387,0.43174999999999997,2
Dexniguldipine,0.4886,0.3765,0.6676,0.4752,-0.3313,0.501975,0
GSK-1904529A,0.4873,0.3266,0.7049,0.6259,-0.3964,0.536175,0
NONOXYNOL 9,0.4861,0.3906,0.6309,NA,-0.3551,0.5025333333333333,1
Isoconazole,0.4851,NA,0.6851,0.4698,-0.3472,0.5466666666666666,1
AKT Inhibitor VIII,0.4851,0.5264,0.8003,0.7264,-0.3575,0.63455,0
ZD-7288,0.485,NA,0.5134,0.4084,-0.3334,0.4689333333333333,1
Elvitegravir,0.4846,NA,0.62,0.526,-0.7113,0.5435333333333333,1
TWS 119,0.4839,0.485,0.7421,0.5854,-0.4093,0.5741,0
Dolutegravir (GSK1349572),0.4829,NA,0.7173,0.3811,-0.4298,0.5271,1
"2-(5H-[1,2,4]triazino[5,6-B]indol-3-ylsulfanyl)-n-[3-(trifluoromethyl)phenyl]acetamide",0.4828,NA,0.6657,NA,-0.3309,0.5742499999999999,2
Rabusertib,0.4827,0.5482,0.5536,0.511,-0.3295,0.523875,0
Erythromycin Ethylsuccinate,0.4817,0.363,0.6258,0.418,-0.4098,0.472125,0
Piplartine,0.4789,0.4519,0.7419,0.5067,-0.4469,0.5448500000000001,0
BMS-299897,0.4772,0.4265,0.5637,0.7277,-0.3479,0.548775,0
(E)-5-((4-((2-Carboxyethyl)carbamoyl)phenyl)diazenyl)-2-hydroxybenzoic acid,0.477,0.473,0.6052,0.4912,-0.4334,0.5115999999999999,0
PX 12,0.4756,0.4431,0.6933,0.7603,-0.3372,0.593075,0
ML100,0.475,NA,NA,0.4983,-0.5268,0.48665,2
Pifithrin MU,0.4749,0.4031,0.7159,0.5464,-0.3812,0.535075,0
Pifithrin MU,0.4749,0.4031,0.7159,0.5464,-0.3812,0.535075,0
CGK733,0.4746,0.4835,0.6325,0.6232,-0.3243,0.55345,0
TPCA-1,0.4729,0.4352,0.6576,0.621,-0.322,0.546675,0
N-[4-Chloro-3-(trifluoromethyl)phenyl]-2-ethoxybenzamide,0.4728,0.4659,0.7001,0.582,-0.4345,0.5551999999999999,0
SCHEMBL17497838,0.4721,NA,0.623,NA,-0.4714,0.54755,2
BMS-536924,0.472,0.4444,0.7426,0.5236,-0.3392,0.54565,0
Olaparib,0.4719,0.409,0.6384,0.5797,-0.3217,0.5247499999999999,0
BRD-K04986062,0.4706,NA,0.478,0.3409,-0.4488,0.42983333333333335,1
Meprylcaine,0.4705,NA,NA,0.4912,-0.5754,0.48085,2
Miconazole,0.4703,0.5035,0.7579,0.6007,-0.4832,0.5831,0
Sunitinib,0.4689,0.526,0.7095,0.5112,-0.3336,0.5539000000000001,0
E 2012,0.4682,NA,0.4116,0.5237,-0.3502,0.4678333333333334,1
Salmeterol,0.4678,0.5162,0.6751,0.6405,-0.4649,0.5749,0
Siguazodan,0.4677,NA,NA,0.4021,-0.6947,0.4349,2
Linopirdine,0.4676,NA,0.6477,0.4668,-0.4204,0.5273666666666667,1
triptolide,0.4664,0.3415,0.5383,0.4923,-0.3434,0.459625,0
4-Methoxy-2-(4-propoxyphenyl)quinazoline,0.4662,NA,0.6145,0.6605,-0.5424,0.5804,1
PS-1145,0.4662,NA,0.6464,NA,-0.3216,0.5563,2
PIK-93,0.466,0.4257,0.7685,0.6035,-0.3344,0.565925,0
Fluspirilene,0.4657,0.4139,0.6873,0.4949,-0.4562,0.51545,0
MLS003448145,0.465,0.3212,0.7367,0.3705,-0.4101,0.47335,0
Quinacrine,0.4646,0.462,0.7142,0.5618,-0.3362,0.55065,0
CHEMBL3182088,0.4646,0.3769,0.566,NA,-0.3301,0.4691666666666667,1
Fenoterol,0.4644,NA,0.5096,0.4599,-0.4366,0.47796666666666665,1
SA-1459167,0.4637,NA,0.6673,0.6195,-0.4172,0.5835,1
Falnidamol,0.4631,0.5043,0.636,0.5168,-0.3577,0.53005,0
Fingolimod (FTY720) HCl,0.463,0.6585,0.4665,0.3964,-0.7179,0.4961,0
Quizartinib,0.4629,0.6048,0.678,0.6329,-0.4031,0.59465,0
XMD-16144,0.4626,0.4089,0.3905,0.4103,-0.3282,0.418075,0
SA-441145,0.4622,NA,0.5951,NA,-0.611,0.52865,2
KW-2449,0.4611,0.484,0.6668,0.6835,-0.323,0.57385,0
BIBR-1532,0.4607,NA,0.7514,0.4843,-0.3304,0.5654666666666667,1
Thiothixene,0.4604,0.5053,0.5733,0.5658,-0.3329,0.5262,0
BRD-K22052171,0.4596,NA,0.6121,0.4382,-0.3656,0.5033,1
"AKT Inhibitor V, Triciribine",0.4596,0.4298,0.6545,0.522,-0.3566,0.516475,0
Cytochalasin B,0.4596,0.3946,0.6039,0.569,-0.3336,0.506775,0
"N,N-Dimethyl-n'-{5-[(2-methyl-4-quinolyl)thio]-1,3,4-thiadiazol-2-yl}iminoformamide",0.4592,0.4727,0.4137,0.4763,-0.5914,0.455475,0
ZINC01050121,0.4591,0.4295,0.7839,0.382,-0.325,0.513625,0
GTP 14564,0.459,0.3916,0.6905,0.3994,-0.355,0.48512500000000003,0
Erlotinib,0.4587,0.503,0.702,0.7583,-0.3339,0.6054999999999999,0
Indigo Red,0.4584,0.4247,0.6158,0.4224,-0.4417,0.480325,0
LCQ-908,0.4583,NA,0.6308,0.5684,-0.6463,0.5525,1
Nafadotride,0.4574,0.3352,0.6356,0.3656,-0.3353,0.44845,0
Birinapant,0.457,0.3442,0.6157,0.6154,-0.5811,0.508075,0
CTS-1027,0.4569,NA,NA,0.4424,-0.7749,0.44965,2
CHEMBL3188986,0.4554,0.3236,0.6701,0.4091,-0.3566,0.46455,0
59826-53-8,0.4542,NA,0.5181,0.388,-0.3566,0.45343333333333335,1
Methazolamide,0.4534,NA,0.5396,0.5258,-0.3374,0.5062666666666666,1
Epibatidine,0.4529,NA,NA,0.4769,-0.4934,0.4649,2
Sotrastaurin,0.4527,0.541,0.4757,0.4653,-0.788,0.483675,0
Etomoxir,0.4524,NA,0.549,0.4895,-0.5719,0.49696666666666667,1
Letrozole,0.4522,NA,0.5525,0.5939,-0.4675,0.5328666666666666,1
Tipranavir,0.4513,NA,0.3847,0.4261,-0.4661,0.42069999999999996,1
"Pfmrk inhibitor, wr 216174",0.4511,0.4752,0.5924,0.4782,-0.4035,0.49922500000000003,0
MLS002699913,0.4507,0.4132,0.6947,0.3816,-0.4847,0.48505,0
Hyoscine N-Oxide,0.45,NA,0.537,NA,-0.4304,0.49350000000000005,2
4LY1,0.45,0.3824,0.6379,0.5872,-0.3671,0.514375,0
N-Benzylquinazolin-4-amine,0.45,0.383,0.4454,NA,-0.3225,0.42613333333333336,1
Chlorpromazine,0.4485,0.5157,0.5731,0.5246,-0.413,0.515475,0
Terconazole,0.4482,NA,0.5684,NA,-0.6007,0.5083,2
SPIRONOLACTONE,0.4481,NA,0.6343,0.4445,-0.4183,0.5089666666666667,1
"Dihydroorotate Dehydrogenase Inhibitor, Brequinar",0.4475,0.4344,0.5365,0.5543,-0.3245,0.49317500000000003,0
Pevonedistat,0.4474,0.5023,0.776,0.5905,-0.3212,0.5790500000000001,0
Imipramine,0.4471,NA,0.5414,0.5356,-0.4275,0.5080333333333333,1
Genistein,0.4466,0.494,0.6461,0.6331,-0.3576,0.55495,0
Piperidolate,0.4465,0.3284,0.6716,0.5461,-0.4342,0.49815,0
C30H33N3O5S,0.4452,0.3784,0.668,0.5217,-0.3545,0.503325,0
BMN 673,0.4451,0.3385,0.4151,0.519,-0.3234,0.429425,0
Suloctidil,0.4442,0.4199,0.621,0.4985,-0.3394,0.4959,0
Iloprost,0.4441,0.4218,0.5492,0.6126,-0.4894,0.5069250000000001,0
Fluconazole,0.4429,0.3375,0.567,0.4307,-0.4154,0.444525,0
Capsaicin,0.4415,0.3414,0.597,0.5294,-0.3301,0.477325,0
Cytisine,0.4412,NA,0.5661,0.6182,-0.4823,0.5418333333333334,1
2-(4-Methoxybenzylthio)-6-methylpyrimidin-4-ol,0.4408,NA,0.3888,0.3486,-0.3507,0.3927333333333333,1
C21H27N7O3,0.4397,0.4073,0.8064,0.6516,-0.3268,0.5762499999999999,0
CHEMBL2057940,0.4396,0.5861,0.4114,0.3453,-0.3791,0.4456,0
Diflunisal,0.4395,NA,0.7308,0.4398,-0.332,0.5367,1
BRD-K06574200,0.439,0.341,0.7243,0.4676,-0.4986,0.49297500000000005,0
SMR000162699,0.439,NA,0.5465,0.3497,-0.4176,0.44506666666666667,1
936890-98-1,0.439,0.4201,0.7343,0.5571,-0.418,0.537625,0
Mercaptopurine,0.4386,0.4238,0.4542,0.4009,-0.3291,0.429375,0
CHEMBL3188661,0.4372,0.4315,0.5821,0.5767,-0.338,0.506875,0
Idelalisib,0.4364,NA,0.6802,0.621,-0.3386,0.5792,1
Dasatinib,0.4356,0.4818,0.7651,0.594,-0.3219,0.569125,0
SMR001317659,0.4353,0.3783,0.6815,0.6693,-0.6101,0.5411,0
Labetalol,0.4349,NA,0.4742,0.5903,-0.4529,0.4998,1
XMD-1185H,0.4349,0.4547,0.538,0.4097,-0.422,0.459325,0
131780-47-7,0.4348,NA,0.652,NA,-0.4402,0.5434,2
SA-1939936,0.4346,NA,0.5365,0.5096,-0.4102,0.49356666666666665,1
Phenothiazine,0.4345,0.3917,0.6531,0.4452,-0.4112,0.481125,0
CHIR-99021,0.4344,0.3989,0.663,0.5701,-0.3258,0.5166000000000001,0
SU-11652,0.4344,0.3944,0.8019,0.9036,-0.3253,0.633575,0
Amineptine,0.4336,0.3723,0.6078,0.3905,-0.4273,0.45105,0
FTI276,0.432,NA,0.5947,0.3645,-0.4355,0.46373333333333333,1
"Triazolothiadiazine, 36",0.4294,0.4269,0.5648,0.6233,-0.491,0.5111,0
MK-2866 (GTx-024),0.4293,NA,0.6689,0.5376,-0.3276,0.5452666666666667,1
GSK-J2,0.4291,NA,0.6353,0.5913,-0.4861,0.5519000000000001,1
MEGXP0_001964,0.428,0.3709,0.5759,0.4309,-0.4524,0.45142499999999997,0
metitepine,0.4277,0.3591,0.5522,0.5646,-0.419,0.4759,0
ALD1-H_000553,0.4276,NA,0.5782,0.4928,-0.448,0.49953333333333333,1
Hydrastinine,0.4275,0.391,0.4191,0.7192,-0.5583,0.48919999999999997,0
BRD-K65946722,0.4274,0.3264,NA,NA,-0.4411,0.3769,2
CDK9 Inhibitor,0.4271,0.4316,0.6535,0.5284,-0.4118,0.51015,0
FPL64176,0.4269,NA,0.3969,0.58,-0.4402,0.4679333333333333,1
HG-9-91-01,0.4264,0.4377,0.7168,0.5132,-0.4041,0.523525,0
BIO2_000029,0.426,0.4609,0.7341,0.448,-0.3961,0.51725,0
ascorbic-acid,0.4258,0.4384,0.5958,0.7343,-0.3398,0.548575,0
SCHEMBL16065773,0.4251,0.4462,0.7224,0.642,-0.4207,0.558925,0
Tofacitinib,0.4249,0.3267,0.6166,NA,-0.4129,0.4560666666666667,1
HMS3264J07,0.4246,NA,0.4812,0.5624,-0.4127,0.4894,1
1-(5-Isoquinolinesulfonyl)piperazine,0.4243,NA,0.6522,0.4951,-0.4262,0.5238666666666667,1
GDC-0834 (Racemate),0.4242,NA,0.4,0.4793,-0.5295,0.4345,1
WH-4-025,0.424,0.4782,0.631,0.4355,-0.3283,0.49217500000000003,0
Lapatinib,0.4239,0.3587,0.707,0.489,-0.4204,0.49465,0
Lafutidine,0.4234,NA,0.418,0.649,-0.4157,0.4968,1
CGS 20625,0.4228,NA,0.6116,0.3823,-0.3507,0.47223333333333334,1
CGS 20625,0.4228,NA,0.6116,0.3823,-0.3507,0.47223333333333334,1
BRD-K15392449,0.4226,NA,0.491,0.4047,-0.4097,0.43943333333333334,1
Levetiracetam,0.4221,NA,0.5997,0.708,-0.4308,0.5766,1
Rucaparib,0.422,0.3983,0.6237,0.5086,-0.3374,0.48815000000000003,0
SMR000043984,0.4215,NA,0.5596,NA,-0.351,0.49055,2
Swainsonine,0.4214,0.3976,0.6165,0.4577,-0.4608,0.4733,0
MEGXM0_000032,0.4208,0.4239,0.6266,0.6001,-0.4098,0.51785,0
BRD-K00141503,0.4207,0.3309,0.5652,0.5277,-0.4313,0.461125,0
Lenalidomide,0.4205,0.3478,0.6584,0.7445,-0.3321,0.5428,0
SMR000798335,0.4203,NA,0.6265,NA,-0.3324,0.5234,2
CHEMBL1476499,0.4198,NA,NA,0.5174,-0.533,0.4686,2
SMR000151874,0.4197,0.5416,NA,0.5253,-0.4273,0.4955333333333333,1
BRD-K32581454-001-01-5,0.4194,0.4765,0.5777,0.4415,-0.3953,0.478775,0
PF-04217903,0.4193,NA,0.6311,0.6266,-0.4166,0.559,1
CHEMBL1398049,0.4191,0.449,0.5845,NA,-0.4416,0.4842,1
Ganciclovir,0.4181,NA,0.6842,0.5467,-0.5038,0.5496666666666666,1
BRD-K41889859,0.418,NA,0.6049,NA,-0.4211,0.51145,2
BRD-K83631404,0.4179,0.3705,NA,0.4178,-0.3514,0.4020666666666667,1
CHEMBL2135279,0.4179,0.3903,0.6946,0.4616,-0.5561,0.4911,0
Mycophenolic acid,0.4172,0.4748,0.5811,0.4596,-0.3553,0.483175,0
XAV 939,0.4167,0.4262,0.7329,0.5061,-0.3278,0.520475,0
Glyburide,0.4167,0.5325,0.7924,0.6804,-0.4,0.6055,0
"Mapp, D-Erythro",0.4167,NA,NA,0.3643,-0.5215,0.3905,2
BRD-K80852934,0.416,NA,NA,0.4482,-0.4629,0.4321,2
Cabozantinib,0.4151,0.4646,0.6466,0.609,-0.349,0.533825,0
Deoxycholic acid,0.415,0.4674,0.7703,0.6249,-0.4144,0.5694,0
T5766237,0.415,NA,NA,0.3943,-0.5009,0.40464999999999995,2
Lamotrigine,0.4149,NA,0.6762,0.5172,-0.4532,0.5361,1
Elliptecine,0.4147,0.6298,0.6184,0.4365,-0.33,0.52485,0
Pravastatin sodium,0.4146,NA,0.5821,NA,-0.4987,0.49834999999999996,2
SMR000108731,0.4145,NA,0.693,0.6546,-0.6698,0.5873666666666666,1
MDL 29951,0.414,0.3321,0.6859,0.5005,-0.4724,0.48312499999999997,0
Bosutinib,0.414,0.4475,0.6538,0.491,-0.3331,0.501575,0
MLS004683634,0.4138,NA,NA,0.4429,-0.4486,0.42835,2
BRD-K73602693,0.4137,NA,NA,0.4692,-0.4564,0.44145,2
L-Sulforaphane,0.4137,0.5052,0.6524,0.4566,-0.4433,0.506975,0
SPECTRUM_001092,0.4135,0.7738,0.6388,0.6546,-0.4356,0.620175,0
Ataluren,0.4134,NA,0.7053,0.57,-0.368,0.5629,1
Decitabine,0.413,0.4528,0.6748,0.6891,-0.4007,0.557425,0
BRD-K85797809,0.4126,0.3317,0.682,NA,-0.4168,0.4754333333333334,1
Enrofloxacin,0.4126,NA,0.7242,0.5621,-0.3997,0.5663,1
Omeprazole,0.4122,NA,0.6582,0.4516,-0.4119,0.5073333333333333,1
Simvastatin,0.4121,0.5179,0.5766,0.4966,-0.3587,0.5008,0
Motesanib,0.4114,NA,0.7842,0.636,-0.3301,0.6105333333333334,1
ABT737,0.4112,0.5061,0.6667,0.464,-0.3474,0.512,0
UNC0638,0.4111,0.4071,0.6186,0.54,-0.4373,0.49420000000000003,0
ANISODAMINE HYDROBROMIDE,0.4106,NA,0.5978,0.6851,-0.3576,0.5645,1
BRD-K31887147,0.4105,NA,0.613,NA,-0.5267,0.5117499999999999,2
Otenabant,0.4104,NA,0.4512,0.6326,-0.5218,0.49806666666666666,1
Telatinib,0.4102,0.3676,NA,0.7639,-0.4469,0.5139,1
Resminostat,0.4101,0.539,0.3918,0.3792,-0.4446,0.430025,0
Tivantinib,0.41,0.5549,0.671,0.7301,-0.3369,0.5915,0
Torcetrapib,0.4098,NA,0.426,0.6352,-0.4098,0.49033333333333334,1
CID 24069689,0.4098,0.3313,0.672,NA,-0.5551,0.47103333333333336,1
MLS000518920,0.4098,0.3643,NA,0.5709,-0.4817,0.4483333333333333,1
SU 11274,0.4093,0.4573,0.6017,0.6825,-0.3343,0.5377,0
Esculin,0.4091,0.3837,NA,0.7107,-0.4104,0.5011666666666666,1
Fluoxetine,0.409,0.4292,0.6645,0.5155,-0.4267,0.5045499999999999,0
PH-797804,0.4088,0.3974,0.6371,0.7256,-0.4485,0.542225,0
