threshold,fda_status,compound,num
0.85,non_fda,Y-39983,4
0.85,non_fda,ZINC6718453,4
1,fda,Amineptine,4
1,fda,Amuvatinib,4
1,fda,Anacardic acid,4
1,fda,Andrographolide,4
1,fda,Bendroflumethiazide,4
1,fda,Bosutinib,4
1,fda,Brivanib,4
1,fda,Camptothecin,4
1,fda,Carvedilol,4
1,fda,Colchicine,4
1,fda,Crizotinib,4
1,fda,"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",4
1,fda,Cycloheximide,4
1,fda,Decitabine,4
1,fda,Defactinib,4
1,fda,Ellagic acid,4
1,fda,Enzastaurin,4
1,fda,Epigalocatechin Gallate,4
1,fda,Eplerenone,4
1,fda,Estradiol,4
1,fda,Etizolam,4
1,fda,Fentiazac,4
1,fda,Gallocatechin Gallate,4
1,fda,Gefitinib,4
1,fda,Gemcitabine,4
1,fda,Genistein,4
1,fda,Glimepiride,4
1,fda,Ifosfamide,4
1,fda,Infigratinib,4
1,fda,Ivermectin,4
1,fda,Ketotifen,4
1,fda,L-Sulforaphane,4
1,fda,Lapatinib,4
1,fda,Manumycin-A,4
1,fda,Masitinib,4
1,fda,Mebendazole,4
1,fda,Medrysone,4
1,fda,Methotrexate,4
1,fda,Milrinone,4
1,fda,Minoxidil,4
1,fda,Mitoxantrone,4
1,fda,Momelotinib,4
1,fda,Motesanib,4
1,fda,N-[4-(Acridin-9-ylmethyl)-3-methoxyphenyl]methanesulfonamide,4
1,fda,N-[4-Chloro-3-(trifluoromethyl)phenyl]-2-ethoxybenzamide,4
1,fda,Nefopam,4
1,fda,Neratinib,4
1,fda,Nicotin-Amide,4
1,fda,Nilotinib,4
1,fda,O-Demethylated Adapalene,4
1,fda,Omacetaxine Mepesuccinate,4
1,fda,Osimertinib,4
1,fda,Palbociclib,4
1,fda,Palovarotene,4
1,fda,Parthenolide,4
1,fda,Pazopanib,4
1,fda,Pelitinib,4
1,fda,Phenformin,4
1,fda,Phensuximide,4
1,fda,Pimobendan,4
1,fda,Pimozide,4
1,fda,Piplartine,4
1,fda,Promazine,4
1,fda,pyrvinium-pamoate,4
1,fda,Radicicol,4
1,fda,Rebastinib,4
1,fda,Regorafenib,4
1,fda,Resveratrol,4
1,fda,Rigosertib,4
1,fda,Rivaroxaban,4
1,fda,Scopolamine,4
1,fda,Selumetinib,4
1,fda,Sildenafil,4
1,fda,Skiii,4
1,fda,Sulpiride,4
1,fda,Sunitinib,4
1,fda,Tamatinib,4
1,fda,Tamoxifen,4
1,fda,Teniposide,4
1,fda,Thioridazine,4
1,fda,Tivantinib,4
1,fda,Tranylcypromine,4
1,fda,triptolide,4
1,fda,Troglitazone,4
1,fda,Vandetanib,4
1,fda,Veliparib,4
1,fda,Vemurafenib,4
1,fda,vincristine,4
1,non_fda,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",4
1,non_fda,179324-69-7,4
1,non_fda,331771-20-1,4
1,non_fda,852475-26-4,4
1,non_fda,869288-64-2,4
1,non_fda,A-443654,4
1,non_fda,AC1Q6JJ5,4
1,non_fda,AGK 2,4
1,non_fda,AZ20,4
1,non_fda,AZ628,4
1,non_fda,BAY 61-3606,4
1,non_fda,BIIB 021,4
1,non_fda,BMS-387032,4
1,non_fda,BMS-509744,4
1,non_fda,BRD-A01645196,4
1,non_fda,BRD-A25736793,4
1,non_fda,BRD-A69951442-001-01-3,4
1,non_fda,Broad-Sai-045,4
1,non_fda,C-Fms Inhibitor,4
1,non_fda,CBIOL_001848,4
1,non_fda,CC-401,4
1,non_fda,CDK9 Inhibitor,4
1,non_fda,CGK733,4
1,non_fda,CHEMBL3182395,4
1,non_fda,CHEMBL3183436,4
1,non_fda,CHIR-99021,4
1,non_fda,CI-1040,4
1,non_fda,CP-724714,4
1,non_fda,CP466722,4
1,non_fda,E319,4
1,non_fda,FR-180204,4
1,non_fda,GSK-461364,4
1,non_fda,GSK429286A,4
1,non_fda,GW-5074,4
1,non_fda,GW620972X,4
1,non_fda,H-9,4
1,non_fda,HG-9-91-01,4
1,non_fda,HG6-64-1,4
1,non_fda,HMN-214,4
1,non_fda,"Ingenol 3,20-dibenzoate",4
1,non_fda,JW 55,4
1,non_fda,KU-55933,4
1,non_fda,LDN 193189,4
1,non_fda,LY2886721,4
1,non_fda,"MEK162 (ARRY-162, ARRY-438162)",4
1,non_fda,MG-132,4
1,non_fda,MLN-8054,4
1,non_fda,MLS000778276,4
1,non_fda,MLS006011051,4
1,non_fda,NCGC00346967-01,4
1,non_fda,NMS-1286937,4
1,non_fda,NU-7441,4
1,non_fda,PCI-32765,4
1,non_fda,PD-0325901,4
1,non_fda,PD-173074,4
1,non_fda,PF-03758309,4
1,non_fda,PF-04217903,4
1,non_fda,PF-562271,4
1,non_fda,PF477736,4
1,non_fda,PFI-1,4
1,non_fda,PKC Beta Inhibitor,4
1,non_fda,PLX-4720,4
1,non_fda,PX 12,4
1,non_fda,SCHEMBL16980377,4
1,non_fda,SCHEMBL17378613,4
1,non_fda,SCHEMBL17497583,4
1,non_fda,SCHEMBL3954849,4
1,non_fda,SCHEMBL618594,4
1,non_fda,SGI-1776,4
1,non_fda,SPECTRUM1505012,4
1,non_fda,SPECTRUM2_000920,4
1,non_fda,ST021200,4
1,non_fda,SU 11274,4
1,non_fda,TAK-715,4
1,non_fda,TIE2 Kinase Inhibitor,4
1,non_fda,TORIN-2,4
1,non_fda,TPCA-1,4
1,non_fda,TWS 119,4
1,non_fda,Tyrphostin AG-1478,4
1,non_fda,UNC0638,4
1,non_fda,VE-821,4
1,non_fda,VRT752271,4
1,non_fda,Y-39983,4
1,non_fda,ZINC77024257,4
1,non_fda,ZK-93423,4
0,fda,Dasatinib,3
0,fda,Sorafenib,3
0,non_fda,GSK-461364,3
0,non_fda,PD-0325901,3
0.26,fda,Dabrafenib,3
0.26,fda,Dasatinib,3
0.26,fda,Glyburide,3
0.26,fda,Osimertinib,3
0.26,fda,Radicicol,3
0.26,fda,Rebastinib,3
0.26,fda,Ricolinostat,3
0.26,fda,Selumetinib,3
0.26,fda,Sorafenib,3
0.26,fda,Trametinib,3
0.26,fda,Vemurafenib,3
0.26,non_fda,"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",3
0.26,non_fda,AC1MJ3VH,3
0.26,non_fda,BRD-K20510412,3
0.26,non_fda,CI-1040,3
0.26,non_fda,GSK-3 Inhibitor II,3
0.26,non_fda,GSK-3 Inhibitor IX,3
0.26,non_fda,MLN-8054,3
0.26,non_fda,SB-216763,3
0.26,non_fda,VX-745,3
0.26,non_fda,XAV 939,3
0.5,fda,Alprostadil,3
0.5,fda,amcinonide,3
0.5,fda,Aminopurvalanol,3
0.5,fda,Amitriptyline,3
0.5,fda,AMSACRINE,3
0.5,fda,Amuvatinib,3
0.5,fda,Auranofin,3
0.5,fda,Avicin-D,3
0.5,fda,Avicin-G,3
0.5,fda,Bosutinib,3
0.5,fda,Canertinib,3
0.5,fda,Cladribine,3
0.5,fda,Dabrafenib,3
0.5,fda,Dasatinib,3
0.5,fda,Decitabine,3
0.5,fda,Elliptecine,3
0.5,fda,Erlotinib,3
0.5,fda,Fenretinide,3
0.5,fda,Foretinib,3
0.5,fda,Gallocatechin Gallate,3
0.5,fda,Gefitinib,3
0.5,fda,Gly-Gly-Palo,3
0.5,fda,Glyburide,3
0.5,fda,Indigo Red,3
0.5,fda,Inolitazone (dihydrochloride),3
0.5,fda,Maprotiline,3
0.5,fda,Mitoxantrone,3
0.5,fda,Nimodipine,3
0.5,fda,O-Demethylated Adapalene,3
0.5,fda,Osimertinib,3
0.5,fda,Oxetane,3
0.5,fda,Parthenolide,3
0.5,fda,Pimobendan,3
0.5,fda,Pinacidil,3
0.5,fda,pyrvinium-pamoate,3
0.5,fda,Quinacrine,3
0.5,fda,Quizartinib,3
0.5,fda,Rebastinib,3
0.5,fda,Simvastatin,3
0.5,fda,Sirolimus,3
0.5,fda,Sorafenib,3
0.5,fda,Thioguanosine,3
0.5,fda,Thioridazine,3
0.5,fda,Tigecycline,3
0.5,fda,Trametinib,3
0.5,fda,Troglitazone,3
0.5,fda,Vemurafenib,3
0.5,fda,Vorinostat,3
0.5,fda,Withaferin A,3
0.5,non_fda,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",3
0.5,non_fda,179324-69-7,3
0.5,non_fda,3-(4-Pyridyl)indole,3
0.5,non_fda,331771-20-1,3
0.5,non_fda,"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",3
0.5,non_fda,A-443654,3
0.5,non_fda,AC1MJ3VH,3
0.5,non_fda,AC1OCDAW,3
0.5,non_fda,AC1Q6JJ5,3
0.5,non_fda,AGK 2,3
0.5,non_fda,AS-605240,3
0.5,non_fda,AT-7519,3
0.5,non_fda,AZ20,3
0.5,non_fda,AZ628,3
0.5,non_fda,AZD-1775,3
0.5,non_fda,AZD-5438,3
0.5,non_fda,BRD-A24396574-001-01-5,3
0.5,non_fda,BRD-K08982647,3
0.5,non_fda,BX-795,3
0.5,non_fda,C24H25CLFN5O3,3
0.5,non_fda,CGK733,3
0.5,non_fda,CHEMBL3182395,3
0.5,non_fda,CHEMBL3188661,3
0.5,non_fda,FOXY-5,3
0.5,non_fda,GSK-461364,3
0.5,non_fda,GW620972X,3
0.5,non_fda,GW843682X,3
0.5,non_fda,KW-2449,3
0.5,non_fda,KX2-391,3
0.5,non_fda,LDN 193189,3
0.5,non_fda,LGX818,3
0.5,non_fda,LY2874455,3
0.5,non_fda,"MEK162 (ARRY-162, ARRY-438162)",3
0.5,non_fda,MLN-8054,3
0.5,non_fda,MLS002222336,3
0.5,non_fda,MLS002276503,3
0.5,non_fda,N6022,3
0.5,non_fda,NCGC00011767,3
0.5,non_fda,NMS-1286937,3
0.5,non_fda,NU-7026,3
0.5,non_fda,PF-04217903,3
0.5,non_fda,PIK 75,3
0.5,non_fda,RO4987655,3
0.5,non_fda,SB-216763,3
0.5,non_fda,SB743921,3
0.5,non_fda,SCHEMBL15556278,3
0.5,non_fda,ST51005413,3
0.5,non_fda,TH-302,3
0.5,non_fda,TPCA-1,3
0.5,non_fda,Tyrphostin AG-1478,3
0.5,non_fda,WZ 4002,3
0.5,non_fda,XAV 939,3
0.5,non_fda,Y-39983,3
0.5,non_fda,ZSTK 474,3
0.85,fda,"(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one",3
0.85,fda,Acetyl-Farnesyl-Cysteine,3
0.85,fda,Acyclovir,3
0.85,fda,Afuresertib,3
0.85,fda,Albendazole,3
0.85,fda,Alectinib,3
0.85,fda,Alitretinoin,3
0.85,fda,Allitinib,3
0.85,fda,Aloisine,3
0.85,fda,Alpelisib,3
0.85,fda,Alprostadil,3
0.85,fda,Altretamine,3
0.85,fda,Alvocidib,3
0.85,fda,Ambroxol,3
0.85,fda,amcinonide,3
0.85,fda,Amidate,3
0.85,fda,Amiloride,3
0.85,fda,Aminogenistein,3
0.85,fda,Aminopurvalanol,3
0.85,fda,Amiodarone,3
0.85,fda,Amitriptyline,3
0.85,fda,Ammonium Glycyrrhizinate,3
0.85,fda,Amodiaquine,3
0.85,fda,Ampalex,3
0.85,fda,Anagrelide,3
0.85,fda,ANISODAMINE HYDROBROMIDE,3
0.85,fda,Antimycin A,3
0.85,fda,"Apitolisib (gdc-0980, rg7422)",3
0.85,fda,Arachidonyl Trifluoromethylketone,3
0.85,fda,Armodafinil,3
0.85,fda,Artesunate,3
0.85,fda,Arundine,3
0.85,fda,Atorvastatin,3
0.85,fda,Avasimibe,3
0.85,fda,Avicin-D,3
0.85,fda,Avicin-G,3
0.85,fda,Azacitidine,3
0.85,fda,Batimastat,3
0.85,fda,Benzamil,3
0.85,fda,Benzbromarone,3
0.85,fda,Benzohydroxamate,3
0.85,fda,Benzylpenicillin,3
0.85,fda,Bicalutamide,3
0.85,fda,Bifonazole,3
0.85,fda,Bisindolylmaleimide IX,3
0.85,fda,Bongkrekic acid,3
0.85,fda,Bromhexine,3
0.85,fda,Cabergoline,3
0.85,fda,Cabozantinib,3
0.85,fda,Calcitriol,3
0.85,fda,Calmidazolium,3
0.85,fda,Canrenoate,3
0.85,fda,Capsazepine,3
0.85,fda,Carbamazepine,3
0.85,fda,Carpindolol,3
0.85,fda,Carvedilol,3
0.85,fda,Cediranib,3
0.85,fda,Celecoxib,3
0.85,fda,Chaetocin,3
0.85,fda,Chelerythrine,3
0.85,fda,Chenodeoxycholic Acid,3
0.85,fda,Chloroguanide,3
0.85,fda,Chlorpheniramine,3
0.85,fda,Chlorthalidone,3
0.85,fda,Cilomilast,3
0.85,fda,Cilostamide,3
0.85,fda,Cimetidine,3
0.85,fda,Cisatracurium Besylate,3
0.85,fda,Citalopram,3
0.85,fda,Cladribine,3
0.85,fda,CLIMBAZOLE,3
0.85,fda,Clonidine,3
0.85,fda,Clotrimazole,3
0.85,fda,Clozapine,3
0.85,fda,Cobalt (Ii) Chloride,3
0.85,fda,Colchicine,3
0.85,fda,Colforsin,3
0.85,fda,cortisone-acetate,3
0.85,fda,Crizotinib,3
0.85,fda,Cucurbitacin I,3
0.85,fda,Cucurbitacin-I,3
0.85,fda,Curcumin,3
0.85,fda,Cyanopindolol,3
0.85,fda,Cyclosporine,3
0.85,fda,Cymarin,3
0.85,fda,Cytochalasin B,3
0.85,fda,Dacarbazine,3
0.85,fda,Dacinostat,3
0.85,fda,Dacomitinib,3
0.85,fda,Dactolisib,3
0.85,fda,Dalcetrapib,3
0.85,fda,Daminozide,3
0.85,fda,Dasatinib,3
0.85,fda,Daunorubicin,3
0.85,fda,Defactinib,3
0.85,fda,Deoxycholic acid,3
0.85,fda,Dequalinium,3
0.85,fda,Dexniguldipine,3
0.85,fda,Diclofenac,3
0.85,fda,Diflunisal,3
0.85,fda,Digoxin,3
0.85,fda,Dilazep,3
0.85,fda,Dinaciclib,3
0.85,fda,Dioxybenzone,3
0.85,fda,Dipropyldopamine,3
0.85,fda,Disopyramide,3
0.85,fda,Dofequidar (fumarate),3
0.85,fda,Doramapimod,3
0.85,fda,Dorsomorphin,3
0.85,fda,Dovitinib,3
0.85,fda,Doxorubicin,3
0.85,fda,Droperidol,3
0.85,fda,Elesclomol,3
0.85,fda,Ellagic acid,3
0.85,fda,Elliptecine,3
0.85,fda,Emapunil,3
0.85,fda,Emend,3
0.85,fda,Entinostat,3
0.85,fda,Enzastaurin,3
0.85,fda,Epicatechin Gallate,3
0.85,fda,Epigalocatechin Gallate,3
0.85,fda,Eplerenone,3
0.85,fda,Erastin,3
0.85,fda,Erbstatin Analog,3
0.85,fda,Ercalcitriol,3
0.85,fda,Erismodegib,3
0.85,fda,Esculin,3
0.85,fda,Estradiol,3
0.85,fda,Estradiol Cypionate,3
0.85,fda,Estriol,3
0.85,fda,Etodolac,3
0.85,fda,Etomoxir,3
0.85,fda,Evodiamine,3
0.85,fda,Fadrozole,3
0.85,fda,Falnidamol,3
0.85,fda,Fast Scarlet,3
0.85,fda,Fasudil,3
0.85,fda,Fccp,3
0.85,fda,Fenretinide,3
0.85,fda,Fenticonazole Nitrate,3
0.85,fda,Floxuridine,3
0.85,fda,Flufenamic acid,3
0.85,fda,Flunisolide,3
0.85,fda,Flutamide,3
0.85,fda,Foretinib,3
0.85,fda,galantamine,3
0.85,fda,Gallocatechin Gallate,3
0.85,fda,Gibberellin A3,3
0.85,fda,Ginsenoside RC,3
0.85,fda,Gossypol,3
0.85,fda,GSK J4,3
0.85,fda,GSK-J1,3
0.85,fda,GSK-J2,3
0.85,fda,Guanadrel,3
0.85,fda,Guanethidine,3
0.85,fda,Hemado,3
0.85,fda,Hexylcaine,3
0.85,fda,Hydroxyl,3
0.85,fda,Hydroxyprogesterone Caproate,3
0.85,fda,Ibutilide,3
0.85,fda,Idelalisib,3
0.85,fda,Ifenprodil,3
0.85,fda,Ilomastat,3
0.85,fda,Indigo Red,3
0.85,fda,Infigratinib,3
0.85,fda,Inolitazone (dihydrochloride),3
0.85,fda,Ipatasertib,3
0.85,fda,Ischemin,3
0.85,fda,Isradipine,3
0.85,fda,JNK-IN-2,3
0.85,fda,Ketoconazole,3
0.85,fda,Ketotifen,3
0.85,fda,L-Hyoscyamine,3
0.85,fda,Lanacordin,3
0.85,fda,Latanoprost,3
0.85,fda,Leflunomide,3
0.85,fda,Lenalidomide,3
0.85,fda,Lersivirine,3
0.85,fda,Levetiracetam,3
0.85,fda,Levonorgestrel,3
0.85,fda,Lexibulin,3
0.85,fda,Licochalcone A,3
0.85,fda,Linifanib,3
0.85,fda,Linsitinib,3
0.85,fda,Lonafarnib,3
0.85,fda,Luteolin,3
0.85,fda,Macitentan,3
0.85,fda,Manumycin-A,3
0.85,fda,Maprotiline,3
0.85,fda,Maxacalcitol-D6,3
0.85,fda,Mebendazole,3
0.85,fda,Medrysone,3
0.85,fda,Menadione,3
0.85,fda,Methysergide,3
0.85,fda,Milrinone,3
0.85,fda,Minoxidil,3
0.85,fda,Mocetinostat,3
0.85,fda,Momelotinib,3
0.85,fda,Morin,3
0.85,fda,Mosapride,3
0.85,fda,Moxifloxacin,3
0.85,fda,Mycophenolate Mofetil,3
0.85,fda,"N-(3-Fluoro-4-((7-methoxyquinolin-4-yl)oxy)phenyl)-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazole-4-carboxamide",3
0.85,fda,N-[4-(Acridin-9-ylmethyl)-3-methoxyphenyl]methanesulfonamide,3
0.85,fda,N-[4-Chloro-3-(trifluoromethyl)phenyl]-2-ethoxybenzamide,3
0.85,fda,Nafadotride,3
0.85,fda,Narciclasine,3
0.85,fda,Naringenin,3
0.85,fda,Nemonapride,3
0.85,fda,Nicardipine,3
0.85,fda,Nicotin-Amide,3
0.85,fda,Nifedipine,3
0.85,fda,Nilotinib,3
0.85,fda,noscapine,3
0.85,fda,NVP-AUY922,3
0.85,fda,NVP-BHG712,3
0.85,fda,Nylidrin,3
0.85,fda,O-Demethylated Adapalene,3
0.85,fda,Olaparib,3
0.85,fda,Olmesartan Medoxomil,3
0.85,fda,Olomoucine,3
0.85,fda,Omacetaxine Mepesuccinate,3
0.85,fda,omeprazole,3
0.85,fda,Osimertinib,3
0.85,fda,Oxetane,3
0.85,fda,Oxfendazole,3
0.85,fda,Palbociclib,3
0.85,fda,Palmitoyl Dopamine,3
0.85,fda,Parbendazole,3
0.85,fda,Penfluridol,3
0.85,fda,PENICILLIN V POTASSIUM,3
0.85,fda,Penitrem A,3
0.85,fda,Pevonedistat,3
0.85,fda,Phensuximide,3
0.85,fda,Phentolamine,3
0.85,fda,Phenytoin,3
0.85,fda,Phloretin,3
0.85,fda,Picotamide,3
0.85,fda,Pictilisib,3
0.85,fda,Pifithrin MU,3
0.85,fda,Pimasertib,3
0.85,fda,Pimavanserin,3
0.85,fda,Pimobendan,3
0.85,fda,Pinacidil,3
0.85,fda,Piplartine,3
0.85,fda,Piribedil,3
0.85,fda,Pitavastatin Calcium,3
0.85,fda,Podofilox,3
0.85,fda,Pomalidomide,3
0.85,fda,Ponatinib,3
0.85,fda,Pracinostat,3
0.85,fda,Pramipexole,3
0.85,fda,Praziquantel,3
0.85,fda,Primaquine,3
0.85,fda,Probucol,3
0.85,fda,Propafenone,3
0.85,fda,Prostoglandin A1,3
0.85,fda,Prostoglandin B2,3
0.85,fda,PROTIRELIN,3
0.85,fda,Protriptyline,3
0.85,fda,Purmorphamine,3
0.85,fda,Pyrazolanthrone,3
0.85,fda,Quetiapine,3
0.85,fda,Quinacrine,3
0.85,fda,Quisinostat,3
0.85,fda,Quizartinib,3
0.85,fda,Rabusertib,3
0.85,fda,Raloxifene,3
0.85,fda,Refametinib,3
0.85,fda,Regorafenib,3
0.85,fda,Resveratrol,3
0.85,fda,Retigabine,3
0.85,fda,Rhamnetin,3
0.85,fda,Ricolinostat,3
0.85,fda,rifampicin,3
0.85,fda,Rifampicin,3
0.85,fda,Rilmenidine,3
0.85,fda,Risperidone,3
0.85,fda,Rita,3
0.85,fda,Rivaroxaban,3
0.85,fda,Rotenone,3
0.85,fda,Rottlerin,3
0.85,fda,Rucaparib,3
0.85,fda,Ruxolitinib,3
0.85,fda,Salermide,3
0.85,fda,Saracatinib,3
0.85,fda,Sasapyrine,3
0.85,fda,Scopolamine,3
0.85,fda,SDZ NKT 343,3
0.85,fda,Seliciclib,3
0.85,fda,Sepantronium,3
0.85,fda,Setiptiline,3
0.85,fda,Sirolimus,3
0.85,fda,Skiii,3
0.85,fda,Sorafenib,3
0.85,fda,Staurosporine,3
0.85,fda,Strophanthidin,3
0.85,fda,Strychnine,3
0.85,fda,Sulfadoxine,3
0.85,fda,sulmazole,3
0.85,fda,Sunitinib,3
0.85,fda,Syrosingopine,3
0.85,fda,Tacrine,3
0.85,fda,Taltirelin,3
0.85,fda,Tamatinib,3
0.85,fda,Tamibarotene,3
0.85,fda,Tamoxifen,3
0.85,fda,Tandutinib,3
0.85,fda,Tanespimycin,3
0.85,fda,Targinine,3
0.85,fda,Tauroursodeoxy cholic acid dihydrate,3
0.85,fda,Tebuthiuron,3
0.85,fda,Telmisartan,3
0.85,fda,Temozolomide,3
0.85,fda,Tenoxicam,3
0.85,fda,Terbutaline,3
0.85,fda,Tetraidofluorescein,3
0.85,fda,Thalidomide,3
0.85,fda,Theobromine,3
0.85,fda,Thioguanine,3
0.85,fda,Tibolone,3
0.85,fda,Ticagrelor,3
0.85,fda,Ticlopidine,3
0.85,fda,Tipifarnib,3
0.85,fda,Tivantinib,3
0.85,fda,Tivozanib,3
0.85,fda,Tizanidine,3
0.85,fda,Torsemide,3
0.85,fda,Tozasertib,3
0.85,fda,Trametinib,3
0.85,fda,Trapidil,3
0.85,fda,Tretinoin,3
0.85,fda,Triclosan,3
0.85,fda,Trifluoperazine,3
0.85,fda,triptolide,3
0.85,fda,Ttnpb,3
0.85,fda,Ubenimex,3
0.85,fda,Urapidil,3
0.85,fda,Ursolic acid,3
0.85,fda,Valproic acid,3
0.85,fda,Valsartan,3
0.85,fda,Vandetanib,3
0.85,fda,Vanoxerine,3
0.85,fda,Varlitinib,3
0.85,fda,Veliparib,3
0.85,fda,Vemurafenib,3
0.85,fda,Verapamil,3
0.85,fda,Vinpocetine,3
0.85,fda,Vorinostat,3
0.85,fda,Warfarin,3
0.85,fda,WHI-P97,3
0.85,fda,Wortmannin,3
0.85,fda,Zafirlukast,3
0.85,fda,Zardaverine,3
0.85,fda,Zileuton,3
0.85,fda,Zoxazolamine,3
0.85,fda,Zucapsaicin,3
0.85,non_fda,(R)-(-)-Jq1 enantiomer,3
0.85,non_fda,"1-(2,6-Dichlorobenzylideneamino)guanidine",3
0.85,non_fda,1-(5-Isoquinolinesulfonyl)piperazine,3
0.85,non_fda,10-DEBC,3
0.85,non_fda,1166227-08-2,3
0.85,non_fda,12K-612S,3
0.85,non_fda,13-Cis-retinol,3
0.85,non_fda,131780-47-7,3
0.85,non_fda,16Beta-hydroxydisitoxigenin,3
0.85,non_fda,17-DMAG (Alvespimycin) HCl,3
0.85,non_fda,175203-39-1,3
0.85,non_fda,282089-49-0,3
0.85,non_fda,3-(4-Pyridyl)indole,3
0.85,non_fda,3-Chloro-l-alanine,3
