compound,nib,quine,vir,similarity,meansim,nas
Mocetinostat,0.487,0.3919,0.3311,-0.3384,0.4033333333333333,0
CHEMBL585951,0.486,0.5475,0.4961,-0.3624,0.5098666666666667,0
Glipizide,0.4854,0.4423,0.4232,-0.3557,0.45030000000000003,0
ML162,0.4815,0.4511,0.5612,-0.329,0.49793333333333334,0
Sorafenib,0.4795,0.5491,0.4689,-0.3516,0.49916666666666665,0
AC1Q6JJ5,0.4793,0.5769,0.4549,-0.3312,0.5037,0
Avicin-D,0.4792,0.4173,0.4096,-0.3342,0.4353666666666667,0
SU-11652,0.4736,0.5472,0.3346,-0.3509,0.45180000000000003,0
BX-795,0.4736,0.6082,0.4508,-0.3296,0.5108666666666667,0
Gallocatechin Gallate,0.4717,0.7118,0.3523,-0.3917,0.5119333333333334,0
WZ3105,0.4692,0.5511,NA,-0.327,0.51015,1
SCHEMBL17497626,0.4681,0.4406,0.3611,-0.3213,0.4232666666666667,0
SCHEMBL17378613,0.4626,0.4928,0.4412,-0.3534,0.46553333333333335,0
AC1OCDAW,0.4625,0.4399,0.4344,-0.334,0.4456,0
AZD-5438,0.4621,0.5933,0.4998,-0.3269,0.5184,0
CHEMBL3188661,0.4617,0.5116,0.5467,-0.4149,0.5066666666666667,0
C24H25CLFN5O3,0.4606,0.5715,0.3835,-0.3992,0.47186666666666666,0
Inolitazone (dihydrochloride),0.4605,0.7255,0.4108,-0.3258,0.5322666666666667,0
TL_HRAS26,0.4597,0.7141,0.42,-0.3448,0.5312666666666667,0
SB590885,0.4564,0.5202,0.6524,-0.3234,0.5429999999999999,0
BAY 61-3606,0.4547,0.6925,0.4461,-0.3213,0.5311,0
AZ628,0.4528,0.5912,0.4174,-0.3412,0.4871333333333333,0
Chaetocin,0.4526,0.5488,0.5917,-0.3462,0.5310333333333334,0
AS601245,0.4519,0.6459,0.4353,-0.3349,0.5110333333333333,0
Oxetane,0.4458,0.3763,0.3244,-0.3302,0.38216666666666665,0
Staurosporine,0.4451,0.3611,NA,-0.3321,0.4031,1
Glyburide,0.4429,0.5901,0.3643,-0.3577,0.46576666666666666,0
Osimertinib,0.4427,0.3822,0.3448,-0.395,0.38989999999999997,0
Desoximetasone,0.4393,0.5153,NA,-0.3275,0.4773,1
SR-2640,0.4385,0.4246,NA,-0.3958,0.43155,1
Tyrphostin AG-1478,0.4372,0.5773,0.3957,-0.3291,0.4700666666666667,0
GSK-3 Inhibitor IX,0.4344,0.5944,0.4662,-0.3305,0.49833333333333335,0
CI-1040,0.4343,0.6251,0.5374,-0.323,0.5322666666666667,0
Pyrazolanthrone,0.4302,0.5552,0.4621,-0.3365,0.48250000000000004,0
AGK 2,0.4294,0.5762,0.3435,-0.3282,0.44970000000000004,0
MLN-8054,0.429,0.5025,0.5554,-0.4248,0.4956333333333333,0
JNJ-7706621,0.4287,0.415,NA,-0.3621,0.42185,1
AC1MJ3VH,0.4242,0.4741,0.4261,-0.3504,0.4414666666666667,0
Azithromycin,0.4238,0.5998,NA,-0.3823,0.5118,1
Narciclasine,0.4231,0.413,0.425,-0.3352,0.42036666666666667,0
WZ 4002,0.4219,0.6752,0.5169,-0.596,0.538,0
CHEMBL2355513,0.4206,0.6437,0.3401,-0.3331,0.46813333333333335,0
Decitabine,0.4205,0.6961,0.472,-0.376,0.5295333333333333,0
Curcumin,0.4202,0.507,0.47,-0.3254,0.46573333333333333,0
Elliptecine,0.4177,0.374,0.4026,-0.4025,0.3981,0
Y-39983,0.4127,0.7567,0.4409,-0.4017,0.5367666666666667,0
PIK 75,0.4126,0.4965,0.4251,-0.3575,0.4447333333333333,0
Dabrafenib,0.4114,0.541,0.508,-0.4026,0.4868,0
C30H33N3O5S,0.4113,0.4242,0.4522,-0.34,0.42923333333333336,0
BMS-387032,0.4085,0.5029,0.4642,-0.3254,0.45853333333333335,0
AZD 1480,0.4084,0.4428,0.4824,-0.4406,0.44453333333333334,0
Rebastinib,0.4074,0.6574,NA,-0.3924,0.5324,1
Maprotiline,0.407,0.4262,0.3262,-0.356,0.3864666666666667,0
MLS001173269,0.4067,0.4023,NA,-0.3244,0.40449999999999997,1
Dactinomycin,0.4064,0.4315,0.3893,-0.3929,0.40906666666666663,0
Bisoprolol,0.4061,0.4743,0.3796,-0.3459,0.42,0
MLS003329222,0.4046,0.3815,NA,-0.3226,0.39305,1
Hoechst 33258,0.4045,0.5788,NA,-0.3507,0.49165000000000003,1
BMS-345541,0.4037,0.8527,0.5547,-0.3717,0.6037,0
Robustic acid,0.4034,0.5957,0.3284,-0.3298,0.4425,0
UB-165,0.3995,0.4383,NA,-0.3236,0.41890000000000005,1
3-(4-Pyridyl)indole,0.3993,0.6621,0.5427,-0.3236,0.5347,0
UNC 669,0.3992,0.6222,0.4617,-0.321,0.4943666666666667,0
Flufenamic acid,0.3976,0.422,0.36870000000000003,-0.3973,0.3961,0
Diflunisal,0.3975,0.3792,0.4396,-0.326,0.4054333333333333,0
AT-7519,0.397,0.8718,0.4392,-0.3311,0.5693333333333334,0
CHEMBL2356537,0.3939,NA,0.3285,-0.3493,0.36119999999999997,1
PF-04217903,0.3925,0.6715,0.4205,-0.3384,0.49483333333333335,0
"3,7-Bis(dimethylamino)phenothiazin-5-ium",0.3912,0.5335,0.627,-0.3879,0.5172333333333333,0
Lestaurtinib,0.3904,0.3706,0.444,-0.3383,0.40166666666666667,0
BRD-A75471153,0.3891,0.4409,0.3882,-0.342,0.4060666666666667,0
Nimodipine,0.3872,0.525,0.3318,-0.3392,0.4146666666666667,0
MLS003672589,0.3872,0.6149,0.3597,-0.3286,0.45393333333333336,0
HG-9-91-01,0.3865,0.5787,0.4055,-0.3266,0.45690000000000003,0
Refametinib,0.3834,0.4438,NA,-0.3521,0.41359999999999997,1
SCHEMBL16226068,0.3829,0.513,NA,-0.3257,0.44795,1
Fenretinide,0.3804,0.4477,0.329,-0.3942,0.3857,0
SCHEMBL10583556,0.3788,0.3612,0.3578,-0.3363,0.36593333333333333,0
SB-216763,0.3776,0.635,0.5087,-0.4296,0.5071,0
Iobenguane,0.3733,NA,0.3945,-0.3385,0.3839,1
Auranofin,0.3688,0.4701,0.3893,-0.3333,0.4094,0
Meptazinol,0.364,0.4621,0.3411,-0.3401,0.38906666666666667,0
Cyclosporine,0.3623,0.5063,0.3405,-0.4502,0.40303333333333335,0
Nelarabine,0.3618,0.3539,0.4042,-0.4076,0.3733,0
Pinacidil,0.3613,0.5141,0.3876,-0.4666,0.421,0
BRD-K44410738,0.3602,NA,0.3278,-0.3418,0.344,1
Apigenin,0.3593,0.4801,0.6122,-0.3515,0.48386666666666667,0
C29H35NO2,0.359,0.3872,NA,-0.3406,0.3731,1
BRD-K42573370-001-01-1,0.3589,0.3961,0.4262,-0.3443,0.3937333333333333,0
Benzbromarone,0.3569,0.4763,0.6301,-0.3272,0.4877666666666667,0
AKT Inhibitor IV,0.3546,0.476,0.3903,-0.3242,0.40696666666666664,0
Lenalidomide,0.3543,0.4545,0.36,-0.3356,0.3896,0
Chelerythrine,0.3503,0.5127,0.4065,-0.3347,0.4231666666666667,0
Hydroxyl,0.3487,0.4292,NA,-0.3543,0.38895,1
BRD-K53359044,0.3485,0.3445,NA,-0.3617,0.3465,1
Y-26763,0.3447,0.5923,0.4114,-0.3285,0.4494666666666667,0
VX-745,0.3441,0.6374,0.5228,-0.3423,0.5014333333333334,0
N6022,0.3435,0.6275,0.3712,-0.4051,0.44739999999999996,0
BRD-K40225343,0.3431,0.3535,NA,-0.3236,0.3483,1
NU-7026,0.3328,0.6428,0.4694,-0.3426,0.4816666666666667,0
MLS002222336,0.3224,0.4296,NA,-0.4799,0.376,1
Thalidomide,NA,0.7745,0.5635,-0.3641,0.669,1
Aliskiren,NA,0.7336,0.3933,-0.3653,0.56345,1
BRD-K28431278,NA,0.6917,0.3987,-0.4769,0.5452,1
Tauroursodeoxy cholic acid dihydrate,NA,0.6265,0.3252,-0.3211,0.47585,1
Alprostadil,NA,0.6034,0.3592,-0.3432,0.48130000000000006,1
Cyclacillin,NA,0.5893,0.3518,-0.3591,0.47055,1
U-0126,NA,0.5877,0.4084,-0.3417,0.49805,1
CHEMBL2355399,NA,0.5678,0.361,-0.4516,0.4644,1
Acetyl-Farnesyl-Cysteine,NA,0.5568,0.4033,-0.4428,0.48005,1
Norfloxacin,NA,0.5108,0.41,-0.4594,0.46040000000000003,1
Simvastatin,NA,0.5046,0.5337,-0.3343,0.51915,1
Procainamide,NA,0.4958,0.3604,-0.3516,0.42810000000000004,1
SC-514,NA,0.4659,0.4026,-0.4081,0.43425,1
Tigecycline,NA,0.4527,0.3577,-0.3577,0.4052,1
AN-465/42886295,NA,0.4476,0.3927,-0.3752,0.42015,1
BRD-K22261046,NA,0.4455,0.4053,-0.3424,0.4254,1
BRD-K27239120-001-01-1,NA,0.4453,0.3532,-0.3298,0.39925,1
Broad-Sai-370,NA,0.4243,0.4121,-0.3557,0.4182,1
Nefazodone,NA,0.4192,0.4637,-0.3267,0.44145,1
N-(3-Acetamidophenyl)-3-chlorobenzamide,NA,0.4105,0.3928,-0.4852,0.40164999999999995,1
Arecaidine Propargyl Ester,NA,0.4054,0.3424,-0.3231,0.3739,1
4-(Pyridin-3-yloxy)-phthalonitrile,NA,0.4005,0.3478,-0.3699,0.37415,1
"Pfmrk inhibitor, wr 216174",NA,0.3982,0.3434,-0.3325,0.3708,1
PS-1145,NA,0.3972,0.3752,-0.4433,0.3862,1
Mesoridazine,NA,0.3837,0.3996,-0.403,0.39165,1
LCQ-908,NA,0.3696,0.339,-0.3284,0.3543,1
Macitentan,NA,0.3674,0.5424,-0.3845,0.45489999999999997,1
ST51005413,NA,0.3598,0.3417,-0.3252,0.35075,1
Phentolamine,NA,0.359,0.3926,-0.4844,0.3758,1
NCGC00011767,NA,0.3486,0.49370000000000003,-0.3646,0.42115,1
BRD-K18059480,NA,0.348,0.4392,-0.3563,0.39359999999999995,1
Aristolochic acid,NA,0.3324,0.3999,-0.3223,0.36615,1
Naringenin,NA,0.6211,0.425,-0.3673,0.52305,1
Rivaroxaban,NA,0.6137,0.3665,-0.3557,0.4901,1
Androstanol,NA,0.5661,0.3768,-0.3271,0.47145000000000004,1
EDOXUDINE,NA,0.5556,0.3417,-0.4223,0.44865,1
Regorafenib,NA,0.5357,0.4818,-0.3334,0.50875,1
(3-Isopropoxyphenyl)(1-((5-methyl-1-propyl-1H-pyrazol-4-yl)methyl)piperidin-3-yl)methanone,NA,0.5089,0.5054,-0.3849,0.50715,1
362-74-3,NA,0.5075,0.4918,-0.4216,0.49965,1
Hydroxyprogesterone Caproate,NA,0.5071,0.3752,-0.3766,0.44115,1
Olomoucine,NA,0.5057,0.4785,-0.3263,0.4921,1
STK222600,NA,0.4891,0.4498,-0.3365,0.46945,1
Htfmt,NA,0.4617,0.373,-0.3414,0.41735,1
501919-59-1,NA,0.4535,0.3625,-0.3896,0.40800000000000003,1
Ivabradine HCl,NA,0.4465,0.4713,-0.3472,0.4589,1
Daminozide,NA,0.4345,0.4614,-0.3265,0.44794999999999996,1
MLS003179190,NA,0.434,0.3237,-0.4098,0.37885,1
CHEMBL453376,NA,0.43120000000000003,0.3545,-0.3528,0.39285000000000003,1
Phenytoin,NA,0.4221,0.36,-0.4222,0.39105,1
Teneligliptin,NA,0.4132,0.3641,-0.3302,0.38865,1
NEFIRACETAM,NA,0.4035,0.4406,-0.3469,0.42205000000000004,1
BRD-K62242359,NA,0.4025,0.4347,-0.4061,0.41859999999999997,1
CHEMBL475341,NA,0.3979,0.3286,-0.4974,0.36324999999999996,1
BL-074,NA,0.3965,0.3542,-0.3677,0.37535,1
T6704841,NA,0.3951,0.3869,-0.3806,0.391,1
Pimobendan,NA,0.3648,0.3756,-0.3876,0.3702,1
AC1O52XK,NA,0.3535,0.3274,-0.428,0.34045000000000003,1
BRD-K13468108,NA,0.3344,0.4962,-0.3479,0.4153,1
SPECTRUM1505012,NA,0.3317,0.3768,-0.3292,0.35425,1
