compound,los,nib,quine,vir,similarity,meansim,nas
Moclobemide,0.702,0.386,NA,0.3761,-0.3475,0.4880333333333333,1
PI828,0.7015,0.3678,0.4421,0.4119,-0.3316,0.480825,0
CGS 20625,0.7008,NA,0.5158,0.5661,-0.3507,0.5942333333333334,1
AZD4547,0.698,0.5546,0.5883,0.4749,-0.3227,0.57895,0
Dipraglurant,0.6965,NA,0.4202,NA,-0.5274,0.55835,2
Mesulergine,0.6961,NA,0.4037,0.3323,-0.4301,0.47736666666666666,1
Enzalutamide,0.6951,0.379,0.3935,NA,-0.4132,0.4892,1
amisulpride,0.6941,0.4743,0.3771,0.3799,-0.4256,0.48135,0
CHEMBL2333346,0.6931,NA,0.4659,0.4194,-0.431,0.5261333333333333,1
Andrographolide,0.6927,0.3531,0.4596,0.5118,-0.3284,0.5043,0
VX-809 (Lumacaftor),0.6913,NA,0.3874,0.3981,-0.3258,0.4922666666666667,1
Pinaverium bromide,0.691,NA,0.4458,0.4584,-0.4453,0.5317333333333333,1
Leflunomide,0.691,NA,0.466,NA,-0.4816,0.5785,2
Bendroflumethiazide,0.6906,NA,0.4712,NA,-0.3815,0.5809,2
Deoxycholic acid,0.689,0.3493,0.6186,0.3294,-0.4144,0.496575,0
Cinaciguat,0.6872,0.3712,0.4167,0.4199,-0.485,0.47375,0
Bosentan,0.6853,NA,0.4354,0.3759,-0.3547,0.4988666666666667,1
M3M3FBS,0.6837,NA,0.6846,0.4926,-0.3459,0.6203,1
Nicotine,0.6831,NA,0.3851,0.414,-0.4204,0.49406666666666665,1
"N,N-Hexamethyleneamiloride",0.6825,NA,NA,0.4126,-0.4764,0.54755,2
Dantrolene-13C3,0.6805,NA,0.5047,0.4503,-0.4149,0.5451666666666667,1
Dolutegravir (GSK1349572),0.6787,NA,0.4315,0.6125,-0.4298,0.5742333333333334,1
Dolutegravir (GSK1349572),0.6787,NA,0.4315,0.6125,-0.4298,0.5742333333333334,1
Simeprevir,0.675,NA,0.4898,0.4332,-0.341,0.5326666666666666,1
Etofenamate,0.6748,NA,0.4156,0.3627,-0.4769,0.48436666666666667,1
Etizolam,0.6742,NA,0.3893,0.4323,-0.3697,0.4986,1
Pindolol,0.6742,NA,0.4749,0.516,-0.4649,0.5550333333333334,1
Bavisant (dihydrochloride hydrate),0.6723,NA,0.56,NA,-0.4379,0.61615,2
Cisapride,0.6717,0.3448,NA,NA,-0.4507,0.50825,2
BMS-299897,0.6709,NA,0.5785,0.5197,-0.3479,0.5897,1
Clenbuterol,0.6706,NA,0.4022,0.4168,-0.4768,0.4965333333333333,1
GW-5074,0.6682,0.3978,0.7826,0.4841,-0.4135,0.583175,0
AZD2014,0.6665,NA,0.5595,0.3874,-0.333,0.5378000000000001,1
BMY-14802,0.6649,NA,0.4826,NA,-0.4308,0.57375,2
chlormadinone-acetate,0.6643,0.47,0.4518,0.3279,-0.6496,0.4785,0
Meisoindigo,0.6641,NA,0.5351,0.3356,-0.3308,0.5116,1
Broad-Sai-045,0.6633,0.3878,0.6047,0.6927,-0.326,0.587125,0
BRD-K00541818,0.6631,0.3217,0.4586,NA,-0.3328,0.48113333333333336,1
Genistein,0.663,0.3813,0.5603,0.5264,-0.3576,0.5327500000000001,0
"Temsirolimus (CCI-779, NSC 683864)",0.6629,NA,0.452,0.5129,-0.4295,0.5426,1
CL-976,0.6625,0.4344,0.4546,0.3477,-0.3468,0.4748,0
SCHEMBL6851809,0.6615,0.3558,0.587,0.686,-0.5844,0.5725750000000001,0
Cholic acid,0.661,0.3461,NA,0.3313,-0.4126,0.4461333333333333,1
Sulfadoxine,0.6608,NA,0.4805,0.4161,-0.4376,0.5191333333333333,1
Aphidicolin,0.6576,0.4181,0.5115,0.4982,-0.324,0.52135,0
Tipiracil (hydrochloride),0.6567,NA,0.3776,0.4362,-0.5054,0.49016666666666664,1
Fluphenazine,0.6554,0.5759,0.454,0.4131,-0.3658,0.5246,0
Aminosalicylic acid,0.6547,NA,0.4175,0.3946,-0.4094,0.48893333333333333,1
Erythromycin,0.6536,NA,0.4234,0.4963,-0.4364,0.5244333333333333,1
Etomoxir,0.6533,0.43,0.5029,0.3452,-0.5719,0.48285,0
Swainsonine,0.6512,0.3353,0.5002,0.5468,-0.4608,0.508375,0
SCHEMBL13991002,0.6496,NA,0.4992,0.4268,-0.4195,0.5252,1
LEVOSIMENDAN,0.6486,0.3602,NA,NA,-0.4426,0.5044,2
GW842166X,0.6483,NA,0.495,0.3982,-0.4102,0.5138333333333334,1
BAY 61-3606,0.6478,0.3889,0.4571,0.5159,-0.3259,0.502425,0
ETOPOSIDE,0.6456,0.4601,0.4076,0.4849,-0.3229,0.49955,0
omeprazole,0.6454,0.4083,0.5344,0.5807,-0.4028,0.5422,0
Amoxapine,0.6446,0.5243,0.5936,0.4811,-0.352,0.5609,0
Alaproclate,0.644,0.46,NA,0.37,-0.3841,0.49133333333333334,1
BRD-K01621458,0.6439,0.3736,0.548,0.3499,-0.3567,0.47885,0
Probucol,0.6389,NA,0.4866,0.4842,-0.3834,0.5365666666666666,1
CHEMBL1083527,0.6378,0.5107,0.591,0.5002,-0.4109,0.559925,0
Telmisartan,0.6369,0.3387,0.5295,0.5014,-0.4149,0.501625,0
Ataluren,0.6366,NA,0.4848,0.5421,-0.368,0.5545,1
Halofantrine,0.6351,0.4328,0.4803,0.4474,-0.3334,0.4989,0
Nesbuvir,0.6348,NA,0.4962,0.5392,-0.4844,0.5567333333333333,1
Lonafarnib,0.6338,NA,0.443,0.4792,-0.3557,0.5186666666666667,1
Betrixaban,0.6337,NA,0.3613,0.349,-0.4319,0.448,1
Flutamide,0.6332,NA,0.5276,0.7164,-0.413,0.6257333333333334,1
Trifluoperazine,0.632,0.6032,0.5037,0.4869,-0.3219,0.55645,0
Cabergoline,0.6318,NA,0.5051,0.3997,-0.3611,0.5122,1
AVN-944,0.6315,NA,NA,0.3899,-0.4928,0.5106999999999999,2
Oxaprozin,0.63,0.3948,0.5586,0.4295,-0.4208,0.503225,0
BRD-K17890048,0.6298,0.6219,NA,0.3523,-0.4969,0.5346666666666666,1
Propafenone,0.6298,0.379,0.5288,0.7175,-0.4355,0.563775,0
CLIMBAZOLE,0.6293,0.5877,0.3448,NA,-0.4656,0.5206,1
BIO2_000413,0.6292,NA,0.4963,0.3615,-0.513,0.49566666666666664,1
Temoporfin,0.6265,0.3347,NA,0.6019,-0.452,0.5210333333333333,1
Belinostat,0.6262,0.4263,0.5085,0.4214,-0.3242,0.4956,0
Ciglitazone,0.626,NA,0.6835,0.4302,-0.4733,0.5799,1
Raltegravir,0.6256,NA,0.443,0.4149,-0.5425,0.4945,1
Tenofovir,0.6254,NA,0.5335,0.3728,-0.4263,0.5105666666666666,1
Mizolastine,0.6241,0.4371,NA,0.3486,-0.4246,0.4699333333333333,1
Refametinib,0.6241,0.3754,NA,0.3212,-0.3573,0.4402333333333333,1
Tivozanib,0.624,0.5066,0.4541,0.5967,-0.3374,0.54535,0
Castanospermine,0.6236,0.394,NA,NA,-0.522,0.5088,2
VX-765,0.6231,NA,0.4288,0.3623,-0.4335,0.4714,1
AP26113,0.6228,0.3478,0.4888,0.5956,-0.3314,0.51375,0
Mifepristone,0.6226,0.3506,0.3723,0.3891,-0.3223,0.43365000000000004,0
NU1025,0.6223,NA,0.5207,0.4311,-0.4178,0.5246999999999999,1
SA-1939007,0.6217,0.3832,NA,0.4957,-0.3632,0.5002,1
SCHEMBL15556278,0.6216,NA,0.5235,0.5135,-0.4237,0.5528666666666666,1
(E)-5-((4-((2-Carboxyethyl)carbamoyl)phenyl)diazenyl)-2-hydroxybenzoic acid,0.6215,0.449,0.4556,0.3367,-0.4334,0.4657,0
Voriconazole,0.6206,NA,NA,0.364,-0.4481,0.4923,2
Minoxidil,0.6206,NA,0.5991,0.4892,-0.5403,0.5696333333333333,1
Phenothiazine,0.6199,NA,0.5233,0.5141,-0.4112,0.5524333333333333,1
Diazoxide,0.6179,NA,0.6024,0.4661,-0.5195,0.5621333333333334,1
Cilostamide,0.6178,NA,0.3931,NA,-0.4539,0.50545,2
Dabigatran Etexilate,0.6177,0.5991,0.4188,0.3983,-0.5197,0.508475,0
MLS003179192,0.6158,0.3736,0.4823,NA,-0.4632,0.49056666666666665,1
MLS002264492,0.6158,NA,0.5478,0.3324,-0.3464,0.49866666666666665,1
Famciclovir,0.6153,NA,0.5341,0.4077,-0.4224,0.5190333333333333,1
Griseofulvin,0.6147,0.4677,0.4268,0.5082,-0.4459,0.50435,0
Vidarabine,0.6146,NA,0.441,0.3635,-0.3693,0.47303333333333336,1
MLS001173561,0.6143,0.4072,0.5002,NA,-0.4508,0.5072333333333333,1
GW843682X,0.6142,NA,0.4127,0.4639,-0.3211,0.49693333333333334,1
Pyroxamide,0.6133,NA,0.516,NA,-0.6746,0.56465,2
Tacedinaline,0.6127,0.4385,0.4842,0.4701,-0.3383,0.501375,0
BRD-K15392449,0.6127,NA,0.4618,NA,-0.4097,0.53725,2
Erythromycin Ethylsuccinate,0.61240000000000006,NA,0.5966,0.3855,-0.4098,0.5315000000000001,1
RASAGILINE,0.6121,0.4191,0.5617,NA,-0.4636,0.5309666666666666,1
BRD-K00248354,0.6118,NA,0.4382,0.3932,-0.4311,0.48106666666666664,1
BRD-A32440707,0.6117,NA,0.4005,NA,-0.3242,0.5061,2
BRD-K00199686,0.6108,NA,0.5053,0.3483,-0.4652,0.4881333333333333,1
AC1LDBAO,0.6098,0.4577,0.5928,0.4572,-0.3274,0.529375,0
Tacalcitol,0.6096,NA,0.4046,0.4454,-0.4147,0.4865333333333334,1
AGI-6780,0.6096,NA,0.5096,NA,-0.4241,0.5596000000000001,2
GDC-0152,0.6095,NA,NA,0.4254,-0.3289,0.51745,2
Sertraline HCl,0.6088,0.6867,0.4135,0.4102,-0.4361,0.5298,0
Benoxinate,0.6068,NA,0.3939,0.3298,-0.411,0.4435,1
Doramapimod,0.606,0.3429,0.5347,0.5374,-0.3411,0.50525,0
Mepivacaine,0.6057,NA,0.4996,0.3443,-0.3329,0.4832,1
Idebenone,0.6057,NA,0.5601,0.3352,-0.4366,0.5003333333333333,1
Ketotifen,0.6052,0.3766,0.4391,0.4348,-0.3261,0.463925,0
BX471,0.6045,NA,0.5668,0.4132,-0.4835,0.5281666666666667,1
Veliparib,0.6034,NA,0.5634,0.4573,-0.3511,0.5413666666666667,1
Phenoxazine,0.6033,NA,0.5445,0.321,-0.4375,0.4896,1
Ambroxol,0.6032,NA,0.4823,0.4919,-0.3471,0.5258,1
BRD-K75813018,0.6031,NA,0.4591,0.414,-0.4272,0.49206666666666665,1
Pimozide,0.6029,0.6608,0.6392,0.3958,-0.3336,0.574675,0
AKT Inhibitor VIII,0.6023,0.6433,0.6051,0.6663,-0.3575,0.62925,0
BG-51,0.6019,0.3936,0.4678,0.5211,-0.3399,0.4961,0
Simvastatin,0.6015,0.4479,0.4978,0.3276,-0.3587,0.4687,0
DMP-543,0.601,NA,0.4825,0.4925,-0.4466,0.5253333333333333,1
CAY10603,0.5996,0.4067,0.4922,0.5537,-0.3779,0.51305,0
Trovafloxacin mesylate,0.5989,NA,0.3749,0.5239,-0.3239,0.49923333333333336,1
Methapyrilene,0.5985,NA,0.4871,0.4916,-0.4142,0.5257333333333334,1
Trilostane,0.5976,NA,NA,0.3808,-0.5319,0.4892,2
Lersivirine,0.5975,NA,0.4292,0.3431,-0.4139,0.4566,1
Skatole,0.5974,0.3535,NA,0.4248,-0.624,0.4585666666666667,1
282089-49-0,0.597,0.3487,0.4483,0.5796,-0.5017,0.4934,0
Boldine,0.5967,NA,0.4076,NA,-0.4336,0.50215,2
AC1MSUFC,0.5962,0.5807,0.491,0.4034,-0.6245,0.517825,0
BRD-K01425431,0.5961,0.4572,0.512,0.4887,-0.3213,0.5135,0
"HDACi1,2+3_mix",0.5961,0.4119,0.4863,0.3797,-0.3265,0.46849999999999997,0
ANISODAMINE HYDROBROMIDE,0.596,NA,0.5571,NA,-0.3576,0.57655,2
Troglitazone,0.5952,0.3248,0.6153,0.5708,-0.324,0.5265249999999999,0
Byssochlamic acid,0.5951,NA,0.6032,NA,-0.4445,0.59915,2
Dopamine,0.595,NA,0.3952,0.3422,-0.3365,0.4441333333333333,1
"Dihydroorotate Dehydrogenase Inhibitor, Brequinar",0.595,0.4064,0.4779,0.6191,-0.3245,0.5246,0
"1-[1-(3-Chloro-4-fluorophenyl)-2,5-dioxopyrrolidin-3-yl]piperidine-4-carboxamide",0.5945,NA,0.4263,NA,-0.5433,0.5104,2
AC1NSZCT,0.5944,NA,0.499,0.3225,-0.3553,0.4719666666666667,1
Bitopertin,0.5942,NA,0.4026,0.4422,-0.4157,0.47966666666666663,1
936890-98-1,0.5935,0.3361,0.5438,0.5512,-0.418,0.50615,0
Raloxifene,0.5933,0.6628,0.5569,0.5117,-0.3289,0.581175,0
SKF96365,0.5932,0.4146,0.3688,0.344,-0.4113,0.43015,0
Prostoglandin A1,0.5923,NA,0.586,0.4124,-0.3563,0.5302333333333333,1
BRD-K00141503,0.5919,NA,0.4532,NA,-0.4313,0.52255,2
Valsartan,0.5918,NA,0.377,0.3862,-0.4089,0.45166666666666666,1
"Ingenol 3,20-dibenzoate",0.5911,0.4068,0.4588,0.4395,-0.3682,0.47404999999999997,0
Fluspirilene,0.5911,0.7041,0.6529,0.451,-0.4562,0.599775,0
Pravastatin sodium,0.5904,0.5483,0.3774,NA,-0.4987,0.5053666666666667,1
Gemifloxacin,0.5901,NA,0.558,NA,-0.4247,0.57405,2
Glipizide,0.5891,NA,0.3995,0.4114,-0.4136,0.4666666666666667,1
Pidotimod,0.5884,NA,NA,0.425,-0.4463,0.5067,2
Vemurafenib,0.5879,0.538,0.5428,0.4345,-0.3256,0.5258,0
Vidofludimus,0.5878,0.4414,NA,0.3694,-0.3955,0.4662,1
VTP-27999 (Hydrochloride),0.5876,NA,0.4093,0.3507,-0.5185,0.4492,1
CHEMBL2356468,0.5873,0.4261,NA,NA,-0.3255,0.5067,2
"ethyl 6-(2,3-dihydro-1H-indol-1-ylmethyl)-4-(3-nitrophenyl)-2-oxo-1,2,3,4-tetrahydro-5-pyrimidinecarboxylate",0.5863,NA,0.4647,0.3211,-0.3343,0.4573666666666667,1
Nefazodone,0.5855,NA,0.4548,0.3241,-0.4883,0.4548,1
Mebendazole,0.5849,0.355,0.7718,0.3637,-0.4143,0.51885,0
Batimastat,0.5842,NA,0.5379,0.3871,-0.4489,0.5030666666666667,1
ZM336372,0.5842,0.412,0.5439,0.4547,-0.3523,0.49870000000000003,0
BRD-K84528570,0.584,0.4051,NA,NA,-0.3745,0.49455,2
SCHEMBL17497626,0.5836,0.3433,0.4643,0.5299,-0.3251,0.480275,0
ETHYLENEDIAMINE TETRACETATE TETRA-ETHANOLAMINE,0.5835,0.4567,0.3725,0.4687,-0.4597,0.47035,0
Rifaximin,0.5835,NA,0.4859,NA,-0.4576,0.5347,2
Nicergoline,0.5835,0.561,0.3748,NA,-0.49,0.5064333333333334,1
Isosorbide Mononitrate,0.5825,NA,0.5229,0.5338,-0.4522,0.5464,1
Chrysin,0.5824,NA,0.4593,0.4069,-0.3332,0.48286666666666667,1
AZD-1152HQPA,0.5822,NA,0.4633,0.5091,-0.3219,0.5182,1
SKF-83959,0.5814,NA,NA,0.5071,-0.7335,0.54425,2
Trazodone,0.5809,NA,0.5935,0.4384,-0.6018,0.5376,1
CHEMBL1242477,0.5807,0.3828,0.5088,0.5281,-0.3307,0.5001,0
423735-93-7,0.5805,NA,0.6186,0.5547,-0.507,0.5846,1
(Z) Fluvoxamine,0.5805,0.438,0.4014,0.4981,-0.4459,0.4795,0
RO4987655,0.5802,0.3866,0.4299,0.3476,-0.3309,0.436075,0
Tamibarotene,0.5796,NA,0.4748,0.4253,-0.4048,0.49323333333333336,1
Rimonabant,0.5794,0.3255,0.4188,0.3876,-0.3664,0.427825,0
Labetalol,0.5793,NA,0.3834,0.4156,-0.4529,0.45943333333333336,1
GSK1292263,0.5787,0.4951,NA,0.3566,-0.543,0.4768,1
SMR001317659,0.5784,NA,0.5075,0.4157,-0.6101,0.5005333333333333,1
BRD-K64754843,0.5783,NA,NA,0.3249,-0.4479,0.4516,2
Verapamil,0.5782,0.4291,0.4483,0.4382,-0.4163,0.47345,0
"2-(2-Bromo-4-methyl-phenylamino)-pyrido[3,2-e][1,3]thiazin-4-one",0.5779,0.3647,0.3809,0.3828,-0.4552,0.426575,0
NCGC00166323-01,0.5771,0.3753,0.5656,0.4104,-0.3289,0.4821,0
CHEMBL2132289,0.5767,0.3725,0.5686,0.5187,-0.3345,0.509125,0
Fosfomycin Tromethamine,0.5755,NA,NA,0.3531,-0.4343,0.46430000000000005,2
Rucaparib,0.5754,0.3886,0.5777,0.6413,-0.3374,0.54575,0
CHEMBL179288,0.5747,0.414,0.4606,0.4869,-0.3407,0.48405,0
XMD 8-92,0.5729,0.4496,0.4484,0.4812,-0.41,0.488025,0
BRD-A77864279,0.5727,NA,0.3749,0.4217,-0.4176,0.45643333333333336,1
CLONAZEPAM,0.5719,0.4365,0.5324,0.4002,-0.4143,0.48524999999999996,0
MEGXP0_001010,0.5719,NA,0.3695,NA,-0.4652,0.4707,2
Quinine,0.5719,NA,0.5744,0.5328,-0.5211,0.5597,1
Oxprenolol,0.5707,NA,0.4805,0.3454,-0.415,0.4655333333333333,1
Ifenprodil,0.5703,NA,0.4843,0.4006,-0.4841,0.4850666666666667,1
Trimethobenzamide,0.5701,NA,0.4066,0.4145,-0.5263,0.46373333333333333,1
Tanespimycin,0.5692,0.338,0.4224,NA,-0.4308,0.44320000000000004,1
ST001903,0.569,0.3798,0.4111,0.655,-0.5252,0.503725,0
Tacrine,0.5689,NA,0.4819,0.5397,-0.478,0.5301666666666667,1
Binospirone,0.5683,NA,0.3786,0.5401,-0.4176,0.4956666666666667,1
CHEMBL602850,0.5683,NA,0.3577,0.4037,-0.5462,0.44323333333333337,1
LY2334737,0.5682,0.3627,NA,0.4774,-0.4309,0.46943333333333337,1
Ibutamoren (Mesylate),0.5672,0.4371,0.3715,0.5125,-0.4364,0.472075,0
OSI-906 (Linsitinib),0.567,NA,NA,0.4778,-0.3247,0.5224,2
Dacomitinib,0.5665,0.3924,0.5435,0.4784,-0.3343,0.4952,0
"Epothilone B (EPO906, Patupilone)",0.5663,0.3389,NA,0.358,-0.4089,0.42106666666666664,1
Amodiaquine,0.5653,0.5207,0.516,0.5374,-0.4182,0.53485,0
HY-11007,0.5642,0.3332,0.4515,0.463,-0.3245,0.452975,0
RG2833 (RGFP109),0.5637,0.4207,0.4508,0.6683,-0.3511,0.525875,0
Conivaptan HCl,0.5635,0.4813,0.4376,0.4234,-0.487,0.47645,0
MLS003129922,0.5634,NA,NA,0.4322,-0.3275,0.4978,2
Mozavaptan,0.5633,NA,0.4499,0.3872,-0.8645,0.4668,1
ITRACONAZOLE HYDROCHLORIDE,0.563,0.5257,0.436,0.338,-0.5366,0.46567499999999995,0
Bopindolol  malonate,0.5629,NA,0.6292,0.3411,-0.328,0.5110666666666667,1
SA-242939,0.5622,NA,NA,0.4293,-0.3653,0.49575,2
MLS-0315871.0001,0.5621,NA,0.3994,NA,-0.3234,0.48075,2
Trichostatin,0.5618,0.4555,0.7551,0.4043,-0.3338,0.544175,0
Chlorpheniramine,0.5614,NA,0.501,0.4114,-0.4401,0.4912666666666667,1
Ambrisentan,0.5614,0.486,0.4065,0.3968,-0.4467,0.462675,0
L-690330,0.5613,NA,0.4487,0.641,-0.5795,0.5503333333333333,1
SA-424763,0.5611,NA,0.4288,0.3535,-0.5434,0.44780000000000003,1
SMR000162699,0.5605,NA,0.664,0.4656,-0.4176,0.5633666666666667,1
AC1NSZSY,0.5605,0.4535,0.4119,NA,-0.377,0.4753,1
BRD-K08146255,0.5604,NA,0.4881,0.5162,-0.4134,0.5215666666666666,1
BRD-K82392710,0.5601,NA,0.41,NA,-0.4656,0.48505,2
Alisertib,0.56,0.4135,0.4179,0.464,-0.3256,0.46385,0
Rigosertib,0.5596,0.4023,0.535,0.4425,-0.4212,0.48485,0
Meptazinol,0.5594,NA,0.4258,NA,-0.4146,0.49260000000000004,2
BRD-K42624823,0.5593,NA,0.5021,NA,-0.5832,0.5307,2
SCHEMBL3958507,0.5591,0.3771,0.424,0.5995,-0.343,0.489925,0
Tamoxifen,0.559,0.6712,0.6991,0.5173,-0.3607,0.61165,0
SB 205384,0.5586,0.3223,0.3345,NA,-0.4537,0.40513333333333335,1
Fluoxetine,0.5582,0.5831,0.4646,0.52,-0.4267,0.531475,0
639090-55-4,0.5571,0.3367,NA,0.3845,-0.5594,0.42610000000000003,1
GSK-J1,0.557,NA,0.5873,0.4001,-0.4208,0.5148,1
Esmolol,0.557,0.366,NA,NA,-0.444,0.4615,2
SU14813,0.5564,0.3364,0.3911,0.5755,-0.3422,0.46485,0
LY451395,0.5557,NA,0.5397,0.4313,-0.3899,0.5089,1
Decitabine,0.5555,0.3468,0.4944,0.475,-0.4007,0.467925,0
CHEMBL3182395,0.5549,0.4798,0.4517,0.4227,-0.3569,0.477275,0
Itrazole,0.5547,0.4976,0.4703,0.4973,-0.461,0.504975,0
Tetraidofluorescein,0.5545,NA,0.6303,0.5679,-0.3514,0.5842333333333333,1
Bicalutamide,0.5541,0.3774,0.4481,0.3859,-0.4873,0.441375,0
"THR1 Inhibitor, 2",0.5536,NA,0.5824,0.3752,-0.4291,0.5037333333333334,1
Rizatriptan,0.5534,NA,0.4231,0.3579,-0.3408,0.4448,1
BRD-K54343811,0.5517,NA,0.486,0.4611,-0.3373,0.4996,1
Berberine,0.5516,0.405,NA,0.4298,-0.43,0.46213333333333334,1
BRD-K55878534,0.5513,NA,0.4768,NA,-0.4205,0.51405,2
BRD-K71552321,0.5506,NA,NA,0.3694,-0.5337,0.45999999999999996,2
Myriocin,0.5505,NA,0.4417,0.6191,-0.428,0.5371,1
atorvastatin,0.5498,0.5691,0.432,0.4195,-0.4674,0.4926,0
Tetramisole,0.549,NA,0.5448,0.4084,-0.4567,0.5007333333333334,1
Enoxolone,0.5488,NA,NA,0.3379,-0.537,0.44334999999999997,2
SA-1457415,0.5487,NA,0.4029,0.3837,-0.4517,0.4451,1
BRD-K31290665,0.548,NA,0.5015,0.3266,-0.5016,0.4587,1
Lofexidine,0.5479,0.4145,0.5352,0.5849,-0.3264,0.520625,0
Nebivolol,0.5478,0.4831,NA,0.4002,-0.5386,0.4770333333333333,1
METERGOLINE,0.5478,0.6204,NA,0.3749,-0.4175,0.5143666666666666,1
BRD-K18876264,0.5477,0.3542,NA,NA,-0.3848,0.45094999999999996,2
BRD-K03883227,0.5467,NA,0.4357,0.3287,-0.4092,0.43703333333333333,1
BRD-K64106162,0.5458,NA,0.4627,0.4201,-0.4252,0.47619999999999996,1
Zosuquidar,0.5454,0.4833,0.402,0.3868,-0.4217,0.454375,0
BRD-K89097220,0.5452,NA,0.3844,0.4056,-0.3882,0.44506666666666667,1
Glafenine,0.5446,NA,NA,0.3443,-0.4105,0.44445,2
FR-180204,0.5443,NA,0.6516,0.5025,-0.339,0.5661333333333333,1
XL335,0.5425,NA,0.3728,0.3953,-0.4379,0.4368666666666667,1
3-Chloro-l-alanine,0.5425,NA,0.4062,0.4345,-0.4365,0.4610666666666667,1
N6022,0.5422,NA,NA,0.3514,-0.4762,0.4468,2
AZD1981,0.5418,0.378,NA,NA,-0.5352,0.4599,2
Indomethacin,0.5408,NA,0.4193,0.4415,-0.4289,0.4672,1
SA-424534,0.5407,NA,NA,0.3539,-0.4991,0.4473,2
Dihydrexidine,0.5402,NA,0.4177,0.327,-0.3238,0.4283,1
Pentamidine,0.5398,NA,NA,0.5359,-0.3493,0.5378499999999999,2
NNC 26-9100,0.5393,0.5404,0.4339,0.4749,-0.3382,0.497125,0
Topiramate,0.5393,NA,0.4429,0.4211,-0.4142,0.46776666666666666,1
Thalidomide,0.539,NA,0.4944,0.4794,-0.4131,0.5042666666666666,1
Dolasetron,0.5389,NA,0.5259,NA,-0.6257,0.5324,2
RVX-208,0.5386,0.3323,0.4634,NA,-0.4704,0.44476666666666664,1
Saracatinib,0.5386,0.617,0.5368,0.425,-0.3392,0.52935,0
SA-1922659,0.5384,0.3532,0.4037,0.4412,-0.4216,0.434125,0
VILAZODONE HYDROCHLORIDE,0.5379,0.4596,NA,0.333,-0.478,0.4435,1
Oxybenzone,0.5378,0.3388,0.4882,NA,-0.5741,0.4549333333333333,1
