compound,similarity,fda_status,threshold,disease,file
6266-99-5,-0.3347,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CX-5461,-0.3336,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
R547,-0.3317,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CGK733,-0.3315,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Camptothecin,-0.3313,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Desoxymetasone,-0.3309,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Fluorouracil,-0.3305,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
N-[4-(Acridin-9-ylmethyl)-3-methoxyphenyl]methanesulfonamide,-0.33,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
NSC141540,-0.3297,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
LY-294002,-0.3296,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Dovitinib,-0.3296,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K76418961,-0.3294,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
AZD-8330,-0.3293,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Dasatinib,-0.329,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Elliptecine,-0.3289,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Milciclib (PHA-848125),-0.3282,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Thioguanosine,-0.328,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Etoposide,-0.3276,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Pevonedistat,-0.3275,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",-0.3273,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL3182395,-0.3272,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
MLS-0435541.0001,-0.3264,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Cladribine,-0.3264,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
AMG 232,-0.3262,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Devazepide,-0.326,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Irinotecan,-0.3259,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Gemcitabine,-0.3258,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
KW-2449,-0.3257,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Methotrexate,-0.3256,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
AC1Q6JJ5,-0.3251,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Topotecan,-0.3248,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
N-Cyclooctyl-4-methylbenzenesulfonamide,-0.3245,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Emodic acid,-0.3243,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL1720543,-0.3243,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
SCHEMBL16980224,-0.3239,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
LY2874455,-0.3237,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Ethacrynic acid,-0.3236,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Radicicol,-0.3236,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2057940,-0.3234,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL3186554,-0.3233,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Teniposide,-0.3228,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
GSK-1070916,-0.3226,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PF-03758309,-0.3226,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
KPT-330,-0.3226,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Mitoxantrone,-0.3222,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Wortmannin,-0.3219,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
GSK 525762A,-0.3219,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
etoposide,-0.3216,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Palbociclib,-0.3216,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Amonafide,-0.3213,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Rebastinib,-0.321,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K60067222,-0.4894,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
AK-778/12434114,-0.4575,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Avicin-D,-0.457,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K67090983,-0.4559,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Resminostat,-0.4535,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2361177,-0.4515,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
"Temsirolimus (CCI-779, NSC 683864)",-0.4494,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2135649,-0.4435,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2136858,-0.4426,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2131985,-0.4357,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Auranofin,-0.4313,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2139070,-0.4297,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
2-Aminopurine,-0.4272,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2139291,-0.423,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2360506,-0.4224,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
AC1LUIBL,-0.4201,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
SCHEMBL2608041,-0.4149,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Mbcq,-0.4107,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2131306,-0.4104,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Ruxolitinib,-0.408,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
MLS-0435555.0001,-0.4054,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K60297835,-0.4046,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
AB01274770-01,-0.4036,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K18449990,-0.4025,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2133926,-0.3997,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K69888333,-0.3989,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Deferiprone,-0.3984,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Warfarin,-0.3942,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PI-103,-0.3933,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Ornidazole,-0.3924,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K10055064,-0.3914,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL493153,-0.39,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
vincristine,-0.3888,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
TGX 221,-0.3884,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2137729,-0.3879,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2133868,-0.3874,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Alisertib,-0.3872,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2333343,-0.3869,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K59805090,-0.3862,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PF-03814735,-0.3861,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K03651937,-0.3858,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Raltitrexed,-0.3854,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
SPECTRUM_001259,-0.3828,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Canertinib,-0.382,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
NCGC00170405-01,-0.3817,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
GSK-461364,-0.3814,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Diphenylpyraline,-0.3794,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
7Beta-forskolin,-0.3775,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K69159985,-0.3767,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K99999497,-0.3757,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K60706752,-0.3746,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
4LY1,-0.3727,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
H7,-0.3719,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Phtpp,-0.3705,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
AC1MCK4Q,-0.3691,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
F1061-0166,-0.3691,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Camostat Mesilate,-0.3676,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
ST012525,-0.3668,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Colforsin,-0.3646,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
GSK 3BETA Inhibitor VIII,-0.3642,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
KUC111774N,-0.3641,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
ST004815,-0.364,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
AZD-1775,-0.3636,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
HSCI1_000314,-0.3635,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2135770,-0.3632,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PCL2_000101,-0.3627,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Calcitriol,-0.3622,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Latrunculin B,-0.3621,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2135524,-0.3619,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Ticagrelor,-0.3612,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
L-690488,-0.3611,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Purmorphamine,-0.3605,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-A10420615-001-02-8,-0.3602,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-M03817478,-0.3596,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K53638321,-0.3581,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Prothiaden Spofa,-0.3579,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
UNII-5J49Q6B70F,-0.3577,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
UNII-CVL1685GPH,-0.3576,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CID 74180475,-0.3572,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
SCHEMBL12684744,-0.3571,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2130568,-0.3557,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Alprostadil,-0.3548,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CL-976,-0.3547,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
DOCETAXEL,-0.3539,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
LDN 193189,-0.3538,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Morin,-0.3536,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
MBX-2982,-0.3531,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PP 2,-0.3527,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K39284479,-0.3524,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PP-30,-0.3523,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
NCGC00011767,-0.3516,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
SCHEMBL3958507,-0.3514,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Adarotene,-0.3499,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Menadione,-0.3499,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
SCHEMBL6874948,-0.3493,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Chrysin,-0.349,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CID 75060944,-0.3488,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
SCHEMBL17497626,-0.3483,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Phorbol 12-myristate-13-acetate,-0.3477,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2359857,-0.3475,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
RG2833 (RGFP109),-0.3475,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Tipiracil (hydrochloride),-0.3473,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
"3,5-Bis(4-methylbenzylidene)piperidin-4-one",-0.3471,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
STK219801,-0.3465,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
"Tazac, Axid, Axid Ar, Nizatidine",-0.3463,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Aphidicolin,-0.3459,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2361430,-0.3456,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
AC1O9BJ3,-0.3451,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PX 12,-0.3451,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
SMR000075319,-0.345,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Lypressin,-0.3446,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2357390,-0.3443,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CID 75037095,-0.3436,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Reversine,-0.3428,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
CHEMBL2132717,-0.3424,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Fenretinide,-0.3423,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Deforolimus,-0.3421,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
"Ridaforolimus (Deforolimus, MK-8669)",-0.342,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Cobicistat (GS-9350),-0.3417,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K76938712,-0.3414,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Bongkrekic acid,-0.3413,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
TL_HRAS26,-0.3411,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K59941784,-0.3408,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K45253154-001-01-9,-0.3408,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
SAN1_003817,-0.3405,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Tubastatin A,-0.3405,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K05456756,-0.3403,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
QS-11,-0.3402,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Olaparib,-0.3399,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
AMSACRINE,-0.3397,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
GSK1292263,-0.3397,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
PIK 75,-0.3396,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Broad-Sai-609,-0.3393,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Paricalcitol,-0.3393,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Clofarabine,-0.3392,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
BRD-K49313348,-0.3386,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
"ethyl 6-(2,3-dihydro-1H-indol-1-ylmethyl)-4-(3-nitrophenyl)-2-oxo-1,2,3,4-tetrahydro-5-pyrimidinecarboxylate",-0.3381,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Buflomedil,-0.3381,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Daunorubicin,-0.3379,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
GDC-0980 (RG7422),-0.3375,non_fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Benzoxiquine,-0.3372,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
Taranabant,-0.3368,fda,0,covidc,data/disease/covidc/consensus/A549-10uM-24h/covidc-0-consensus.tsv
