Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alternate_BioProject_ID,Alternate_Taxon_ID
SRR1190509,RNA-Seq,202,2981856532,PRJNA233943,SAMN02688873,2065283588,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488069,Illumina HiSeq 2500,IL100039998,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-24hrs,SRP040070,233941,1335626
SRR1191342,RNA-Seq,202,3106546890,PRJNA233943,SAMN02688918,2137146098,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488428,Illumina HiSeq 2500,IL100040002,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-48hrs,SRP040070,233941,1335626
SRR1191343,RNA-Seq,202,3044534910,PRJNA233943,SAMN02688918,2098439274,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488430,Illumina HiSeq 2500,IL100040002,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-48hrs,SRP040070,233941,1335626
SRR1191344,RNA-Seq,202,3043005972,PRJNA233943,SAMN02688918,2102004356,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488429,Illumina HiSeq 2500,IL100040002,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-48hrs,SRP040070,233941,1335626
SRR1191345,RNA-Seq,202,3065589774,PRJNA233943,SAMN02688918,2115834097,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488432,Illumina HiSeq 2500,IL100040002,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-48hrs,SRP040070,233941,1335626
SRR1191346,RNA-Seq,202,3061869944,PRJNA233943,SAMN02688918,2117058576,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488433,Illumina HiSeq 2500,IL100040002,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-48hrs,SRP040070,233941,1335626
SRR1191347,RNA-Seq,202,3064434132,PRJNA233943,SAMN02688918,2117259702,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488434,Illumina HiSeq 2500,IL100040002,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-48hrs,SRP040070,233941,1335626
SRR1191348,RNA-Seq,202,3065002156,PRJNA233943,SAMN02688918,2111500205,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488435,Illumina HiSeq 2500,IL100040002,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-48hrs,SRP040070,233941,1335626
SRR1191349,RNA-Seq,202,3048135156,PRJNA233943,SAMN02688918,2111763539,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488431,Illumina HiSeq 2500,IL100040002,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5-IFNbeta-48hrs,SRP040070,233941,1335626
SRR1191667,RNA-Seq,202,11465055804,PRJNA233943,SAMN02689047,8052796253,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488749,Illumina HiSeq 2500,IL100038419,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5HighMOI-24hr-2,SRP040070,233941,1335626
SRR1191668,RNA-Seq,202,11498606994,PRJNA233943,SAMN02689047,8107130238,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488748,Illumina HiSeq 2500,IL100038419,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5HighMOI-24hr-2,SRP040070,233941,1335626
SRR1191672,RNA-Seq,202,10964842194,PRJNA233943,SAMN02689051,7671068343,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488755,Illumina HiSeq 2500,IL100038420,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5HighMOI-24hr-3,SRP040070,233941,1335626
SRR1191673,RNA-Seq,202,11374102072,PRJNA233943,SAMN02689051,7985282565,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488754,Illumina HiSeq 2500,IL100038420,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5HighMOI-24hr-3,SRP040070,233941,1335626
SRR1191694,RNA-Seq,202,12293313576,PRJNA233943,SAMN02689052,8566138723,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488769,Illumina HiSeq 2500,IL100038424,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5HighMOI-48hr-1,SRP040070,233941,1335626
SRR1191695,RNA-Seq,202,12734924360,PRJNA233943,SAMN02689052,8907930837,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488768,Illumina HiSeq 2500,IL100038424,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5HighMOI-48hr-1,SRP040070,233941,1335626
SRR1191783,RNA-Seq,202,20046791686,PRJNA233943,SAMN02689053,14074355389,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488855,Illumina HiSeq 2500,IL100038425,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5HighMOI-48hr-2,SRP040070,233941,1335626
SRR1191876,RNA-Seq,202,18978414292,PRJNA233943,SAMN02689055,13309576518,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488917,Illumina HiSeq 2500,IL100038426,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5HighMOI-48hr-3,SRP040070,233941,1335626
SRR1191914,RNA-Seq,202,8858053500,PRJNA233943,SAMN02689056,6189958928,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488951,Illumina HiSeq 2000,IL100038415,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5lowMOI-24hr-1,SRP040070,233941,1335626
SRR1191915,RNA-Seq,202,8779823950,PRJNA233943,SAMN02689056,6135952916,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488952,Illumina HiSeq 2000,IL100038415,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5lowMOI-24hr-1,SRP040070,233941,1335626
SRR1191953,RNA-Seq,202,10557599084,PRJNA233943,SAMN02689135,7444449466,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488981,Illumina HiSeq 2500,IL100038416,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5lowMOI-24hr-2,SRP040070,233941,1335626
SRR1191954,RNA-Seq,202,10628611578,PRJNA233943,SAMN02689135,7523056412,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX488982,Illumina HiSeq 2500,IL100038416,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5lowMOI-24hr-2,SRP040070,233941,1335626
SRR1191990,RNA-Seq,202,12075520610,PRJNA233943,SAMN02689136,8545606988,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489004,Illumina HiSeq 2500,IL100038417,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5lowMOI-24hr-3,SRP040070,233941,1335626
SRR1191991,RNA-Seq,202,12126828206,PRJNA233943,SAMN02689136,8615858545,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489005,Illumina HiSeq 2500,IL100038417,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5lowMOI-24hr-3,SRP040070,233941,1335626
SRR1192016,RNA-Seq,202,10659947838,PRJNA233943,SAMN02689137,7421949573,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489028,Illumina HiSeq 2500,IL100038421,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5lowMOI-48hr-1,SRP040070,233941,1335626
SRR1192017,RNA-Seq,202,11031920940,PRJNA233943,SAMN02689137,7709624300,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489029,Illumina HiSeq 2500,IL100038421,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5lowMOI-48hr-1,SRP040070,233941,1335626
SRR1192072,RNA-Seq,202,10423211514,PRJNA233943,SAMN02689138,7267426624,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489061,Illumina HiSeq 2500,IL100038422,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_MERS-MRC5lowMOI-48hr-2,SRP040070,233941,1335626
SRR1192073,RNA-Seq,202,10763632620,PRJNA233943,SAMN02689138,7531938301,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489060,Illumina HiSeq 2500,IL100038422,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5lowMOI-48hr-2,SRP040070,233941,1335626
SRR1192166,RNA-Seq,202,11075243880,PRJNA233943,SAMN02689139,7784020791,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489120,Illumina HiSeq 2500,IL100038418,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5HighMOI-24hr-1,SRP040070,233941,1335626
SRR1192167,RNA-Seq,202,11136046284,PRJNA233943,SAMN02689139,7856073712,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489119,Illumina HiSeq 2500,IL100038418,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-19T00:00:00Z,VMERS_MERS-MRC5HighMOI-24hr-1,SRP040070,233941,1335626
SRR1192321,RNA-Seq,202,22424073328,PRJNA233943,SAMN02689142,15264201252,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489274,Illumina HiSeq 2500,IL100039038,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_MERS-MRC5lowMOI-48hr-3,SRP040070,233941,1335626
SRR1192353,RNA-Seq,202,9827655318,PRJNA233943,SAMN02689146,6886185243,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489305,Illumina HiSeq 2000,IL100038412,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_MOCK-MRC5-1,SRP040070,,
SRR1192354,RNA-Seq,202,9758710496,PRJNA233943,SAMN02689146,6838582717,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489306,Illumina HiSeq 2000,IL100038412,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_MOCK-MRC5-1,SRP040070,,
SRR1192370,RNA-Seq,202,9836521098,PRJNA233943,SAMN02689147,6882156322,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489323,Illumina HiSeq 2000,IL100038413,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_MOCK-MRC5-2,SRP040070,,
SRR1192371,RNA-Seq,202,9751394662,PRJNA233943,SAMN02689147,6823554639,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489324,Illumina HiSeq 2000,IL100038413,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_MOCK-MRC5-2,SRP040070,,
SRR1192398,RNA-Seq,202,8623891868,PRJNA233943,SAMN02689148,6061186196,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489352,Illumina HiSeq 2000,IL100038414,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_MOCK-MRC5-3,SRP040070,,
SRR1192399,RNA-Seq,202,8556123292,PRJNA233943,SAMN02689148,6014931815,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489351,Illumina HiSeq 2000,IL100038414,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_MOCK-MRC5-3,SRP040070,,
SRR1192413,RNA-Seq,202,2767948430,PRJNA233943,SAMN02689149,1910985738,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489370,Illumina HiSeq 2500,IL100039999,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_Mock-MRC5-Gleevec-24hrs,SRP040070,,
SRR1192414,RNA-Seq,202,2721774058,PRJNA233943,SAMN02689149,1881839697,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489371,Illumina HiSeq 2500,IL100039999,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_Mock-MRC5-Gleevec-24hrs,SRP040070,,
SRR1192415,RNA-Seq,202,2713374292,PRJNA233943,SAMN02689149,1880335400,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489368,Illumina HiSeq 2500,IL100039999,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_Mock-MRC5-Gleevec-24hrs,SRP040070,,
SRR1192416,RNA-Seq,202,2754209804,PRJNA233943,SAMN02689149,1906697275,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489369,Illumina HiSeq 2500,IL100039999,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_Mock-MRC5-Gleevec-24hrs,SRP040070,,
SRR1192417,RNA-Seq,202,2748857410,PRJNA233943,SAMN02689149,1906734492,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489366,Illumina HiSeq 2500,IL100039999,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_Mock-MRC5-Gleevec-24hrs,SRP040070,,
SRR1192418,RNA-Seq,202,2748803476,PRJNA233943,SAMN02689149,1905200405,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489367,Illumina HiSeq 2500,IL100039999,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_Mock-MRC5-Gleevec-24hrs,SRP040070,,
SRR1192419,RNA-Seq,202,2740381086,PRJNA233943,SAMN02689149,1894160603,UMIGS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX489373,Illumina HiSeq 2500,IL100039999,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-03-21T00:00:00Z,VMERS_Mock-MRC5-Gleevec-24hrs,SRP040070,,
